tile_code,tile_role,layer_token,collision_kind,material_token,footstep_audio_token,impact_audio_token,background_token,biome_allowlist,asset_reference_kind,asset_reference,fallback_tile_code,missing_reason,render_priority
MP_GROUND_CORE,Ground,LAYER_TERRAIN,Solid,MAT_MOONSTONE,SFX_STEP_MOONSTONE,SFX_IMPACT_MOONSTONE,BG_NONE,MoonCrater;CassiaRoot;AbandonedMill;MoonDough,MissingData,,MP_DEBUG_MISSING,Sprite not imported in MAP21_01,100
MP_WALL_CORE,Wall,LAYER_TERRAIN,Solid,MAT_MOONSTONE,SFX_STEP_MOONSTONE,SFX_IMPACT_MOONSTONE,BG_NONE,MoonCrater;CassiaRoot;AbandonedMill;MoonDough,MissingData,,MP_DEBUG_MISSING,Sprite not imported in MAP21_01,110
MP_CEILING_CORE,Ceiling,LAYER_TERRAIN,Solid,MAT_MOONSTONE,SFX_STEP_MOONSTONE,SFX_IMPACT_MOONSTONE,BG_NONE,MoonCrater;CassiaRoot;AbandonedMill;MoonDough,MissingData,,MP_DEBUG_MISSING,Sprite not imported in MAP21_01,120
MP_ONEWAY_CORE,OneWayPlatform,LAYER_ONEWAY,OneWay,MAT_MOONWOOD,SFX_STEP_MOONWOOD,SFX_IMPACT_MOONWOOD,BG_NONE,MoonCrater;CassiaRoot;AbandonedMill;MoonDough,MissingData,,MP_DEBUG_MISSING,Sprite not imported in MAP21_01,130
MP_STEP_CORE,SlopeOrStep,LAYER_TERRAIN,PassThrough,MAT_MOONSTONE,SFX_STEP_MOONSTONE,SFX_IMPACT_MOONSTONE,BG_NONE,MoonCrater;CassiaRoot;AbandonedMill;MoonDough,MissingData,,MP_DEBUG_MISSING,Sprite not imported in MAP21_01,140
MP_HAZARD_CORE,Hazard,LAYER_HAZARD,Hazard,MAT_MOON_HAZARD,SFX_STEP_HAZARD,SFX_IMPACT_HAZARD,BG_NONE,MoonCrater;CassiaRoot;AbandonedMill;MoonDough,MissingData,,MP_DEBUG_MISSING,Sprite not imported in MAP21_01,200
MP_DECOR_CORE,Decor,LAYER_DECOR,Decor,MAT_DECOR_NONE,SFX_STEP_NONE,SFX_IMPACT_NONE,BG_NONE,MoonCrater;CassiaRoot;AbandonedMill;MoonDough,MissingData,,MP_DEBUG_MISSING,Sprite not imported in MAP21_01,300
MP_BACKGROUND_CORE,Background,LAYER_BACKGROUND,Background,MAT_BACKGROUND_NONE,SFX_STEP_NONE,SFX_IMPACT_NONE,BG_MOONPALACE_DEFAULT,MoonCrater;CassiaRoot;AbandonedMill;MoonDough,MissingData,,MP_DEBUG_MISSING,Background not imported in MAP21_01,10
MP_BOUNDARY_BLEND,BoundaryBlend,LAYER_BOUNDARY,PassThrough,MAT_BOUNDARY_BLEND,SFX_STEP_NONE,SFX_IMPACT_NONE,BG_BOUNDARY_BLEND,MoonCrater;CassiaRoot;AbandonedMill;MoonDough,MissingData,,MP_DEBUG_MISSING,Boundary art not imported in MAP21_01,50
MP_DEBUG_MISSING,DebugMissing,LAYER_DEBUG,MissingData,MAT_MISSING,SFX_STEP_MISSING,SFX_IMPACT_MISSING,BG_MISSING,MoonCrater;CassiaRoot;AbandonedMill;MoonDough,MissingData,,MP_DEBUG_MISSING,Intentional missing-data sentinel,999
