pattern_id,schema_version,source_starter_pattern_id,source_starter_digest,biome_id,pattern_role,silhouette_family,allowed_transform_tokens,selection_weight,tile_shell_digest,cell_record_digest,tag_record_digest,missing_asset_policy,runtime_binding_state,created_utc_excluded_from_canonical_digest,canonical_digest
MP_CRATER_BOWL,map21_02.moonpalace_micropattern.v1,MP_CRATER_BOWL,109ff803b813c58a25502ab66118e687e85f81a5975543eca6e07ab60185d2d7,MoonCrater,GeometrySilhouette,BOWL,MIRROR_Y|R0,500,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,c475722e833935c2c1aed4e88354969a5794e288e92a7de0aa05efc95ce7e026,013cae9917f33e34c9ca57c30fb7d498d5c79130558f87fd3ddc665c03caf52e,PreserveMissingDataAndFallback,MissingData,true,83635de1162752e325aa0e1e0f2073405c183c9c729eff8b1a12c1c7aa00a339
MP_CRATER_BROKEN_SLOPE,map21_02.moonpalace_micropattern.v1,MP_CRATER_BROKEN_SLOPE,f8048c6be689e85d0316424082f7a964d3dfbfcc071f370f0214dd95e57fcfa3,MoonCrater,GeometrySilhouette,BROKEN_SLOPE,MIRROR_X|MIRROR_Y|R0|R180,250,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,e7d8d983c930012ec41f8fd3c3d821a7ccdaadb894fe63781779faede7b17629,013cae9917f33e34c9ca57c30fb7d498d5c79130558f87fd3ddc665c03caf52e,PreserveMissingDataAndFallback,MissingData,true,e624ab4ba5740d279a1cce68ea8fa7961183223435470fd05c643d98b66d3ed0
MP_CRATER_DUST_PATCH,map21_02.moonpalace_micropattern.v1,MP_CRATER_DUST_PATCH,aab345de1a51b160e79c8e11b4250c10f15376fbd9c9f30b695e4d84ae854967,MoonCrater,MaterialHazardMarker,DUST_PATCH,R0,1000,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,659c627effb81e4021c87cf0c2da9ab314e2223bb836ef35377ab2c8cda5918e,0f1e0ecca165e6838b3b5806925a68de673f6b13b72184409a349f9e815e9716,PreserveMissingDataAndFallback,MissingData,true,8fcd84777c53aa1982d4e23bf01f8ccd9a6cf482474d950d0da483b83178b8c1
MP_CRATER_GRIP_RIDGE,map21_02.moonpalace_micropattern.v1,MP_CRATER_GRIP_RIDGE,387d9abab04f8005ad1c0282288f0af8f5bb02d686b48fc190c3e1a8cf77fd70,MoonCrater,SurfaceAffordance,GRIP_RIDGE,MIRROR_X|MIRROR_Y|R0|R180,250,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,61682a0983eaa24dd0cb6fc3c612fc1eddf2d5973fd48b9a1675184e17dea67e,089a686dd2e95fd27d7b8a3313977dbd40d6642780637cf1eff49caeff0e261c,PreserveMissingDataAndFallback,NeedsRuntimeBinding,true,ab3a0d7c58fe0146f32535397e46a5b85e9a7d538632a559b96b64c2872ad657
MP_CRATER_METEOR_CUE,map21_02.moonpalace_micropattern.v1,MP_CRATER_METEOR_CUE,ee2f4ccb171619b24597a51d92c70f8ef7d624a7816d3ffdc8c28051cc421c75,MoonCrater,MaterialHazardMarker,METEOR_CUE,R0,1000,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,8c5094814a37e81d0863db6ab3be160a0fff5e1a53b8712b618489783924b0ff,db94d5f87c74a0d2ad78f3d2c727fe0d1c1e86dd85845275ae5029c62be4a815,PreserveMissingDataAndFallback,NeedsRuntimeBinding,true,7811e843b36f2d4563163e3115060c801108d8f1c4327f3393e9ec9aaae474c2
MP_CRATER_ROCK_SHELF,map21_02.moonpalace_micropattern.v1,MP_CRATER_ROCK_SHELF,4a8c2b35c827703a65d802619b293a4f2165282f9a57944e583acc1f8a280f39,MoonCrater,GeometrySilhouette,ROCK_SHELF,MIRROR_X|MIRROR_Y|R0|R180,250,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,f56c85ee86e3681f1485a2ad55668af4dd65154c2609c038366edf2bfad26f72,013cae9917f33e34c9ca57c30fb7d498d5c79130558f87fd3ddc665c03caf52e,PreserveMissingDataAndFallback,MissingData,true,1cd4cfc27f59c7a08e1b4aa9483d3cb0c746358282e90b5aa4816db164fc3e5d
MP_DOUGH_BOUNCE_CUP,map21_02.moonpalace_micropattern.v1,MP_DOUGH_BOUNCE_CUP,7eb0ca11fe3d108c0b7618fbdf34c95bc30cb1220c9611c8dd94385afa6eda9c,MoonDough,GeometrySilhouette,BOUNCE_CUP,R0,1000,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,af1c3a92aa07c01d0860fa796e687850c0735148f60460c64ae75e00c13360ea,013cae9917f33e34c9ca57c30fb7d498d5c79130558f87fd3ddc665c03caf52e,PreserveMissingDataAndFallback,MissingData,true,4ffefb04f68d78fc8a34ec405dd54fb89ee22d280fbf3b49c6bd0874d3518dfb
MP_DOUGH_BOUNCE_STRIP,map21_02.moonpalace_micropattern.v1,MP_DOUGH_BOUNCE_STRIP,8a799fb4beadea67be9c688e6978ca161aeef94de3fe0de86592c324fa0031b9,MoonDough,SurfaceAffordance,BOUNCE_STRIP,R0,1000,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,f7228236d9ca4f683a6b5ad72a596ff9bec94f41fec1fd30e12539111c38c6c1,b4cffe1f004bb80038576c3cfd0c7945d77889b1f245852214f9ca4b3610f9b0,PreserveMissingDataAndFallback,NeedsRuntimeBinding,true,8459f1dad96cdae716d1d8c75036b413ba3ad1cfc95672cb654ebb829ca83e2f
MP_DOUGH_FERMENT_PATCH,map21_02.moonpalace_micropattern.v1,MP_DOUGH_FERMENT_PATCH,8d083625b0ab5764c476c2fa4ed403228d1652a531871c201ea72418e7159712,MoonDough,MaterialHazardMarker,FERMENT_PATCH,R0,1000,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,41d0385f0b6cf6217754a1cc3477865fff8ae50da930fda4181632389ffb31e3,69116311c4cd6b79f7d415f2baa05a042d117de45a273dc31e1713c192239ea4,PreserveMissingDataAndFallback,NeedsRuntimeBinding,true,8cd9223300fca1f7186abdb86fc3fe23a015e9f8d87f15682f5770d52703bf03
MP_DOUGH_RECOVERY_PAD,map21_02.moonpalace_micropattern.v1,MP_DOUGH_RECOVERY_PAD,65a6a0d39f889815a48806c6c42759226ecb7144dc6231cb4983dd4ba2e78b7f,MoonDough,MaterialHazardMarker,RECOVERY_PAD,R0,1000,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,ebd1794a218a6a2b8d00bc6401d82d130818da7ad0fd2ba7fde6126f6f69d908,80de76262b4225055aa5792249680715b31a5e4f0b3b2588e2151ca787c7e7ca,PreserveMissingDataAndFallback,MissingData,true,6639086c20c2b665da230c76a121efdc0881e7e455bcac614b67c796648b0017
