pattern_id,x,y,tag_kind,tag_token,runtime_binding_state,risk_level,visual_priority,canonical_digest
MP_CRATER_DUST_PATCH,1,1,Material,MAT_MOON_DUST,MissingData,Low,30,3666b3803377511422a7618e466696a5a7b514fccc247564e4de3db303ab9bc4
MP_CRATER_DUST_PATCH,2,1,Material,MAT_MOON_DUST,MissingData,Low,30,0fe2d89500aee01830df2670f7527b722db61148f0d83fd6616e97418f17b478
MP_CRATER_DUST_PATCH,1,2,Material,MAT_MOON_DUST,MissingData,Low,30,d9a4efa59a7605613b750b18df45f5080799648e5deee0e578c2efea31b57cb0
MP_CRATER_DUST_PATCH,2,2,Material,MAT_MOON_DUST,MissingData,Low,30,37f39bd924e45e1f3d52b37ec86f728dbad46728810d22d9099c8f0f2ceb51df
MP_CRATER_DUST_PATCH,2,2,Marker,MARK_CRATER_DETAIL,AuthoringOnly,Low,60,5791149c3d117760aa86b40e706802abec56684d08938b28ab603f5f02c14676
MP_CRATER_GRIP_RIDGE,0,1,Surface,SURF_CRATER_ROUGH,AuthoringOnly,Low,20,77aaae7f7505d0e548f76cade9eee9012715b1613012d0c9e42b476084caef85
MP_CRATER_GRIP_RIDGE,0,1,Affordance,AFF_GRIP,NeedsRuntimeBinding,Medium,40,e97c3672ae473d68daa296ca6a15fee45b637dc7ae09d47d1396fc3aad381586
MP_CRATER_GRIP_RIDGE,1,1,Surface,SURF_CRATER_ROUGH,AuthoringOnly,Low,20,76437816bd5f0338bdd53619dbb70204aca610655d169ad0f01d6ea5496dbd5c
MP_CRATER_GRIP_RIDGE,2,1,Surface,SURF_CRATER_ROUGH,AuthoringOnly,Low,20,94d507518d7895ca7c908d176c18a58ec676c495efc2731cb609a1fd876bda96
MP_CRATER_GRIP_RIDGE,2,1,Affordance,AFF_GRIP,NeedsRuntimeBinding,Medium,40,8e8fd5a43246238b03f3ed96e7d6ce030f2d2f277204db165a558c805ca59bb2
MP_CRATER_GRIP_RIDGE,3,1,Surface,SURF_CRATER_ROUGH,AuthoringOnly,Low,20,04543e5910193726a244e39007ad38677f5e65810ca92cf302d22999d2aedcc6
MP_CRATER_METEOR_CUE,1,0,Hazard,HZ_METEOR_EDGE,NeedsRuntimeBinding,High,50,a77166d5fb2c9056bf74fdf1349c02cfef1e760d8286149eb61de86b227ad63b
MP_CRATER_METEOR_CUE,2,0,Hazard,HZ_METEOR_EDGE,NeedsRuntimeBinding,High,50,ae6e9ca081c4b49a4ff1166b05679f421a21cc169576e7ada435442c54fbf26d
MP_CRATER_METEOR_CUE,1,1,Marker,MARK_METEOR_CUE,AuthoringOnly,Low,60,650866a8d72c009bd413d3f3467436790b4f9171317883fea507c65bf45cb4f8
MP_CRATER_METEOR_CUE,2,1,Marker,MARK_METEOR_CUE,AuthoringOnly,Low,60,0ca382d44bd75a141a3b837f8960bd67fd8650ce9eed3c3fc6c34d8ae712dd8a
MP_DOUGH_BOUNCE_STRIP,0,0,Surface,SURF_DOUGH_SOFT,AuthoringOnly,Low,20,2c06663d171ccc4b877aeb368d99a1c5d2c6890107b8765611b6d563363bf289
MP_DOUGH_BOUNCE_STRIP,1,0,Surface,SURF_DOUGH_SOFT,AuthoringOnly,Low,20,c9aa4ade3fe9018b383ffd9aef94d3fbbd123c5d4f8086c8d520e90be2a7f7c2
MP_DOUGH_BOUNCE_STRIP,1,0,Affordance,AFF_BOUNCE,NeedsRuntimeBinding,Medium,40,9b7483d93fc2cc4d2c5182a1ac97ed1223e2c0ca1f364833436fd56c03dd9f03
MP_DOUGH_BOUNCE_STRIP,2,0,Surface,SURF_DOUGH_SOFT,AuthoringOnly,Low,20,4221ff9ad7229254c42896c2e9353b92cdd8aeaeadddc3ac59d74074b53f1200
MP_DOUGH_BOUNCE_STRIP,2,0,Affordance,AFF_BOUNCE,NeedsRuntimeBinding,Medium,40,2bc4b55fc510eab415354335e7d1aa885393fe950bf55c1df6f7eebae23ffd5f
MP_DOUGH_BOUNCE_STRIP,3,0,Surface,SURF_DOUGH_SOFT,AuthoringOnly,Low,20,de5243968961e5ce5340533b2fa2e16bd717566008b6b70598e574db04d04b3f
MP_DOUGH_FERMENT_PATCH,1,1,Material,MAT_DOUGH_FERMENT,MissingData,Low,30,ea1e5f3f01dff367a16617e516c72d027d39f76e35e98f2260d01b1c49ec4790
