cluster_id,schema_version,biome_id,pool_kind,pacing_role,access_class,active_chunk_count,source_starter_cluster_id,source_pattern_pool_digest,footprint_digest,spine_variant_digest,pattern_slot_digest,structural_signature,silhouette_signature,repeat_group,created_utc_excluded_from_canonical_digest,canonical_digest
TC_CRATER_BUFFER_ENTRY_RAMP,map21_03.moonpalace_cluster_pool.v1,MoonCrater,Buffer,SAFE,MANDATORY_NO_TOOL,2,MissingData,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,2a2a474414b201ba85d3c94d0fafa8d561225d808741e2ddf550fb0053725a99,3e06231cdfbfecfc3ddc548a6e1ca1fbeebfedcf0abf587b01f7e6c0dc8a7855,43b6f442e1c3630dde2ebb4104ce26ca0f4923afc0a7f0ff2100d82971fd7a57,d4b7c0b01ce85a7dbf876d6f8a58a5ea46db9ec391e83f75c8f8bbc80f2a3873,7585c573c6929c252d7b6530bb40082ba858bc550c75a6826d083d643ba13741,CraterBuffer,true,4fcc2334feb177c63cecc74688f37c3637b94a5f236952cffd89802199c82ffa
TC_CRATER_BUFFER_EXIT_LEDGE,map21_03.moonpalace_cluster_pool.v1,MoonCrater,Buffer,SAFE,MANDATORY_NO_TOOL,3,MissingData,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,ed403a3e060d7df3e46c1f764c33d1c7f748b24adefdf0fa841e6e44c9c50873,d96e24fb447314e6b9b10b4c458b17d4236eb1a46d513cb3bf3c43b13edaa8b5,f0616d0db3bbf6a5b9c184b627bb132c3bb4a163bcb5f373a0ccb47927f13552,8db7a8e7e771be5ae7a3112a2774e2f00f33ba22f82df4373da0bbe75103c692,be40d53bfbb0aaf3fd8a0774dd88b18cd52fb8c38e0e8c85d5297ddd9f2a8d5a,CraterBuffer,true,7450bb38570ca745039045a729006747233173c30cc750a78698b0f7abf0592b
TC_CRATER_BUFFER_RECOVERY_DIP,map21_03.moonpalace_cluster_pool.v1,MoonCrater,Buffer,RECOVERY,MANDATORY_NO_TOOL,3,MissingData,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,7c576ebfd39d8f11d3c93bbeb191babaa542dfdf1b81c8d779375a0649f931b3,89077d03e04a79e1904614f01422b55448dba88c61215faef62343fc89e144fd,e65901299ba830182a724bb3b2ace1198de247235314f491383875eaf662a02c,6622bf934e783d9bc5a03357712f25767012ba30ddc613922974bae3c26fa206,7ae9f625c47c36a7a1189fedf1873c92ed08d93ee9b01d5f756c8a1d05de6589,CraterBuffer,true,63d04204f3592ce964993c39b808f07b43305cf2eac596e252ae1ab23870f042
TC_CRATER_PROD_BOWL_CROSS,map21_03.moonpalace_cluster_pool.v1,MoonCrater,Terrain,TRAVERSAL,MANDATORY_NO_TOOL,4,MissingData,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,0977b972cceef4c9a5e89840f91571e6ff7ba5cc410054fecbdb84987992cd4d,885f2c2906958a5f3204b701f46cb18a3f9afc599daff7ad23b63bfc0b0cec4e,4737c67431c30677423676145e7d1dc8178f442e21150107de3e12be2309e75a,0c80b96fe43fae572e44e195488a22b63d1168f6d8bfdc73a932cf4eef6d5e4b,7606d2331e96575e4d735341d6613aaddb5eb8ff8b63e5ba12bd36044a9de633,CraterTerrain,true,6b2b26546db1d7c1830c8afee572652dae7a89167c349eeec5a3dda285fa7c82
TC_CRATER_PROD_BROKEN_SLOPE,map21_03.moonpalace_cluster_pool.v1,MoonCrater,Terrain,DISCOVERY,MANDATORY_NO_TOOL,4,TC_CRATER_BROKEN_SLOPE,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,d621f10e98b11b6868501e46e11321d7753543af22feeaee135e18f30162ddf3,fbb6277540a6745590affe97293b94437b7852de65844c675039f5192c0323ae,077eb4ffff19aabe07abc9f54f443d7333758ff2aca0963f4f3573ef3326a138,bec525650a5eb0f7e8efc8e536b4402d1f579618e160e5614dc3d0059cd3257d,4e2bc888cd2259fb44a1062f983572137603149dfd1fcc7bb30db19d022f8348,CraterTerrain,true,6716c75b5d98bcc0fe86d939fc234ac531f99f75e8d293086d2edf51d304ea4c
TC_CRATER_PROD_FALL_RECOVERY,map21_03.moonpalace_cluster_pool.v1,MoonCrater,Terrain,RECOVERY,MANDATORY_NO_TOOL,5,MissingData,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,444373831d8165a97c06a619809b32bfa72e0ad3a390efc21aa65a128cd47479,1fe622a6625476757b6c9fbc54ab7fe57be2799079090b746b77e64c9318401c,f70d2343fdf18de772322450fefbff614bcd65057966244c38498e0923548087,f3e29900629b200bdef644f353a9bc976049a3ee1df7d930237853299f496820,72fed45c43bb4a3fcaca39b375672699d6bdfb8228139fee226852d55674f15f,CraterTerrain,true,2d4d06a5663ddbc506ea186ad7d6b455279064d9ccebdbdad874bd6bcad31660
TC_CRATER_PROD_HIGH_LEDGE,map21_03.moonpalace_cluster_pool.v1,MoonCrater,Terrain,RISK,MANDATORY_NO_TOOL,4,MissingData,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,ba36ad00ec6929392f173b9427e451fbb1a3630ebf79055dbc9e5a7ba333f131,4159d5586e8fab1509e99338cedc9bb19a20d83ed2be3f6e982a8e56ef3b36d9,87b6808b8351329a33353e6bee78e4871ed6b47ed10a6ced05376574f7c32a44,0cb8691eba96416ade213b6b8c78a6d92336a1e2226ddd4efb6c278be20de6c4,0bc075d0a134659fc05276ff5ed3973cf14366ad9efd62abb1d8c2ecbfb8bba4,CraterTerrain,true,8daf5bd385d2765aa82eda293d03d030bab6ddafed968b7bba56325a2a1dda99
TC_CRATER_PROD_RIM_ASCENT,map21_03.moonpalace_cluster_pool.v1,MoonCrater,Terrain,TRAVERSAL,MANDATORY_NO_TOOL,3,TC_CRATER_BOWL_ASCENT,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,24ae051e96f92a5d809fa51b6aed6b2ec964ef5431bddd01123c899a19641d5d,98a964a7b88711bacc1cbba80cc682a1e8e78b1f3448453e0f32d058684c3b78,606a3ef9936aa9c142f451d99bea59319d11c258db58f96065cc6e48ba9bb2ef,f75b9c7f8ea84a07d45d7cef66e6ab0b3dcda5c2f15e2e71eef659ea606182e0,6f24b323509f08a4fcd9021d23409b2c10607a024e50f404f9eb545265e3babe,CraterTerrain,true,e38c9b5961e882533005a0a131e78ac7c8e85ccd0d0cb9589e191794c16c217d
TC_CRATER_PROD_ROCK_SHELF_CHAIN,map21_03.moonpalace_cluster_pool.v1,MoonCrater,Terrain,RECOVERY,MANDATORY_NO_TOOL,5,TC_CRATER_ROCK_SHELF_RECOVERY,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,58fcd7bdaa9cfb26d9f6a3ec23cab32ffdac8b6f1e835cecba53daa643cd7579,e8e34edefa3d7e6d8079c372151a9b75b91c168f89871b6618ff1be5dac0a441,309304fc60293f9853c2c133a91005a0cabcacbbbdbe911c8e4cb5182cd9a88b,db68812256259df0959b33b3176613e1a82d9e54e98fa2f42b987bb745a353e6,a7a565e8de8197a7d32166effbbf28249110bcc28776985f382ba0f0c741a2b5,CraterTerrain,true,d3a557293d6a33eef6fd744de01c6c693c07f6e144e5c59939706ba1d8bff9ca
TC_CRATER_QUIET_DUST_RIM,map21_03.moonpalace_cluster_pool.v1,MoonCrater,Quiet,QUIET,MANDATORY_NO_TOOL,2,TC_CRATER_QUIET_RIM,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,8c8d1a79c6c193839c5e55747f2afe0e1c6420e8ae4e644d40638eb4bb3512a3,699f6d1e626eb1e07ee96c226f3b28288a53d6e4cf837fa361d8672263fee93e,d3b9b59a9451bb495b83f56ead8b5b8f28ee7987216cdc530192733bccdbdd7e,41524e7c3aed0269cac64869334b074c6b5fd63c1a77e2ab997051896e7fe804,0600b0952e88932b59953a22ab2a0ec9c239ac4dcd954b1e7d0fa92626ce8089,CraterQuiet,true,4b94e1d524bb2bc8e1a5ed739bc86cfdd9c997bffd62b9297042b3c40557d0a6
