cluster_id,slot_id,chunk_x,chunk_y,slot_kind,allowed_pattern_ids,biome_id,protected_mask_policy,risk_budget,canonical_digest
TC_CRATER_BUFFER_ENTRY_RAMP,TC_CRATER_BUFFER_ENTRY_RAMP_SLOT_00,0,0,RecoveryCue,MP_CRATER_BOWL|MP_CRATER_BROKEN_SLOPE|MP_CRATER_ROCK_SHELF,MoonCrater,PreserveSpineAndEntryExit,10,5a010f72a636ed4663fc00d66c0d6b63dacfc37df21a0023cd65642d042ad6c6
TC_CRATER_BUFFER_ENTRY_RAMP,TC_CRATER_BUFFER_ENTRY_RAMP_SLOT_01,1,0,RecoveryCue,MP_CRATER_BOWL|MP_CRATER_BROKEN_SLOPE|MP_CRATER_DUST_PATCH,MoonCrater,PreserveSpineAndEntryExit,10,68a57a1474b71b51e738b7b01f4fdeeaa4f623a0b04dffb708df3e083de228f8
TC_CRATER_BUFFER_EXIT_LEDGE,TC_CRATER_BUFFER_EXIT_LEDGE_SLOT_00,0,0,RecoveryCue,MP_CRATER_BOWL|MP_CRATER_BROKEN_SLOPE|MP_CRATER_DUST_PATCH,MoonCrater,PreserveSpineAndEntryExit,10,68017209af412e33770777b7623febb7a972d5f3579d11385e5f287d53d77aa5
TC_CRATER_BUFFER_EXIT_LEDGE,TC_CRATER_BUFFER_EXIT_LEDGE_SLOT_01,1,0,RecoveryCue,MP_CRATER_BROKEN_SLOPE|MP_CRATER_DUST_PATCH|MP_CRATER_GRIP_RIDGE,MoonCrater,PreserveSpineAndEntryExit,10,de4d894c29a2f054d1d0222d06fba78595fa938ff3453d8434f334360b0b9486
TC_CRATER_BUFFER_EXIT_LEDGE,TC_CRATER_BUFFER_EXIT_LEDGE_SLOT_02,1,1,RecoveryCue,MP_CRATER_DUST_PATCH|MP_CRATER_GRIP_RIDGE|MP_CRATER_ROCK_SHELF,MoonCrater,PreserveSpineAndEntryExit,10,1b2045b052dc1f6578c587aa09afd488a3d369f78bcfa717b921b781577a78d4
TC_CRATER_BUFFER_RECOVERY_DIP,TC_CRATER_BUFFER_RECOVERY_DIP_SLOT_00,0,0,RecoveryCue,MP_CRATER_BROKEN_SLOPE|MP_CRATER_DUST_PATCH|MP_CRATER_GRIP_RIDGE,MoonCrater,PreserveSpineAndEntryExit,10,b8e921a783bb3c87c6fcff0adb3648dab91312dcc03bcbf8f96bf34a00eb8804
TC_CRATER_BUFFER_RECOVERY_DIP,TC_CRATER_BUFFER_RECOVERY_DIP_SLOT_01,0,1,RecoveryCue,MP_CRATER_DUST_PATCH|MP_CRATER_GRIP_RIDGE|MP_CRATER_ROCK_SHELF,MoonCrater,PreserveSpineAndEntryExit,10,3769abf9ed705dc6f3c4569aa7dcd43f7bcbaba8128ba0fc3635933034ed0666
TC_CRATER_BUFFER_RECOVERY_DIP,TC_CRATER_BUFFER_RECOVERY_DIP_SLOT_02,0,2,RecoveryCue,MP_CRATER_BOWL|MP_CRATER_GRIP_RIDGE|MP_CRATER_ROCK_SHELF,MoonCrater,PreserveSpineAndEntryExit,10,b954e93eca4a131d4b6fbdf6beea94ab874340a09db2c1d89360517ec072ec3d
TC_CRATER_PROD_BOWL_CROSS,TC_CRATER_PROD_BOWL_CROSS_SLOT_00,0,0,BaselineRequired,MP_CRATER_DUST_PATCH|MP_CRATER_GRIP_RIDGE|MP_CRATER_METEOR_CUE,MoonCrater,PreserveSpineAndEntryExit,35,07b73a4d2132db4fd34170610469bc5516cb0771155dccf0ce8ed91e530d9098
TC_CRATER_PROD_BOWL_CROSS,TC_CRATER_PROD_BOWL_CROSS_SLOT_01,1,0,OptionalSilhouette,MP_CRATER_GRIP_RIDGE|MP_CRATER_METEOR_CUE|MP_CRATER_ROCK_SHELF,MoonCrater,PreserveSpineAndEntryExit,35,e97698359ecaa56a5a154aa5406195e828dbe5379708fa9cad06510fc9f7a545
TC_CRATER_PROD_BOWL_CROSS,TC_CRATER_PROD_BOWL_CROSS_SLOT_02,1,1,OptionalSilhouette,MP_CRATER_BOWL|MP_CRATER_METEOR_CUE|MP_CRATER_ROCK_SHELF,MoonCrater,PreserveSpineAndEntryExit,35,b2f33ec0b0c3e6d1189fd42cfd663e0fe804dc232919702b56cf2a8f222f8b50
TC_CRATER_PROD_BOWL_CROSS,TC_CRATER_PROD_BOWL_CROSS_SLOT_03,2,1,OptionalSilhouette,MP_CRATER_BOWL|MP_CRATER_BROKEN_SLOPE|MP_CRATER_ROCK_SHELF,MoonCrater,PreserveSpineAndEntryExit,35,7dcf151d78044a8f8f4d5e8e65387c3838e2ca58a282a14bdea0dad6fa03838d
TC_CRATER_PROD_BROKEN_SLOPE,TC_CRATER_PROD_BROKEN_SLOPE_SLOT_00,0,0,BaselineRequired,MP_CRATER_BROKEN_SLOPE|MP_CRATER_DUST_PATCH|MP_CRATER_GRIP_RIDGE,MoonCrater,PreserveSpineAndEntryExit,35,2934c6d217d7bc9aad8e510885971c3aeb5f8ec169b952ddec3c68345bf1a0f0
TC_CRATER_PROD_BROKEN_SLOPE,TC_CRATER_PROD_BROKEN_SLOPE_SLOT_01,1,0,OptionalSilhouette,MP_CRATER_DUST_PATCH|MP_CRATER_GRIP_RIDGE|MP_CRATER_METEOR_CUE,MoonCrater,PreserveSpineAndEntryExit,35,8b1a32a382d733f3843f7a383735999a81f3f2526688780dae78f7f18b45ba85
TC_CRATER_PROD_BROKEN_SLOPE,TC_CRATER_PROD_BROKEN_SLOPE_SLOT_02,2,0,OptionalSilhouette,MP_CRATER_GRIP_RIDGE|MP_CRATER_METEOR_CUE|MP_CRATER_ROCK_SHELF,MoonCrater,PreserveSpineAndEntryExit,35,8dfbf70c88b3761922a54043cd3b88c945bc13a7f0f91ee27b0d35d7d7eab23e
TC_CRATER_PROD_BROKEN_SLOPE,TC_CRATER_PROD_BROKEN_SLOPE_SLOT_03,3,0,OptionalSilhouette,MP_CRATER_BOWL|MP_CRATER_METEOR_CUE|MP_CRATER_ROCK_SHELF,MoonCrater,PreserveSpineAndEntryExit,35,bc1db1d26558b990cbb6c932622249d7b7672dcb470021b15ed46fc5e9baa701
TC_CRATER_PROD_FALL_RECOVERY,TC_CRATER_PROD_FALL_RECOVERY_SLOT_00,0,1,BaselineRequired,MP_CRATER_BOWL|MP_CRATER_BROKEN_SLOPE|MP_CRATER_ROCK_SHELF,MoonCrater,PreserveSpineAndEntryExit,35,1d5fe33bd3b5530589c806b8a8a638215972ef8b9f7fb041151b04abb194df59
TC_CRATER_PROD_FALL_RECOVERY,TC_CRATER_PROD_FALL_RECOVERY_SLOT_01,1,1,OptionalSilhouette,MP_CRATER_BOWL|MP_CRATER_BROKEN_SLOPE|MP_CRATER_DUST_PATCH,MoonCrater,PreserveSpineAndEntryExit,35,34c544b5d3cde0c17d4dd10c8d2a8fb6e9830246ae4d7b43dd40bb03fe2dda6c
TC_CRATER_PROD_FALL_RECOVERY,TC_CRATER_PROD_FALL_RECOVERY_SLOT_02,2,1,OptionalSilhouette,MP_CRATER_BROKEN_SLOPE|MP_CRATER_DUST_PATCH|MP_CRATER_GRIP_RIDGE,MoonCrater,PreserveSpineAndEntryExit,35,e6e952298695fbe3a649145dfe3d187d9d3fd2ca576668f4b8a573cc1eeb264c
TC_CRATER_PROD_FALL_RECOVERY,TC_CRATER_PROD_FALL_RECOVERY_SLOT_03,1,0,OptionalSilhouette,MP_CRATER_DUST_PATCH|MP_CRATER_GRIP_RIDGE|MP_CRATER_METEOR_CUE,MoonCrater,PreserveSpineAndEntryExit,35,820d763aed1f6e5bcdc3cc1d6c0fe17293b5fc26074fa4a24b2f4e8d5227a73d
TC_CRATER_PROD_FALL_RECOVERY,TC_CRATER_PROD_FALL_RECOVERY_SLOT_04,1,2,OptionalSilhouette,MP_CRATER_GRIP_RIDGE|MP_CRATER_METEOR_CUE|MP_CRATER_ROCK_SHELF,MoonCrater,PreserveSpineAndEntryExit,35,467c7504d041a8cff4cca0a2ac012937a33dcbb9be64211aecfc9bd50a4527a0
TC_CRATER_PROD_HIGH_LEDGE,TC_CRATER_PROD_HIGH_LEDGE_SLOT_00,0,0,BaselineRequired,MP_CRATER_BOWL|MP_CRATER_METEOR_CUE|MP_CRATER_ROCK_SHELF,MoonCrater,PreserveSpineAndEntryExit,35,1b4b369afc8a3fe1d8544817ccd475b7968657e6800e4b44b09a208653cd62e7
TC_CRATER_PROD_HIGH_LEDGE,TC_CRATER_PROD_HIGH_LEDGE_SLOT_01,0,1,OptionalSilhouette,MP_CRATER_BOWL|MP_CRATER_BROKEN_SLOPE|MP_CRATER_ROCK_SHELF,MoonCrater,PreserveSpineAndEntryExit,35,f316585d6cb2b9ac5b513023da510ad1f1ee4bd89edce63e48373da83b59208e
TC_CRATER_PROD_HIGH_LEDGE,TC_CRATER_PROD_HIGH_LEDGE_SLOT_02,1,1,OptionalSilhouette,MP_CRATER_BOWL|MP_CRATER_BROKEN_SLOPE|MP_CRATER_DUST_PATCH,MoonCrater,PreserveSpineAndEntryExit,35,4be1f1bba67e5c18a8f2331d3eaa6013e9cb5e01ce5ef0d35316f6e07674f0b2
TC_CRATER_PROD_HIGH_LEDGE,TC_CRATER_PROD_HIGH_LEDGE_SLOT_03,1,2,OptionalSilhouette,MP_CRATER_BROKEN_SLOPE|MP_CRATER_DUST_PATCH|MP_CRATER_GRIP_RIDGE,MoonCrater,PreserveSpineAndEntryExit,35,3e27c5b4e03fd78c3c8cb88d7e61c4547695d222e71d0acaf50b59dd61b25b80
TC_CRATER_PROD_RIM_ASCENT,TC_CRATER_PROD_RIM_ASCENT_SLOT_00,0,0,BaselineRequired,MP_CRATER_BOWL|MP_CRATER_BROKEN_SLOPE|MP_CRATER_DUST_PATCH,MoonCrater,PreserveSpineAndEntryExit,35,c464cb23bd076646a940ab6bbfb975696763aaf1867f2da1d0b2408bc653edbb
TC_CRATER_PROD_RIM_ASCENT,TC_CRATER_PROD_RIM_ASCENT_SLOT_01,1,0,OptionalSilhouette,MP_CRATER_BROKEN_SLOPE|MP_CRATER_DUST_PATCH|MP_CRATER_GRIP_RIDGE,MoonCrater,PreserveSpineAndEntryExit,35,41266e4d6eeb95f7c713785c643f7ed1a6f2b0f5cad5d4df8e6c6975cb0730ef
TC_CRATER_PROD_RIM_ASCENT,TC_CRATER_PROD_RIM_ASCENT_SLOT_02,2,0,OptionalSilhouette,MP_CRATER_DUST_PATCH|MP_CRATER_GRIP_RIDGE|MP_CRATER_METEOR_CUE,MoonCrater,PreserveSpineAndEntryExit,35,2ac26eccc6f80948bbc5a7861a948f499da6c2450272fa3accbc3a7c7757c0ab
TC_CRATER_PROD_ROCK_SHELF_CHAIN,TC_CRATER_PROD_ROCK_SHELF_CHAIN_SLOT_00,0,0,BaselineRequired,MP_CRATER_GRIP_RIDGE|MP_CRATER_METEOR_CUE|MP_CRATER_ROCK_SHELF,MoonCrater,PreserveSpineAndEntryExit,35,77bd5716cbd81992e87df17c8ea1ed8ae029d488b7c29c7939c0db7082b93f23
TC_CRATER_PROD_ROCK_SHELF_CHAIN,TC_CRATER_PROD_ROCK_SHELF_CHAIN_SLOT_01,1,0,OptionalSilhouette,MP_CRATER_BOWL|MP_CRATER_METEOR_CUE|MP_CRATER_ROCK_SHELF,MoonCrater,PreserveSpineAndEntryExit,35,c6f3977a24b5a11e86fa60c77f93b7845fd6aae575190cfa5b778e62adc3b817
TC_CRATER_PROD_ROCK_SHELF_CHAIN,TC_CRATER_PROD_ROCK_SHELF_CHAIN_SLOT_02,1,1,OptionalSilhouette,MP_CRATER_BOWL|MP_CRATER_BROKEN_SLOPE|MP_CRATER_ROCK_SHELF,MoonCrater,PreserveSpineAndEntryExit,35,5877147f19978159782d2acb49300e2741eef3fa9f2246bc80ad4213d65854a7
