cluster_id,spine_variant_id,is_baseline,entry_side,exit_side,route_intent,movement_tokens,high_route_state,recovery_state,protected_mask_policy,canonical_digest
TC_CRATER_BUFFER_ENTRY_RAMP,TC_CRATER_BUFFER_ENTRY_RAMP_ALT,false,L,R,CraterBufferEntryRamp.Alternate,Walk|Drop,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,b1cc141d8345dbf55b30a9cb40bb2544bee2ab86e4ceb40e779e472d4f5e5b2e
TC_CRATER_BUFFER_ENTRY_RAMP,TC_CRATER_BUFFER_ENTRY_RAMP_BASE,true,L,R,CraterBufferEntryRamp.Baseline,Walk|Jump,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,b25f54054e81dae240943e6dca85e05a26bd51a3af57b155c1113b18b58423d6
TC_CRATER_BUFFER_EXIT_LEDGE,TC_CRATER_BUFFER_EXIT_LEDGE_ALT,false,L,U,CraterBufferExitLedge.Alternate,Walk|Drop,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,99a293dd7fd6344bec68fa208c7ad75cca1d50618e6fb5dbcaf3b89b4c57f0ca
TC_CRATER_BUFFER_EXIT_LEDGE,TC_CRATER_BUFFER_EXIT_LEDGE_BASE,true,L,U,CraterBufferExitLedge.Baseline,Walk|Jump,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,ee7d27c15dcc70f4aefdb059ce7b7ebdff289d4246a6119eca16947eefbe0297
TC_CRATER_BUFFER_RECOVERY_DIP,TC_CRATER_BUFFER_RECOVERY_DIP_ALT,false,D,U,CraterBufferRecoveryDip.Alternate,Walk|Drop,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,f1ce4a475aee55c01d07913571bdad5395b77aeb887fe736a423154fff4de4d0
TC_CRATER_BUFFER_RECOVERY_DIP,TC_CRATER_BUFFER_RECOVERY_DIP_BASE,true,D,U,CraterBufferRecoveryDip.Baseline,Walk|Jump,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,455b640e65609f713ae1c8840aa1bb19692f4f445adbdfee738aa16479893266
TC_CRATER_PROD_BOWL_CROSS,TC_CRATER_PROD_BOWL_CROSS_ALT,false,L,R,CraterBowlCross.Alternate,Jump|Drop,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,58101d9801e9ad685b3af12e2bc3755be78d7d2649f297d6b13c8ebc44b943e5
TC_CRATER_PROD_BOWL_CROSS,TC_CRATER_PROD_BOWL_CROSS_BASE,true,L,R,CraterBowlCross.Baseline,Walk|Jump,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,6f230e928c0e296069843f65b41f329040dd52dee15e3ec049a29fcd50c3b9dc
TC_CRATER_PROD_BROKEN_SLOPE,TC_CRATER_PROD_BROKEN_SLOPE_ALT,false,U,D,CraterBrokenSlopeDrop.Alternate,Jump|Drop,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,654dc0f3765764570558cf1a82697d2609bf50a31401bbd44c4b77ec30509a87
TC_CRATER_PROD_BROKEN_SLOPE,TC_CRATER_PROD_BROKEN_SLOPE_BASE,true,U,D,CraterBrokenSlopeDrop.Baseline,Walk|Jump,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,9f498e0145d8788bb7ce5ceeac23f1074103aa02a53faeecc96a7dc69a4bee90
TC_CRATER_PROD_FALL_RECOVERY,TC_CRATER_PROD_FALL_RECOVERY_ALT,false,U,L,CraterFallRecovery.Alternate,Jump|Drop,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,6f65fe91b9bdff65aa6bbc9e172235cbde11007f86ffae172286cbb77cdb65cc
TC_CRATER_PROD_FALL_RECOVERY,TC_CRATER_PROD_FALL_RECOVERY_BASE,true,U,L,CraterFallRecovery.Baseline,Walk|Jump,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,729db0426fa09996f55d9ddff86408bfbd1510f296e19a0c9cfca63fb7fceb73
TC_CRATER_PROD_HIGH_LEDGE,TC_CRATER_PROD_HIGH_LEDGE_ALT,false,D,U,CraterHighLedge.Alternate,Jump|Drop,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,8d26a6da92cdb0a2e50011d4597e1bef55a3673f15f8b1a7b7ba9a7c7dc6f401
TC_CRATER_PROD_HIGH_LEDGE,TC_CRATER_PROD_HIGH_LEDGE_BASE,true,D,U,CraterHighLedge.Baseline,Walk|Jump,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,dc4d334857ec35a12949b196a5c90ec2fa761d90504d555e17ed602ae0c5d392
TC_CRATER_PROD_RIM_ASCENT,TC_CRATER_PROD_RIM_ASCENT_ALT,false,L,R,CraterRimAscent.Alternate,Jump|Drop,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,f403a3525c41713a8a2dde63c1ecc58a6c3315a8cdfa348eb582d38a7d14d8ed
TC_CRATER_PROD_RIM_ASCENT,TC_CRATER_PROD_RIM_ASCENT_BASE,true,L,R,CraterRimAscent.Baseline,Walk|Jump,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,8e29b6be9d8f296f2ea6a6d01346e4d8f27f2513e8f3fc54f1af75b3f25a0b6a
TC_CRATER_PROD_ROCK_SHELF_CHAIN,TC_CRATER_PROD_ROCK_SHELF_CHAIN_ALT,false,L,D,CraterRockShelfChain.Alternate,Jump|Drop,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,8ba9598231302665e9643ef8142477e9f4214ec5cee8e07c0616ca0ad480b0a0
TC_CRATER_PROD_ROCK_SHELF_CHAIN,TC_CRATER_PROD_ROCK_SHELF_CHAIN_BASE,true,L,D,CraterRockShelfChain.Baseline,Walk|Jump,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,b7f6e445fc2b773bd070e6c7e73570320882256a87dda11d203df90708f0bd04
TC_CRATER_QUIET_DUST_RIM,TC_CRATER_QUIET_DUST_RIM_ALT,false,L,R,CraterQuietDustRim.Alternate,Jump|Drop,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,379c1de70cfb970a36dc0bbc44390cf8a8d41f54bc93da1098b3f18fc23e6289
TC_CRATER_QUIET_DUST_RIM,TC_CRATER_QUIET_DUST_RIM_BASE,true,L,R,CraterQuietDustRim.Baseline,Walk|Jump,BaselineProtected,QuietStable,PreserveSpineAndEntryExit,e8b208c04065ec26264204e76a8ebb506c1c3c2f46c8eb8c42f7ead81ee162e0
TC_CRATER_QUIET_SHADOW_SHELF,TC_CRATER_QUIET_SHADOW_SHELF_ALT,false,R,L,CraterQuietShadowShelf.Alternate,Jump|Drop,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,dbd85560e411b696134fecdf037e3f8357509590ded74cf0697145c1198398f7
TC_CRATER_QUIET_SHADOW_SHELF,TC_CRATER_QUIET_SHADOW_SHELF_BASE,true,R,L,CraterQuietShadowShelf.Baseline,Walk|Jump,BaselineProtected,QuietStable,PreserveSpineAndEntryExit,3702ec7b5bd7f035778ebd9c649ddda41d595b593a143ee1523861ce932a2a26
TC_CRATER_QUIET_SHALLOW_BOWL,TC_CRATER_QUIET_SHALLOW_BOWL_ALT,false,U,D,CraterQuietShallowBowl.Alternate,Jump|Drop,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,be05394eec9d15e334b68c78973a9a104a30b0e23a7558f7b10474b45f999edc
TC_CRATER_QUIET_SHALLOW_BOWL,TC_CRATER_QUIET_SHALLOW_BOWL_BASE,true,U,D,CraterQuietShallowBowl.Baseline,Walk|Jump,BaselineProtected,QuietStable,PreserveSpineAndEntryExit,c7c4e499d4d94598b039817fa53216e4561e8d1b3b3c92ca3793b0be2c8cc8da
TC_ROOT_BUFFER_ENTRY_ARCH,TC_ROOT_BUFFER_ENTRY_ARCH_ALT,false,L,R,RootBufferEntryArch.Alternate,Walk|Drop,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,9c09b86b1c2ecbf41dc3cedc4e8b8730203f861f9b8a2c647cefd6c5fb852a71
TC_ROOT_BUFFER_ENTRY_ARCH,TC_ROOT_BUFFER_ENTRY_ARCH_BASE,true,L,R,RootBufferEntryArch.Baseline,Walk|Climb,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,030d7a2ba5de58698c98bf01f7e10174611ed7901d35c8c5f4a45b278a6a3427
TC_ROOT_BUFFER_EXIT_TUNNEL,TC_ROOT_BUFFER_EXIT_TUNNEL_ALT,false,D,U,RootBufferExitTunnel.Alternate,Walk|Drop,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,9ff8ce1ed10884c942aa7d9b9c0912ee85685bdd5d64b5f495427e7a138603fb
TC_ROOT_BUFFER_EXIT_TUNNEL,TC_ROOT_BUFFER_EXIT_TUNNEL_BASE,true,D,U,RootBufferExitTunnel.Baseline,Walk|Climb,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,3b42ad94dbc63b07c55cb2145607643777149768bacb22a1208fd899c80cf05e
TC_ROOT_BUFFER_RECOVERY_CANOPY,TC_ROOT_BUFFER_RECOVERY_CANOPY_ALT,false,L,U,RootBufferRecoveryCanopy.Alternate,Walk|Drop,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,4e146d5ca83d6e9cf4ce25c989fdf00d922666eb23d872afd878dd222ce129f6
TC_ROOT_BUFFER_RECOVERY_CANOPY,TC_ROOT_BUFFER_RECOVERY_CANOPY_BASE,true,L,U,RootBufferRecoveryCanopy.Baseline,Walk|Climb,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,612d01477bd09127264e0f498652d0b67982e09e906c331bc4f18aaf133c5a34
TC_ROOT_PROD_ARCH_FLOW,TC_ROOT_PROD_ARCH_FLOW_ALT,false,L,R,RootArchFlow.Alternate,Climb|Jump,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,8c66698ca47532b6d1206f6270deb8aa9aa070b92f0a8c4454df5a196117605c
TC_ROOT_PROD_ARCH_FLOW,TC_ROOT_PROD_ARCH_FLOW_BASE,true,L,R,RootArchFlow.Baseline,Walk|Climb,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,bf3110e80a1e40bb6c6b9acfd61b1d1318a5d22323437dbfd7c83a7757a5b42d
TC_ROOT_PROD_CANOPY_SWITCHBACK,TC_ROOT_PROD_CANOPY_SWITCHBACK_ALT,false,D,R,RootCanopySwitchback.Alternate,Climb|Jump,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,c836cf61dcfdfaa599e6ae8ec84dfdf330f8551cd765de0edd169d698b09967b
TC_ROOT_PROD_CANOPY_SWITCHBACK,TC_ROOT_PROD_CANOPY_SWITCHBACK_BASE,true,D,R,RootCanopySwitchback.Baseline,Walk|Climb,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,2a1225b48a95f31fe0f88d3bafe34d3317d8f4c0490acf0e5b9b762531e64690
TC_ROOT_PROD_FORK_RECOVERY,TC_ROOT_PROD_FORK_RECOVERY_ALT,false,L,D,RootForkRecovery.Alternate,Climb|Jump,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,c05dd54729faec6c6a17349443de460a98e8b98ac689d275a506147695d087b7
TC_ROOT_PROD_FORK_RECOVERY,TC_ROOT_PROD_FORK_RECOVERY_BASE,true,L,D,RootForkRecovery.Baseline,Walk|Climb,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,6e19bca644ce88cd481927aef465ba0f7f31681ab8b861f1b7ab66b47d986121
TC_ROOT_PROD_HOLLOW_POCKET,TC_ROOT_PROD_HOLLOW_POCKET_ALT,false,L,R,RootHollowPocket.Alternate,Climb|Jump,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,64d9a575bcba4e129b9730a342af0bd02cafe12d2f2080c443ecfc13bcdbadce
TC_ROOT_PROD_HOLLOW_POCKET,TC_ROOT_PROD_HOLLOW_POCKET_BASE,true,L,R,RootHollowPocket.Baseline,Walk|Climb,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,caebb8a91aa2858f03873a4fd6104154d9340f105efe63754aa6d4a44a8fb070
TC_ROOT_PROD_SAP_LEDGE,TC_ROOT_PROD_SAP_LEDGE_ALT,false,L,R,RootSapLedge.Alternate,Climb|Jump,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,8759fa28670c82165a31ea534da9be544a64a8f0125e1b816dec45d0eeda0738
TC_ROOT_PROD_SAP_LEDGE,TC_ROOT_PROD_SAP_LEDGE_BASE,true,L,R,RootSapLedge.Baseline,Walk|Climb,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,89b253bd0be2793f6c99e09ea34041fa017a75ebf2cb2d7cdbe3d7df338fc234
TC_ROOT_PROD_VERTICAL_TUNNEL,TC_ROOT_PROD_VERTICAL_TUNNEL_ALT,false,D,U,RootVerticalTunnel.Alternate,Climb|Jump,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,d4293dcb644e6a264091ad651884caa0f0135f5d9df78a256a12b81896f923a3
TC_ROOT_PROD_VERTICAL_TUNNEL,TC_ROOT_PROD_VERTICAL_TUNNEL_BASE,true,D,U,RootVerticalTunnel.Baseline,Walk|Climb,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,edf3208e0c6a696119136f1ae20bbace3b72ce86638c72f0cd5b9deb3e7e51cb
TC_ROOT_QUIET_ARCH_SHADE,TC_ROOT_QUIET_ARCH_SHADE_ALT,false,L,R,RootQuietArchShade.Alternate,Climb|Jump,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,6574c89f3d2e4263c2724314b3675ea84920a3dbf1b7f8c2925d56e7f5d48e22
TC_ROOT_QUIET_ARCH_SHADE,TC_ROOT_QUIET_ARCH_SHADE_BASE,true,L,R,RootQuietArchShade.Baseline,Walk|Climb,BaselineProtected,QuietStable,PreserveSpineAndEntryExit,8e6dea0bb5b40263c94a5661e5a5073b7313c95225e42118baea891854d6d0e1
TC_ROOT_QUIET_ROOT_BRIDGE,TC_ROOT_QUIET_ROOT_BRIDGE_ALT,false,R,L,RootQuietBridge.Alternate,Climb|Jump,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,d80c447a468e804850b99e50e3673371050891435b02bbba6a86ad5a5e89ff85
TC_ROOT_QUIET_ROOT_BRIDGE,TC_ROOT_QUIET_ROOT_BRIDGE_BASE,true,R,L,RootQuietBridge.Baseline,Walk|Climb,BaselineProtected,QuietStable,PreserveSpineAndEntryExit,51046a5ed53de9ad4b6ff3db2a6eaa1e1a6caa024c483986b3311b60553cbf89
TC_ROOT_QUIET_VINE_PASSAGE,TC_ROOT_QUIET_VINE_PASSAGE_ALT,false,D,U,RootQuietVinePassage.Alternate,Climb|Jump,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,5a7d811a9bab10e36735ceb38a138e0b7d3750a133a1f0f79446e8c7980ca7cf
TC_ROOT_QUIET_VINE_PASSAGE,TC_ROOT_QUIET_VINE_PASSAGE_BASE,true,D,U,RootQuietVinePassage.Baseline,Walk|Climb,BaselineProtected,QuietStable,PreserveSpineAndEntryExit,98bab639acd97b9d0ed99a29429962e8da9e3aea6a9f57d4456ab53884ed93b0
