cluster_id,schema_version,biome_id,pool_kind,pacing_role,access_class,active_chunk_count,source_starter_cluster_id,source_pattern_pool_digest,footprint_digest,spine_variant_digest,pattern_slot_digest,structural_signature,silhouette_signature,repeat_group,created_utc_excluded_from_canonical_digest,canonical_digest
TC_DOUGH_BUFFER_ENTRY_CUP,map21_03.moonpalace_cluster_pool.v1,MoonDough,Buffer,SAFE,MANDATORY_NO_TOOL,2,MissingData,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,b9a0f7bdadfc8c159574b60a9d9251ef185f214c46fdb055153a2b2d077aa268,ed5b61d3b0f2b8c867fc2e338be4158903d2fb29b68f7a1bc6961b664163f939,5e6ac938af387966129740aa61dbab8dea58b108d13e2dcd50834e597c2ed45c,7e3912199680d2592fdc693f177afb0de295108da72db49e98f86f4712955a3a,f7fc02c23247ea2a2bb7aad607fd28cfceac641ab2459b4aa0bea9d8d7c5e5a4,DoughBuffer,true,4ba3a97734d5f764a925df49769857fb7d217cd9b6b776479f882fc72f7e5ec8
TC_DOUGH_BUFFER_EXIT_SHELF,map21_03.moonpalace_cluster_pool.v1,MoonDough,Buffer,SAFE,MANDATORY_NO_TOOL,3,MissingData,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,abc600c5b4ca44973068a40981cc897ff42ec09477fd507c38a99b94ffd4d915,cf20722adeeb4ebbdbe8d5775b635aa277075d4dc00bc5bf3407953ea7cb0e49,a405d4cb3ff4e8ea1ea86f186ea7ffd59c57a24a5b6b810a73fe5e80f0c3f239,48828b3029a640f44f39b504e5e7a5b5079e4dae79b57ba005977f590ce305d5,449555ffb8481b048f85ffa3b8c4284e39d51d1a0f36b2d7fbf980b5339e0c76,DoughBuffer,true,a07f86e44fc44f5324b0d97c9cd84108b2513f5cbf822930d3ea8c86699473ff
TC_DOUGH_BUFFER_RECOVERY_BOWL,map21_03.moonpalace_cluster_pool.v1,MoonDough,Buffer,RECOVERY,MANDATORY_NO_TOOL,3,MissingData,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,b6b6b842967e02b54bb137e84a499b25971f0ba853ae0824f641efeb8aff6f4e,6e1384b635efceda872aebfe3120f9c4c0a7d21bd5ea32a53a2ff324eeaf74fa,13aa7c873564ea3c22fb7b5b48633fd6bd7ba8259bfc71aeb28bfefa649ceabc,7b395c7eec5fa9b90e4b0b40a9f57fbf69cc289f6cf7fc949d9a8eb42bbb3cb9,cc007c22139f86cd59e21222c03ee43f78fdf33bd31c6ad0386e9f89ed8fce3a,DoughBuffer,true,3e143fee249a7b5434da646364d6e5c89da77cc20b74b382607bba5ea9c2c21b
TC_DOUGH_PROD_BOUNCE_CUP,map21_03.moonpalace_cluster_pool.v1,MoonDough,Terrain,TRAVERSAL,MANDATORY_NO_TOOL,3,TC_DOUGH_BOUNCE_CUP,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,81f37c45d2bb9a7fc0e748e59b7c98ea355afeb987dd4eb8d96bd1cff01aead2,65291536e09eee6d8a813d7d15d9aaad712a59ec90f836d978452d10a793b4f3,4ff7f5c88956a702886f76930fa22d3319aa0b5ad611e6e2bf3c042c506b5fc2,def2a6a11d74c8876fafd655f1eed977d7e2d0f4a019533d5f841bdb2e963560,b493ef8e05f2effd1dccbc47e2254e0b0e774a011125ff05ac59f93dd1c53504,DoughTerrain,true,c26fbba10fa33c01c34856aa5f4a66cb7fbf559c9c63a5fa1674fdfe683a8b7b
TC_DOUGH_PROD_FERMENT_RISE,map21_03.moonpalace_cluster_pool.v1,MoonDough,Terrain,RISK,MANDATORY_NO_TOOL,5,MissingData,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,d9516dec907b270c8b9f5f9788c73f1cd29c2bc6b8fc6ae5ecc8ec8dfcba4a89,575369daecc261a3d76a3824ea18ad4ebd5456092ae30967571a405c71031c04,7c751cbec62003975f1459abb6a7f083718cfc1e3fd57123858df72a7a81258d,6ecb1c3fc0982da56e9527e0c4ebb7bc94aa1cc722ae794164fae0507fae5633,afb6a4dc43a966f3045c8bdc6367cae62b9329638d1474b59f94a2925e1f21b9,DoughTerrain,true,84b7843e6d31bc85f2ef26c5aa8b59be1596ea4988b7a0d96e6454ceea55e677
TC_DOUGH_PROD_RECOVERY_PAD_CHAIN,map21_03.moonpalace_cluster_pool.v1,MoonDough,Terrain,RECOVERY,MANDATORY_NO_TOOL,4,MissingData,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,fbbb770f9a0d3bb73608fffef32d528205a1872cd07564c054c89afa55f94927,1df4fb3d8bff1f7c5dbf25cfa199f92d03714eb123f957bc85ba99ca153b0bef,4fa700af8842b65a7394bb56520f774af90152029be1363e6703b6f2565b4d4d,e9206cba109940dbaddec6ebf3e0045ad9a41f56d65b7ec89f3fb2c1748f5287,51cd09d817e69286a400829fe05cfab6ce176a55b0d7c9d49be2cbbc75590da6,DoughTerrain,true,5ede6bb2a850984d09a8b5ec31f6531c9c4efee4b11faa5e4c3d5fd4b38e63c3
TC_DOUGH_PROD_SOFT_POCKET,map21_03.moonpalace_cluster_pool.v1,MoonDough,Terrain,DISCOVERY,MANDATORY_NO_TOOL,4,TC_DOUGH_SOFT_POCKET,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,199ef7234b929023154a7a14aa0d82ecbae623110c9cbc44dbfdc65fdf9471b3,5f5bc7899e13730288c3cd3ac66b4a367a18ef32b4fec97b5a4b9d1a69a33f7d,e8af3c450ef2cf2a4604cf7a8021c95649390185e0432c9fb8c5a53748a50591,f35c7282ef6c16e8967317fcd66fe926132398f95ce61a4afcff36cac07e1c7b,bf7b8b6a4788bbcca596319e77b813d60668af2b0224f928d13c1f12e1e8f8c2,DoughTerrain,true,7ec4b72b8e019fffaa1e199af693c9185df004a5f9126dbe6b6389d2707239f2
TC_DOUGH_PROD_SQUISH_CROSS,map21_03.moonpalace_cluster_pool.v1,MoonDough,Terrain,DISCOVERY,MANDATORY_NO_TOOL,5,MissingData,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,4ac7050f1818ac4b4f2b16e40047e00be67e27d9ffa7569e7d8f88230127f9b4,c38f5f3526d0bfa546375341b5a934e1c85a40b25f3d91fc61cbf540a1320d82,afe3a8bf9e40bb32a878cca0a938c188bc92836e9b7323361a5225bf8036c508,d999d291b39f1c29b4b19fa4e0936c4c2edfce0da74d4d39aa73cb467228e947,955af7a82b332300b816a6c1235e1ed0d8a394d6c21fc93122533a129d9679e5,DoughTerrain,true,d98d2f53e81b3d66053b4bcd47bec59d6d2cdc1c8f2957e39abea83fd7450be9
TC_DOUGH_PROD_STICKY_SHELF,map21_03.moonpalace_cluster_pool.v1,MoonDough,Terrain,TRAVERSAL,MANDATORY_NO_TOOL,4,TC_DOUGH_STICKY_RISE_RECOVERY,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,a2ab32c5db7af6cf8d544da9ba3653d62b43431426e5234f5c6ab2505b682d76,19d718acee6387318493b7b53e3235dfd746caaf917865ef0a443552b6398529,6b8306ee20a0c50a72fbd0a9afbda04dd1c7d056d54d405053a2480f96e01820,ff5b7a5b29b01dbe9aee545a4ca4e886f426690c7b7070143aab0de194a46fc4,e3b6be1c2d7cdb435e2c06524618e3a0cd1037a6706b5753827dd52b8c639f66,DoughTerrain,true,9188a7ab4a47dd4c9d153bc80e0e70faaeeca6b9cf86fccf542c638bcd2fc9af
TC_DOUGH_QUIET_FERMENT_POCKET,map21_03.moonpalace_cluster_pool.v1,MoonDough,Quiet,QUIET,MANDATORY_NO_TOOL,2,MissingData,64765ac5aeccf149ebf635c54519a58ecc2629f98e6cacd285ee1bfacb77c560,65fa03b6beb18ca026f4666ac9458764d894de07dd8d2a3aaa98c2df61448d73,559905e614dff510c42bb13ad94851c5b4c4d98153b5878ca582e4ab90f776f6,bfb8e395e9d8cb80e68bbecb11ab0b0f9f84b11be5afedec3dca86757010fd2c,4880d08be636044e453bdcef99e73b4d816b7131265384c18bb20d74c42fcb09,a55e02cd4f162563f1dfd89513d4c110a349ab486979d86f589734d12b6abcc3,DoughQuiet,true,d09562db3f3688983f85bd3e196414eeafd119da31e72d9ca7e20e3653d0689a
