cluster_id,chunk_x,chunk_y,chunk_role,entry_side,exit_side,is_entry_chunk,is_exit_chunk,canonical_digest
TC_DOUGH_BUFFER_ENTRY_CUP,0,0,Entry,L,R,true,false,95eebf51a94a0b5d93f695be1bc24623c6a37313a672b536e8ca07bc083b94cb
TC_DOUGH_BUFFER_ENTRY_CUP,1,0,Exit,L,R,false,true,0a4e4638bdce18ec32ceb0ffd1d34e4ec38916c575d58b99b4bd9e96a1967c62
TC_DOUGH_BUFFER_EXIT_SHELF,0,0,Entry,L,R,true,false,d1759234e97b312d01c15f9a3e958228464adc47478abbf5d5ecc93ec8a4d0c2
TC_DOUGH_BUFFER_EXIT_SHELF,1,0,Core,L,R,false,false,979419701c9d3d93dea6f1621b4437fdc1bb02547c4ad8c5913513f2ea92e79f
TC_DOUGH_BUFFER_EXIT_SHELF,2,0,Exit,L,R,false,true,65611e024b5b193be700aa1ebb96c6604e6653c7eb52e95bc81c471b348c205a
TC_DOUGH_BUFFER_RECOVERY_BOWL,0,0,Entry,D,R,true,false,7b9fc7f5cf959056c64dbba594501978f4091c4b6c6f27b8b64f020e41deaa0a
TC_DOUGH_BUFFER_RECOVERY_BOWL,0,1,Core,D,R,false,false,705bb84d830dcae639fb9b55e73b10927ee42eed5805df13e10b6b54dd584742
TC_DOUGH_BUFFER_RECOVERY_BOWL,1,1,Exit,D,R,false,true,29e7b0ca458d1d20aae83991a1c8752bfaf1161a2b8129a8b15cee3b6e9401b4
TC_DOUGH_PROD_BOUNCE_CUP,0,0,Entry,L,R,true,false,6a9d837c775e8f126ff34c2186455f2e177fa1bcdb1f52fd0abfe6e9ac0b1bf3
TC_DOUGH_PROD_BOUNCE_CUP,1,0,Core,L,R,false,false,c0ed3568099341bf3cfc40a144a515dabed7006aac86970eb64870feb0885ad8
TC_DOUGH_PROD_BOUNCE_CUP,2,0,Exit,L,R,false,true,4fe63bf25fc27c827658e2fe1370beee2f4a8388f7a2093a0b005bbe20bf1387
TC_DOUGH_PROD_FERMENT_RISE,0,0,Entry,D,R,true,false,ed8b0a54054b8875eef022cd5af9ca0361ebd7dd4731fd8e77fddc86fc3a5894
TC_DOUGH_PROD_FERMENT_RISE,0,1,BuildUp,D,R,false,false,74ed2918dc3222a7fafb164ac2859a2eea504b7455123035564c0871ef9f48a9
TC_DOUGH_PROD_FERMENT_RISE,0,2,Core,D,R,false,false,75417e0617033a63adc443ebef00709885d20b359e6dfc8491b4d374a6400a61
TC_DOUGH_PROD_FERMENT_RISE,1,2,Recovery,D,R,false,false,ed32cbf6572b4c91e06aca8a07279f7d4a8e3c7bca0c2537cb71514bffba9879
TC_DOUGH_PROD_FERMENT_RISE,2,2,Exit,D,R,false,true,946ed7cf8f1e569ba5f8967b80d4fcc10471b08eb011a01134dc9fe878e514a5
TC_DOUGH_PROD_RECOVERY_PAD_CHAIN,0,0,Entry,L,U,true,false,ec997fa82d4a59ca800da78fa7b661c4376f57839ed2c9e3cc6f443a1c2656bc
TC_DOUGH_PROD_RECOVERY_PAD_CHAIN,1,0,BuildUp,L,U,false,false,03e24cc8706fd83d36aa1a3e1e7e455772415e468091979f70aed5422e7bf96e
TC_DOUGH_PROD_RECOVERY_PAD_CHAIN,2,0,Core,L,U,false,false,ee7a7773832b6ef4d6a5cd7fdcfdd7854fc413203080a9ec9d05af939a361223
TC_DOUGH_PROD_RECOVERY_PAD_CHAIN,2,1,Exit,L,U,false,true,6765357b0cedcc8600496edce19bac51463364cfa1e0be0bcf6231d925fb6977
TC_DOUGH_PROD_SOFT_POCKET,0,0,Entry,L,R,true,false,48b47205b9e09da8bd6cddc05f87edc03bcdc902ed974b59d804512feed5629c
TC_DOUGH_PROD_SOFT_POCKET,1,0,BuildUp,L,R,false,false,f032108e5e934af012479c658b50ce074f993ee41c0a33b5c3353fdfbcdba947
TC_DOUGH_PROD_SOFT_POCKET,1,1,Core,L,R,false,false,f2036834a0b8a87c867bd32892bca2432edbc3af5b2f2ad4de1a8ad6bed888ca
TC_DOUGH_PROD_SOFT_POCKET,2,1,Exit,L,R,false,true,06905099ff0795cb92d83ea4e2bf763c7f874e2f60fff26ab34e0699ffa6fdab
TC_DOUGH_PROD_SQUISH_CROSS,1,0,Recovery,U,D,false,false,d9e5d43ea24de2a6d70502c29a8dc3953e12c82a653a67d7f82277abd65265d1
TC_DOUGH_PROD_SQUISH_CROSS,0,1,Entry,U,D,true,false,98595e99633433b924878d4d70324f988ed68d331c622a9d33b0169108050df0
TC_DOUGH_PROD_SQUISH_CROSS,1,1,BuildUp,U,D,false,false,b199a81ca24c481574e5eaf3229d05305a4b810bf7aba764dc8bafcf46b55cae
TC_DOUGH_PROD_SQUISH_CROSS,2,1,Core,U,D,false,false,0e1640e70b7ee29bc9a2b89400cc91a7e08e7646db8895a225bdfdaaaed1fcef
TC_DOUGH_PROD_SQUISH_CROSS,1,2,Exit,U,D,false,true,5bd44c6efcb22ea84f28ba6e9dea3e6df8f29a4072a4c2eb6abab1196f84efb6
TC_DOUGH_PROD_STICKY_SHELF,0,0,Entry,D,R,true,false,408518fc33966195afe323319a854901a692dec9c58aff359b6527916308c263
TC_DOUGH_PROD_STICKY_SHELF,0,1,BuildUp,D,R,false,false,98d7f97c93715fb282045fc2769de144be57d4e203b889e532466ae1b887e771
TC_DOUGH_PROD_STICKY_SHELF,1,1,Core,D,R,false,false,2964a7951140e74210f55d65e7a15244faaf77b710378f481cff06d5bcb6d31d
TC_DOUGH_PROD_STICKY_SHELF,2,1,Exit,D,R,false,true,86bb9ab6d76b0620d98e5a19608b4f80c9d26a836eba96d3360053cbb95bb309
TC_DOUGH_QUIET_FERMENT_POCKET,0,0,Entry,D,U,true,false,ec4b30df75205a84726e94126f3e9c31d47ef9572b979f5f6aa52f684071bb3c
TC_DOUGH_QUIET_FERMENT_POCKET,0,1,Exit,D,U,false,true,250441bac5208f2209ffda8bf31acac93800fe19678ce1b5173d516e8736d332
