cluster_id,slot_id,chunk_x,chunk_y,slot_kind,allowed_pattern_ids,biome_id,protected_mask_policy,risk_budget,canonical_digest
TC_DOUGH_BUFFER_ENTRY_CUP,TC_DOUGH_BUFFER_ENTRY_CUP_SLOT_00,0,0,RecoveryCue,MP_DOUGH_BOUNCE_STRIP|MP_DOUGH_RECOVERY_PAD|MP_DOUGH_SOFT_POCKET,MoonDough,PreserveSpineAndEntryExit,10,da10fc7ab1a9fa4dd2fd7d091563de5a4761dd7224942128b141e864084ba212
TC_DOUGH_BUFFER_ENTRY_CUP,TC_DOUGH_BUFFER_ENTRY_CUP_SLOT_01,1,0,RecoveryCue,MP_DOUGH_RECOVERY_PAD|MP_DOUGH_SOFT_POCKET|MP_DOUGH_STICKY_SHELF,MoonDough,PreserveSpineAndEntryExit,10,1c59a7474c1510dd17fb1b20958afa44628f7309de8f3a3f6478388c30c516a2
TC_DOUGH_BUFFER_EXIT_SHELF,TC_DOUGH_BUFFER_EXIT_SHELF_SLOT_00,0,0,RecoveryCue,MP_DOUGH_RECOVERY_PAD|MP_DOUGH_SOFT_POCKET|MP_DOUGH_STICKY_SHELF,MoonDough,PreserveSpineAndEntryExit,10,538e85bb0bf8649e3d99d3b74e126a49be2541eb44d684ed3997da9c9c0e1fd1
TC_DOUGH_BUFFER_EXIT_SHELF,TC_DOUGH_BUFFER_EXIT_SHELF_SLOT_01,1,0,RecoveryCue,MP_DOUGH_BOUNCE_CUP|MP_DOUGH_SOFT_POCKET|MP_DOUGH_STICKY_SHELF,MoonDough,PreserveSpineAndEntryExit,10,647382ee2eb7a31bc3d07cf96aa4ffb9943197f7db4abce1e53ccd81baa902e0
TC_DOUGH_BUFFER_EXIT_SHELF,TC_DOUGH_BUFFER_EXIT_SHELF_SLOT_02,2,0,RecoveryCue,MP_DOUGH_BOUNCE_CUP|MP_DOUGH_BOUNCE_STRIP|MP_DOUGH_STICKY_SHELF,MoonDough,PreserveSpineAndEntryExit,10,fd050618d5d18ded399eed4d2f6b29255f8f62a32959c512bf68f38a45ea7eaf
TC_DOUGH_BUFFER_RECOVERY_BOWL,TC_DOUGH_BUFFER_RECOVERY_BOWL_SLOT_00,0,0,RecoveryCue,MP_DOUGH_BOUNCE_CUP|MP_DOUGH_SOFT_POCKET|MP_DOUGH_STICKY_SHELF,MoonDough,PreserveSpineAndEntryExit,10,a51d5de5aac57caaa0fbfa5d725d2140254d5b249b2a9e40be4e2b6a086ee87a
TC_DOUGH_BUFFER_RECOVERY_BOWL,TC_DOUGH_BUFFER_RECOVERY_BOWL_SLOT_01,0,1,RecoveryCue,MP_DOUGH_BOUNCE_CUP|MP_DOUGH_BOUNCE_STRIP|MP_DOUGH_STICKY_SHELF,MoonDough,PreserveSpineAndEntryExit,10,431051327945a7343fd52a53e2f8081a3ce24b69a4e0473b95407f0b1bfef849
TC_DOUGH_BUFFER_RECOVERY_BOWL,TC_DOUGH_BUFFER_RECOVERY_BOWL_SLOT_02,1,1,RecoveryCue,MP_DOUGH_BOUNCE_CUP|MP_DOUGH_BOUNCE_STRIP|MP_DOUGH_RECOVERY_PAD,MoonDough,PreserveSpineAndEntryExit,10,1c1ccf1fb6d7de0d1799232e6eaf42941174b4c5d79429fcd31970772cb4cdb7
TC_DOUGH_PROD_BOUNCE_CUP,TC_DOUGH_PROD_BOUNCE_CUP_SLOT_00,0,0,BaselineRequired,MP_DOUGH_BOUNCE_CUP|MP_DOUGH_BOUNCE_STRIP|MP_DOUGH_FERMENT_PATCH,MoonDough,PreserveSpineAndEntryExit,35,85daf43c2343ffb065c976f75e065fd1933c998197fd08167745a5851e8b2952
TC_DOUGH_PROD_BOUNCE_CUP,TC_DOUGH_PROD_BOUNCE_CUP_SLOT_01,1,0,OptionalSilhouette,MP_DOUGH_BOUNCE_STRIP|MP_DOUGH_FERMENT_PATCH|MP_DOUGH_RECOVERY_PAD,MoonDough,PreserveSpineAndEntryExit,35,e2dc14443077935224560caab5b78e402b80e312bb60c9979b88fc8374dc42cd
