cluster_id,spine_variant_id,is_baseline,entry_side,exit_side,route_intent,movement_tokens,high_route_state,recovery_state,protected_mask_policy,canonical_digest
TC_DOUGH_BUFFER_ENTRY_CUP,TC_DOUGH_BUFFER_ENTRY_CUP_ALT,false,L,R,DoughBufferEntryCup.Alternate,Walk|Drop,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,16d29ce49f1ab8951106d23b635035723072350ba315ab9c4559b6de1b128d26
TC_DOUGH_BUFFER_ENTRY_CUP,TC_DOUGH_BUFFER_ENTRY_CUP_BASE,true,L,R,DoughBufferEntryCup.Baseline,Walk|Jump,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,dc34393b195cda472fde86a6cda9ffe1363cc2c8429d03f5b1130ad4c5af7a11
TC_DOUGH_BUFFER_EXIT_SHELF,TC_DOUGH_BUFFER_EXIT_SHELF_ALT,false,L,R,DoughBufferExitShelf.Alternate,Walk|Drop,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,782ba15f7d7013a87aadda1874311110bf0694dd01352801509b488066d245d2
TC_DOUGH_BUFFER_EXIT_SHELF,TC_DOUGH_BUFFER_EXIT_SHELF_BASE,true,L,R,DoughBufferExitShelf.Baseline,Walk|Jump,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,10bdad92d2392705f0d3b35533948ca8ed5267080b7e553163228ef3b5e122b0
TC_DOUGH_BUFFER_RECOVERY_BOWL,TC_DOUGH_BUFFER_RECOVERY_BOWL_ALT,false,D,R,DoughBufferRecoveryBowl.Alternate,Walk|Drop,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,e24f1c4489f83e5b29d68cf62d842acf85e1169a786588e31bd371426ab507b3
TC_DOUGH_BUFFER_RECOVERY_BOWL,TC_DOUGH_BUFFER_RECOVERY_BOWL_BASE,true,D,R,DoughBufferRecoveryBowl.Baseline,Walk|Jump,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,e083ebc4821f1f031084c9908153b14054baa543dc6784f7662c9cb0e42f0d31
TC_DOUGH_PROD_BOUNCE_CUP,TC_DOUGH_PROD_BOUNCE_CUP_ALT,false,L,R,DoughBounceCup.Alternate,Jump|Walk,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,411a39b25515bc3374c13d5862444a14968363f1a399c7c104a8a43c3f6381f7
TC_DOUGH_PROD_BOUNCE_CUP,TC_DOUGH_PROD_BOUNCE_CUP_BASE,true,L,R,DoughBounceCup.Baseline,Walk|Jump,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,a0c3154e0aa50e7ee1bb5a078194ccd881fe4dfbb1e6ffadfea245768ee91c08
TC_DOUGH_PROD_FERMENT_RISE,TC_DOUGH_PROD_FERMENT_RISE_ALT,false,D,R,DoughFermentRise.Alternate,Jump|Walk,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,b78c72ec710871cb42a10f62537b3c07b362c0128cf7cce9be9cbe704cc35f07
TC_DOUGH_PROD_FERMENT_RISE,TC_DOUGH_PROD_FERMENT_RISE_BASE,true,D,R,DoughFermentRise.Baseline,Walk|Jump,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,5c44d34a76d72a80145b28874f92b38062bc67507f1cee5b437f396811a8ab29
TC_DOUGH_PROD_RECOVERY_PAD_CHAIN,TC_DOUGH_PROD_RECOVERY_PAD_CHAIN_ALT,false,L,U,DoughRecoveryPadChain.Alternate,Jump|Walk,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,f7d64e072dfb75c40e546c1ed83634d794daf6b4b2133db09ec1f4384c8f14c9
TC_DOUGH_PROD_RECOVERY_PAD_CHAIN,TC_DOUGH_PROD_RECOVERY_PAD_CHAIN_BASE,true,L,U,DoughRecoveryPadChain.Baseline,Walk|Jump,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,bcbd03b644ae13f5b0f392a013e698eaa3f491f76bbd142d9d53d038b94a5eee
TC_DOUGH_PROD_SOFT_POCKET,TC_DOUGH_PROD_SOFT_POCKET_ALT,false,L,R,DoughSoftPocket.Alternate,Jump|Walk,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,f94e71e3165899b12f72e9d51626ec3462d03d5975e174045f1c74448d43f86b
TC_DOUGH_PROD_SOFT_POCKET,TC_DOUGH_PROD_SOFT_POCKET_BASE,true,L,R,DoughSoftPocket.Baseline,Walk|Jump,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,61e2aac6e4f49894baeaee8b0feed17a0639203da40efa5a7ba0d7476353ccc3
TC_DOUGH_PROD_SQUISH_CROSS,TC_DOUGH_PROD_SQUISH_CROSS_ALT,false,U,D,DoughSquishCross.Alternate,Jump|Walk,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,54336b91fb3c28afc5162defb9ae1df493da5eb2c3c377a04ce0940dba4e6582
TC_DOUGH_PROD_SQUISH_CROSS,TC_DOUGH_PROD_SQUISH_CROSS_BASE,true,U,D,DoughSquishCross.Baseline,Walk|Jump,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,0ed54a75a81cb82160eae6c441ab2668884e2955ba3568861e8a1aa8fe4b3de6
TC_DOUGH_PROD_STICKY_SHELF,TC_DOUGH_PROD_STICKY_SHELF_ALT,false,D,R,DoughStickyShelf.Alternate,Jump|Walk,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,65094f0cad7485eda97a4b4d4768e57f6a3a8adc8c25de6c15bd98297758f9d5
TC_DOUGH_PROD_STICKY_SHELF,TC_DOUGH_PROD_STICKY_SHELF_BASE,true,D,R,DoughStickyShelf.Baseline,Walk|Jump,BaselineProtected,StaticRecoveryAvailable,PreserveSpineAndEntryExit,e9a0b28d6bf5a7cb275b563cd80cba00a1df5839c0a88202c25c2caa1a479113
TC_DOUGH_QUIET_FERMENT_POCKET,TC_DOUGH_QUIET_FERMENT_POCKET_ALT,false,D,U,DoughQuietFermentPocket.Alternate,Jump|Walk,AuthoredAlternative,StaticRecoveryAvailable,PreserveSpineAndEntryExit,73fc1bc01d9efcf186fc43c1102cb611579799f26cff93c43347129c4d028ae2
