event_id,activity_id,cluster_scope,required_slot_semantic,compatibility_kind,static_only,compatibility_digest
EVT_EMPTY,,UnassignedClusters,Any,ExplicitUnassignedClusterFallback,true,4f3a2b24b724c42d7fcaecd624bdd60868f3f04e70c37f90100feeb275120160
EVT_EMPTY,ACT_CRATER_BOULDER_CHAIN,ActivityFallback,Any,ExplicitEmptyFallback,true,4bd6ebed27e5d867a4a0ef9d9f1cac5ce9ac2acff78c16219867e7bb7932f4e3
EVT_EMPTY,ACT_CRATER_RICOCHET_MINE,ActivityFallback,Any,ExplicitEmptyFallback,true,92242dc39d3c90aaed79a82e53a4f9512c1cd43cd1d77c89f11818cd8e82ecb5
EVT_EMPTY,ACT_DOUGH_TIME_TRIAL,ActivityFallback,Any,ExplicitEmptyFallback,true,9867cc46e664cb17841eeb55771d78cb1a2730dc3d55f9739368660b15c649e4
EVT_EMPTY,ACT_MARU_REWIND_ANOMALY,ActivityFallback,Any,ExplicitEmptyFallback,true,d85e3bf3b9784119691887dc00afb921ee04f74f6387d2ce3d38f2f11ce3927e
EVT_EMPTY,ACT_MILL_ESCORT_CART,ActivityFallback,Any,ExplicitEmptyFallback,true,bd12c6e5a95750b97b910b1596202753fe10b04aa45802a46c3e769b1af0760d
EVT_EMPTY,ACT_MILL_GEAR_GRID,ActivityFallback,Any,ExplicitEmptyFallback,true,8866085b41879a5061ca05a34e77ee6ca34003b837172d82658f1cb65abba915
EVT_EMPTY,ACT_MILL_PESTLE_WORKSHOP,ActivityFallback,Any,ExplicitEmptyFallback,true,63b33c68a431494623a46232962191247b10d23cb4fba573dbd28ff760726139
EVT_MARU_INTERVENTION,ACT_MARU_REWIND_ANOMALY,Activity:Device,Device,ExactActivitySlotOnly,true,ecb97b1f581a8815da0ae93b2ee5a0e0b2f8efddea11d4bc5cd218e0b1cdf664
EVT_METEOR_FALL,,Terrain:CORE,CORE,TerrainCoreMarkerCandidateOnly,true,286af74221f7f1f6cd6f355ef1b9275ecabec629e110b1c1398f3e7ee1d5d66f
EVT_RARE_CREATURE,ACT_MILL_ESCORT_CART,Activity:Npc,Npc,ExactActivitySlotOnly,true,528b032d03786d90b9dbcec7aa676abf471ca2b119a099d7077d740d47e8a27b
EVT_WANDERING_MERCHANT,ACT_MILL_ESCORT_CART,Activity:Npc,Npc,ExactActivitySlotOnly,true,f017acab4dd6cd8a880510b33d55dc2520a1aadc4f6d49aeeacce76ccc970903
