activity_id,slot_id,slot_semantic,local_x,local_y,source_slot_id,marker_payload_id,execution_policy,slot_digest
ACT_CRATER_BOULDER_CHAIN,SLOT_CRATER_BOULDER_CHAIN_CUE,Cue,4,1,SLOT_CRATER_BOULDER_CHAIN_CUE,STATIC_MARKER:SLOT_CRATER_BOULDER_CHAIN_CUE,MarkerOnlyNoExecution,17f13c2057d5c5f700ebab7ba27c4aa9a60bc5fca2569591b50d04d24342269d
ACT_CRATER_BOULDER_CHAIN,SLOT_CRATER_BOULDER_CHAIN_DEVICE,Device,26,1,SLOT_CRATER_BOULDER_CHAIN_DEVICE,STATIC_MARKER:SLOT_CRATER_BOULDER_CHAIN_DEVICE,MarkerOnlyNoExecution,625fd0bf0ddbc441518cbdf5bbf4b78b6177e165ecb5725bfc79e6217ad5d55a
ACT_CRATER_BOULDER_CHAIN,SLOT_CRATER_BOULDER_CHAIN_EXIT_PRESERVATION,ExitPreservation,43,9,SLOT_CRATER_BOULDER_CHAIN_RESET,STATIC_PROOF:EXIT_PRESERVATION:ACT_CRATER_BOULDER_CHAIN,MarkerOnlyNoExecution,6d8c4192673c669e4251dfb66f859fdc416c9fcbe4eb2f70925d85a7e679339e
ACT_CRATER_BOULDER_CHAIN,SLOT_CRATER_BOULDER_CHAIN_HAZARD,Hazard,27,1,SLOT_CRATER_BOULDER_CHAIN_HAZARD,STATIC_MARKER:SLOT_CRATER_BOULDER_CHAIN_HAZARD,MarkerOnlyNoExecution,30d10142783e7b909872615d90b7b916e400c2fa89bc98ad4de93fc304bdd6db
ACT_CRATER_BOULDER_CHAIN,SLOT_CRATER_BOULDER_CHAIN_RECOVERY,Recovery,42,9,SLOT_CRATER_BOULDER_CHAIN_RECOVERY,STATIC_MARKER:SLOT_CRATER_BOULDER_CHAIN_RECOVERY,MarkerOnlyNoExecution,7e3e18ccea5d7bba30fc242f73365108a18bbd3034ee9e3e300fcffdb827897b
ACT_CRATER_BOULDER_CHAIN,SLOT_CRATER_BOULDER_CHAIN_RESET,Reset,43,9,SLOT_CRATER_BOULDER_CHAIN_RESET,STATIC_MARKER:SLOT_CRATER_BOULDER_CHAIN_RESET,MarkerOnlyNoExecution,cfc9f14d7f7ba537743c35099f2e54e8aaeebec2bfe526e0a622363fe6549123
ACT_CRATER_BOULDER_CHAIN,SLOT_CRATER_BOULDER_CHAIN_REWARD,Reward,29,2,SLOT_CRATER_BOULDER_CHAIN_REWARD,STATIC_MARKER:SLOT_CRATER_BOULDER_CHAIN_REWARD,MarkerOnlyNoExecution,627c8cd8f0e8cc5f411109cea22678d279c2de57009b30b3fb00ebf51f614896
ACT_CRATER_BOULDER_CHAIN,SLOT_CRATER_BOULDER_CHAIN_SAFE_POCKET,SafePocket,4,1,MAP12_SAFETY_CELL:SAFE_POCKET,STATIC_MARKER:SAFE_POCKET:ACT_CRATER_BOULDER_CHAIN,MarkerOnlyNoExecution,9a8ef116e8994d69248b8fc079b797f2c283cc4d0fd6c1d6a1693e2f9f57927b
ACT_CRATER_BOULDER_CHAIN,SLOT_CRATER_BOULDER_CHAIN_TRIGGER,Trigger,25,1,SLOT_CRATER_BOULDER_CHAIN_TRIGGER,STATIC_MARKER:SLOT_CRATER_BOULDER_CHAIN_TRIGGER,MarkerOnlyNoExecution,66a106940231a5935ce2bd484cc483c25b2d7ee358cd25b300b22435d53ac998
ACT_CRATER_RICOCHET_MINE,SLOT_CRATER_RICOCHET_MINE_CUE,Cue,4,1,SLOT_CRATER_RICOCHET_MINE_CUE,STATIC_MARKER:SLOT_CRATER_RICOCHET_MINE_CUE,MarkerOnlyNoExecution,494289a1cb9219776595569a46043b50f72c7ccb1e1efc86947a6d8cc846a6eb
