candidate_id,schema_version,pair_id,biome_a,biome_b,orientation,variant_index,route_profile_id,tile_profile_id,background_profile_id,resource_profile_id,audio_profile_id,source_map08_pair_digest,source_map08_warning_policy_digest,tile_digest,socket_digest,warning_digest,canonical_digest
BND_CRATER_DOUGH_H_01,map21_06.boundary_candidate.v1,PAIR_CRATER_DOUGH,MoonCrater,MoonDough,Horizontal,1,ROUTE_BND_CRATER_DOUGH_H_01,TILE_BOUND_CLIFF,BACKGROUND_BOUND_CLIFF,POOL_RES_BOUND_CRATER_DOUGH,AUDIO_CRATER_DOUGH,bcdc0beb8f739c038bea982dd1814ce9f4647f3e8fa90f0a96f1f27ab8d85b2e,55f2ffa61ad02f6d3166d6adc9d1141546c162bb3f253afe954e5b96aad52144,1e4c5e8fb5342d17052574f369d781ea6141b25d8d010be35579254faefef366,8b82201edc2eb5f5919793dda23a7bbb4cf98cded8bda506be1d7c2439c60686,5c62cc141e2c4770285696079f04f3cddd2fd4864bb90526185a8ba086d96904,8d296a41d8ae13cff0354efbaedbfe0e39e2d24c15119eacc4cb224aac7dc55e
BND_CRATER_DOUGH_H_02,map21_06.boundary_candidate.v1,PAIR_CRATER_DOUGH,MoonCrater,MoonDough,Horizontal,2,ROUTE_BND_CRATER_DOUGH_H_02,TILE_BOUND_SOFT_BLEND,BACKGROUND_BOUND_SOFT_BLEND,POOL_RES_BOUND_CRATER_DOUGH,AUDIO_CRATER_DOUGH,bcdc0beb8f739c038bea982dd1814ce9f4647f3e8fa90f0a96f1f27ab8d85b2e,55f2ffa61ad02f6d3166d6adc9d1141546c162bb3f253afe954e5b96aad52144,dad218026eae4651b8db61da8418c0f7649b0a6c2f2095425cbfb89862804ddf,49a6fcec7db5273668ede44f098ee7c2bd1046958ab40c7e58e8f208d7272338,9f677762f6dedb2b230af9ba08948b6f3e64c0b2618e912222da8075ea83711d,bd663ad84f9c3bc66ce64b99a24a36b91d76ae19a8873c48673b8b5a75e38658
BND_CRATER_DOUGH_H_03,map21_06.boundary_candidate.v1,PAIR_CRATER_DOUGH,MoonCrater,MoonDough,Horizontal,3,ROUTE_BND_CRATER_DOUGH_H_03,TILE_BOUND_CLIFF,BACKGROUND_BOUND_CLIFF,POOL_RES_BOUND_CRATER_DOUGH,AUDIO_CRATER_DOUGH,bcdc0beb8f739c038bea982dd1814ce9f4647f3e8fa90f0a96f1f27ab8d85b2e,55f2ffa61ad02f6d3166d6adc9d1141546c162bb3f253afe954e5b96aad52144,5fcc7f51be48fb34f1cd8ab20877e7a17f06878366bbc65818127118648b83cd,7aa676c01a7b3583701b51ca7df51d3dde7ec85532ce8e5b3c9216e9dd5f2640,dcc4a8e42f68ec724a1764893894a232dc2ad9a6d14414718ef94129b5a41b91,1d6a61b3b4c71ef117b911115ebcaa114078add5a7142e2c1d7311c9299c6baa
BND_CRATER_DOUGH_H_04,map21_06.boundary_candidate.v1,PAIR_CRATER_DOUGH,MoonCrater,MoonDough,Horizontal,4,ROUTE_BND_CRATER_DOUGH_H_04,TILE_BOUND_SOFT_BLEND,BACKGROUND_BOUND_SOFT_BLEND,POOL_RES_BOUND_CRATER_DOUGH,AUDIO_CRATER_DOUGH,bcdc0beb8f739c038bea982dd1814ce9f4647f3e8fa90f0a96f1f27ab8d85b2e,55f2ffa61ad02f6d3166d6adc9d1141546c162bb3f253afe954e5b96aad52144,3b02a070c4b63be350595fe73f8592400bb9b6f412110f08e76905d6e5010910,0b31dc38554f23d693f5eee4a4a86b2bbc3db7ac9392d51a983aa460d2252247,77bf13fe0de6fc260150fa633a2d10bdd17eb2b40905c53551fc70a3c968f6e1,336f84883a33509e0c7bcadfd192784fc9ddb39b82e38747f258bd7fd68a564e
BND_CRATER_DOUGH_V_01,map21_06.boundary_candidate.v1,PAIR_CRATER_DOUGH,MoonCrater,MoonDough,Vertical,1,ROUTE_BND_CRATER_DOUGH_V_01,TILE_BOUND_CLIFF,BACKGROUND_BOUND_CLIFF,POOL_RES_BOUND_CRATER_DOUGH,AUDIO_CRATER_DOUGH,bcdc0beb8f739c038bea982dd1814ce9f4647f3e8fa90f0a96f1f27ab8d85b2e,55f2ffa61ad02f6d3166d6adc9d1141546c162bb3f253afe954e5b96aad52144,bf953adb4798dce5c0ee3bc3b0bc38ef979e058b691fecd702e9e04c6c977b91,826464cc3475c2c3ccf57010fee6079ce0aa61f25aa91f886bfcf06a3b870ec5,072dc71685d5bd7c46f0b1e82b111b46d0508c44e2c43d235bf641f8f9332b8d,40bd8b5ca78c78320aa44f4474cadc65dbbf2f482e68c0b1f5eb8acfcddaf97a
BND_CRATER_DOUGH_V_02,map21_06.boundary_candidate.v1,PAIR_CRATER_DOUGH,MoonCrater,MoonDough,Vertical,2,ROUTE_BND_CRATER_DOUGH_V_02,TILE_BOUND_LAYER,BACKGROUND_BOUND_LAYER,POOL_RES_BOUND_CRATER_DOUGH,AUDIO_CRATER_DOUGH,bcdc0beb8f739c038bea982dd1814ce9f4647f3e8fa90f0a96f1f27ab8d85b2e,55f2ffa61ad02f6d3166d6adc9d1141546c162bb3f253afe954e5b96aad52144,028fed5c5d67d6e0407ace03e6e25950a2c79d4f6b2646c5ae035ac71b1607da,e8c0a410bdb00fc1d6e67c0feb200122880ae0b7d58eaeec37b1e8962f0cb0b9,eacb31deb17be785d0ac11b8f370df1737144703de9dc8d7b417f477c34daef6,f0b16df18c4033c0fd6cd14315f0899b3aa4c2992ed2c20ad5e0ea50ecced17d
BND_CRATER_DOUGH_V_03,map21_06.boundary_candidate.v1,PAIR_CRATER_DOUGH,MoonCrater,MoonDough,Vertical,3,ROUTE_BND_CRATER_DOUGH_V_03,TILE_BOUND_SOFT_BLEND,BACKGROUND_BOUND_SOFT_BLEND,POOL_RES_BOUND_CRATER_DOUGH,AUDIO_CRATER_DOUGH,bcdc0beb8f739c038bea982dd1814ce9f4647f3e8fa90f0a96f1f27ab8d85b2e,55f2ffa61ad02f6d3166d6adc9d1141546c162bb3f253afe954e5b96aad52144,40d340f9b38fe3297cd8da7fde2a065d01203044f1473e1471888516e30c0eae,5069e75f576f03cb4e196c0c8534621676eafb455f8a4d140d09fcf60fb340d9,a5032622a7b41583203f5ea6a007602aa0d8f991e4e0c385a233e6fe1ad2125a,4ce94c960ea76bfa0c944db05d96087ee0a216dbb78732b5e70b105bd6ee3e7b
BND_CRATER_DOUGH_V_04,map21_06.boundary_candidate.v1,PAIR_CRATER_DOUGH,MoonCrater,MoonDough,Vertical,4,ROUTE_BND_CRATER_DOUGH_V_04,TILE_BOUND_CLIFF,BACKGROUND_BOUND_CLIFF,POOL_RES_BOUND_CRATER_DOUGH,AUDIO_CRATER_DOUGH,bcdc0beb8f739c038bea982dd1814ce9f4647f3e8fa90f0a96f1f27ab8d85b2e,55f2ffa61ad02f6d3166d6adc9d1141546c162bb3f253afe954e5b96aad52144,df657a3f29aa2ec2eb9a7a87c55a3abfe2aa50b7e01c92dd5e64bffe64dd3921,88a13e3127319cc6448a2f8f68b4a3c03ab9a842f29fe291aa4946cd03cbe035,0642b52de75237d10c37b370a67948184c7af7ae8b73540799b162f36b1efb1c,aa0a74cec9a01a14eca5d963f99a1c8c821bc14830a6c4afe3a3254485281159
BND_CRATER_MILL_H_01,map21_06.boundary_candidate.v1,PAIR_CRATER_MILL,MoonCrater,AbandonedMill,Horizontal,1,ROUTE_BND_CRATER_MILL_H_01,TILE_BOUND_RUIN,BACKGROUND_BOUND_RUIN,POOL_RES_BOUND_CRATER_MILL,AUDIO_CRATER_MILL,cf4f48c314c7ce954bf530fa9d166cbef7416c40fd30a60b81ebc02dff12e42c,e3d330600fc72957933408df78754715cfaca8eb3d0941ed2e767d5f049213c1,0df622424353dc1cfbc0b8eb19e3a000adafc450cbe178a089d21a27a6c9a99e,05b24b0fbf8e9276ac5f491a5107a8f4e74d7802e23a3eeabf369cbb4125bf86,a5b976fbfe5c6158814a463de58f99d1d434266efb505e803ba3d5031cdb032e,2f520b10caf87f806bb44db56510b5d8d47e6cd5f4394a71c8bebfaf760b8214
BND_CRATER_MILL_H_02,map21_06.boundary_candidate.v1,PAIR_CRATER_MILL,MoonCrater,AbandonedMill,Horizontal,2,ROUTE_BND_CRATER_MILL_H_02,TILE_BOUND_SOFT_BLEND,BACKGROUND_BOUND_SOFT_BLEND,POOL_RES_BOUND_CRATER_MILL,AUDIO_CRATER_MILL,cf4f48c314c7ce954bf530fa9d166cbef7416c40fd30a60b81ebc02dff12e42c,e3d330600fc72957933408df78754715cfaca8eb3d0941ed2e767d5f049213c1,905ba874126f4bbd3b0b62b797e89673bc6cb366de02c9dd7dabc0131d220c57,a71c92a63bc0ee58ae50006938af48a693f3b5423318b76248ba786ee7965217,ee900b82fd49cb2411301949ef40be004f4d36d8c21abff33041a70226554dee,c777ead90c3b583e7aa6593b5730f07afbc91b2686754e29db14e09d76b28ca0
