candidate_id,projection_id,pair_id,direction,orientation,entry_side,exit_side,socket_signature,route_intent,movement_tokens,access_class,mandatory_route,tool_requirement,profile_digest,canonical_digest
BND_CRATER_DOUGH_H_01,BND_CRATER_DOUGH_H_01__A_TO_B,PAIR_CRATER_DOUGH,A_TO_B,Horizontal,Left,Right,EDGE_H_MID_WALK,MandatoryBoundaryTraversal,Walk,MANDATORY_NO_TOOL,true,NONE,3e3d060a12b9a246a0237c7b033e865e94f57ff8be6159d0ce9f3cd76d53d779,4f17b1034adbae0945c3f7dc4de5795b48e59f517cbd7effbfc3c260781d9851
BND_CRATER_DOUGH_H_01,BND_CRATER_DOUGH_H_01__B_TO_A,PAIR_CRATER_DOUGH,B_TO_A,Horizontal,Right,Left,EDGE_H_MID_WALK,MandatoryBoundaryTraversal,Walk,MANDATORY_NO_TOOL,true,NONE,767e15051a457a5f1a4238c3f9a4312c039d609719a7f27256889ee10b920894,3ec0bfb128c3cd696e4594e64db03cf41bb741734e0fdb2a498c5104374a1946
BND_CRATER_DOUGH_H_02,BND_CRATER_DOUGH_H_02__A_TO_B,PAIR_CRATER_DOUGH,A_TO_B,Horizontal,Left,Right,EDGE_H_MID_WALK,MandatoryBoundaryTraversal,Walk,MANDATORY_NO_TOOL,true,NONE,0b6f1b5ed6008639d822d522c5977cf4b66cdd80d142a86f699f74b0e7de6c5b,24f54a59c8e9fa69129b3b06c11a42bc27ab6e85315f6f53dde73d71fe725eb8
BND_CRATER_DOUGH_H_02,BND_CRATER_DOUGH_H_02__B_TO_A,PAIR_CRATER_DOUGH,B_TO_A,Horizontal,Right,Left,EDGE_H_MID_WALK,MandatoryBoundaryTraversal,Walk,MANDATORY_NO_TOOL,true,NONE,7cc5358aa334319cced376134d8a219347f3933d6ed31e4416917886f2605d82,e9845bb2653a6033c489d5f191376944109f3da28ca55c63f304eede9ce387c5
BND_CRATER_DOUGH_H_03,BND_CRATER_DOUGH_H_03__A_TO_B,PAIR_CRATER_DOUGH,A_TO_B,Horizontal,Left,Right,EDGE_H_MID_WALK,MandatoryBoundaryTraversal,Walk,MANDATORY_NO_TOOL,true,NONE,d590e646355173669c5b10b6e35bb60419117179ff5bf5d245106b33624520c0,b359aff23c424e1f396b4c2817af2e3acfcc9cd254fce6e2914a699accff7d64
BND_CRATER_DOUGH_H_03,BND_CRATER_DOUGH_H_03__B_TO_A,PAIR_CRATER_DOUGH,B_TO_A,Horizontal,Right,Left,EDGE_H_MID_WALK,MandatoryBoundaryTraversal,Walk,MANDATORY_NO_TOOL,true,NONE,d6cae345ef1be8ac3358716cb7ba02cd50996e0a82f64cbe603fc1d1bdbfec2d,07e5a0dcbce78771e73af7d13a4433126d26931e4b82439b0896d0f0abdb06cb
BND_CRATER_DOUGH_H_04,BND_CRATER_DOUGH_H_04__A_TO_B,PAIR_CRATER_DOUGH,A_TO_B,Horizontal,Left,Right,EDGE_H_MID_WALK,MandatoryBoundaryTraversal,Walk,MANDATORY_NO_TOOL,true,NONE,4649f87bc700c72259254df9c4e26e06e03d3b7c9e5b5fd2c8f4dad71432bf80,e2710e93c793a93bb25ba878e183fe0f9020fa33b167c90053694cc6b9e43d81
BND_CRATER_DOUGH_H_04,BND_CRATER_DOUGH_H_04__B_TO_A,PAIR_CRATER_DOUGH,B_TO_A,Horizontal,Right,Left,EDGE_H_MID_WALK,MandatoryBoundaryTraversal,Walk,MANDATORY_NO_TOOL,true,NONE,b4d439e02bdd623e30e6cb12cfe369a59f1d476dc6de32db19d58ec539805bdb,91e335f6b63da0b7b1d5355229136a25b24c561493726fadbe281b037f7cbdee
BND_CRATER_DOUGH_V_01,BND_CRATER_DOUGH_V_01__A_TO_B,PAIR_CRATER_DOUGH,A_TO_B,Vertical,Down,Up,EDGE_V_CENTER_CLIMB,MandatoryBoundaryTraversal,Climb|Jump,MANDATORY_NO_TOOL,true,NONE,ca3d5bf64a2a99c839af839ee69d7008f8ef122115006419a622887846bbdb24,ee1a47fe8255e4e02afbaa3bd3fcd936b98f9c33132cc7d28167b19b487164b2
BND_CRATER_DOUGH_V_01,BND_CRATER_DOUGH_V_01__B_TO_A,PAIR_CRATER_DOUGH,B_TO_A,Vertical,Up,Down,EDGE_V_CENTER_CLIMB,MandatoryBoundaryTraversal,Climb|Jump,MANDATORY_NO_TOOL,true,NONE,a7f34f8e12998467540dd2d82296b17b4d3035d70c9e2ed640c09b4dae73d98a,5fa00baf14a161366c73ae70220f5efc6ce256f8a65d6621eef396500f68ab7c
BND_CRATER_DOUGH_V_02,BND_CRATER_DOUGH_V_02__A_TO_B,PAIR_CRATER_DOUGH,A_TO_B,Vertical,Down,Up,EDGE_V_CENTER_CLIMB,MandatoryBoundaryTraversal,Climb|Jump,MANDATORY_NO_TOOL,true,NONE,99f939ab1361034cc8e1ac0150b650d924ad48155003e930c6c8e2e1d16ad292,84185628fc28701858260d2e09bb727302a58f7f3d0c84fe8e03d9143e58be86
BND_CRATER_DOUGH_V_02,BND_CRATER_DOUGH_V_02__B_TO_A,PAIR_CRATER_DOUGH,B_TO_A,Vertical,Up,Down,EDGE_V_CENTER_CLIMB,MandatoryBoundaryTraversal,Climb|Jump,MANDATORY_NO_TOOL,true,NONE,f9747294a094e80e4e55f85b2720bc895098dbfd47a0cef89745732b5a961c1d,fc8bb6ba39cfe56b9881e7f401479d46dbe434c827412b3d4f729a3caaca0447
BND_CRATER_DOUGH_V_03,BND_CRATER_DOUGH_V_03__A_TO_B,PAIR_CRATER_DOUGH,A_TO_B,Vertical,Down,Up,EDGE_V_CENTER_CLIMB,MandatoryBoundaryTraversal,Climb|Jump,MANDATORY_NO_TOOL,true,NONE,55aebd9d72039bcbcbb2d62469fd4827e95fabafb71eadb87380ad2993e70d2f,abd57ef6872de3fabc02aee22cc6265ab83af09a15f4be78c1c412a9f1e4c044
BND_CRATER_DOUGH_V_03,BND_CRATER_DOUGH_V_03__B_TO_A,PAIR_CRATER_DOUGH,B_TO_A,Vertical,Up,Down,EDGE_V_CENTER_CLIMB,MandatoryBoundaryTraversal,Climb|Jump,MANDATORY_NO_TOOL,true,NONE,2db21974eebeb456c241913b0f8dde1f84c477bd378612050c7ff9e673ea335f,f3d4b11f84d78e89f48b7c3ca640da868de07f6999133a13caba428111cf64f6
BND_CRATER_DOUGH_V_04,BND_CRATER_DOUGH_V_04__A_TO_B,PAIR_CRATER_DOUGH,A_TO_B,Vertical,Down,Up,EDGE_V_CENTER_CLIMB,MandatoryBoundaryTraversal,Climb|Jump,MANDATORY_NO_TOOL,true,NONE,f44aef39225016dec9e2194c196d6c2c9abe028cfc448063e88bcb2828702ee0,41b24aa9cf4645633a0db10f899563addde0d8e7b5f3b2a99753c768a18e33a7
BND_CRATER_DOUGH_V_04,BND_CRATER_DOUGH_V_04__B_TO_A,PAIR_CRATER_DOUGH,B_TO_A,Vertical,Up,Down,EDGE_V_CENTER_CLIMB,MandatoryBoundaryTraversal,Climb|Jump,MANDATORY_NO_TOOL,true,NONE,ce66705e80af42f1056603881ea2493c0b8790a05b0e585f150bcce9b5fa7410,feb4c737379bfb3c4afba3d05b34c362975c3a796e9fc7b9838613046ea104a6
BND_CRATER_MILL_H_01,BND_CRATER_MILL_H_01__A_TO_B,PAIR_CRATER_MILL,A_TO_B,Horizontal,Left,Right,EDGE_H_MID_WALK,MandatoryBoundaryTraversal,Walk,MANDATORY_NO_TOOL,true,NONE,d93a15400f10cae2886809271a84b838c64d293061c9e4a4d60af752ced57950,91385c2909f203e6f50d9500d3c5713ed1e3931bb443608d5b21ca033dc8442a
BND_CRATER_MILL_H_01,BND_CRATER_MILL_H_01__B_TO_A,PAIR_CRATER_MILL,B_TO_A,Horizontal,Right,Left,EDGE_H_MID_WALK,MandatoryBoundaryTraversal,Walk,MANDATORY_NO_TOOL,true,NONE,5b647cbae22d67f0f9a84af2a29e088be27d56b9292ab01f4634cdcfc933c707,f0321b2fdac63b46cee65e2c1c745487833294cf929ae4795f79f830798bd160
BND_CRATER_MILL_H_02,BND_CRATER_MILL_H_02__A_TO_B,PAIR_CRATER_MILL,A_TO_B,Horizontal,Left,Right,EDGE_H_MID_WALK,MandatoryBoundaryTraversal,Walk,MANDATORY_NO_TOOL,true,NONE,17659cde76eade85fbecc1605347c64f1f7e6301fee173e987bdebfddca7d2a5,43bfcd233993be092c8cc3039bee87e30d87ec983adcd503d131377c47bfd065
BND_CRATER_MILL_H_02,BND_CRATER_MILL_H_02__B_TO_A,PAIR_CRATER_MILL,B_TO_A,Horizontal,Right,Left,EDGE_H_MID_WALK,MandatoryBoundaryTraversal,Walk,MANDATORY_NO_TOOL,true,NONE,9296940bd30503cfdc3b8e5d44a16d0ac0a55ff9300468d410bd418cbcac4287,2d181676bd690ff0c454ee9694a7903264bc3cdac1500b0bd10fae40a6861336
