socket_key,candidate_id,projection_id,direction,entry_side,exit_side,socket_signature,route_profile_id,tool_requirement,canonical_digest
SOCKET_BND_CRATER_DOUGH_H_01__A_TO_B,BND_CRATER_DOUGH_H_01,BND_CRATER_DOUGH_H_01__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_CRATER_DOUGH_H_01,NONE,cb056f74446cae4c00dc075a87e09cec40b0b41778ee98fead8ffd0dab7edef2
SOCKET_BND_CRATER_DOUGH_H_01__B_TO_A,BND_CRATER_DOUGH_H_01,BND_CRATER_DOUGH_H_01__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_CRATER_DOUGH_H_01,NONE,72a95592ef4c9f04677037fe20bbee2366b5b1b19afd09c5f11e64a42ca32c24
SOCKET_BND_CRATER_DOUGH_H_02__A_TO_B,BND_CRATER_DOUGH_H_02,BND_CRATER_DOUGH_H_02__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_CRATER_DOUGH_H_02,NONE,eef69eca5edf5c6bdb91c6e21707a78712901de4389f6576ea2441641b7247e5
SOCKET_BND_CRATER_DOUGH_H_02__B_TO_A,BND_CRATER_DOUGH_H_02,BND_CRATER_DOUGH_H_02__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_CRATER_DOUGH_H_02,NONE,c3e70032a741e5a982f3861a774c10627f60338502db709b2fb2881ee8aea195
SOCKET_BND_CRATER_DOUGH_H_03__A_TO_B,BND_CRATER_DOUGH_H_03,BND_CRATER_DOUGH_H_03__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_CRATER_DOUGH_H_03,NONE,41c4aaf751c3b6127f9a51f5e4671c64af009588c29221fc6e16151890bdca47
SOCKET_BND_CRATER_DOUGH_H_03__B_TO_A,BND_CRATER_DOUGH_H_03,BND_CRATER_DOUGH_H_03__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_CRATER_DOUGH_H_03,NONE,0109fa64c8b4361e4a1f6ec7466e3f6d308ad13201842d4a29d8bdf02f6e9837
SOCKET_BND_CRATER_DOUGH_H_04__A_TO_B,BND_CRATER_DOUGH_H_04,BND_CRATER_DOUGH_H_04__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_CRATER_DOUGH_H_04,NONE,11a4f6f478e276632623ff05a07a1316a26e9f531fc5c4a7f49f631504a53bc8
SOCKET_BND_CRATER_DOUGH_H_04__B_TO_A,BND_CRATER_DOUGH_H_04,BND_CRATER_DOUGH_H_04__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_CRATER_DOUGH_H_04,NONE,9e1ef449a62d283c66748baa8969b71d7e5fac3ee8484f28fce85ce254b5fd57
SOCKET_BND_CRATER_DOUGH_V_01__A_TO_B,BND_CRATER_DOUGH_V_01,BND_CRATER_DOUGH_V_01__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_DOUGH_V_01,NONE,529cd2fc53adf2c9502bbb3dcfc2fa86723c411b93f5c80df28b77edfcdfce1e
SOCKET_BND_CRATER_DOUGH_V_01__B_TO_A,BND_CRATER_DOUGH_V_01,BND_CRATER_DOUGH_V_01__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_DOUGH_V_01,NONE,4d6c39629d7b75457136b4c964f811801a9bf42555ecd1f1133594c565a047b9
SOCKET_BND_CRATER_DOUGH_V_02__A_TO_B,BND_CRATER_DOUGH_V_02,BND_CRATER_DOUGH_V_02__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_DOUGH_V_02,NONE,7a6e0f4822e6627e52d9a014c7e53a474536dc195202c7f9efc21e47ecc33c4d
SOCKET_BND_CRATER_DOUGH_V_02__B_TO_A,BND_CRATER_DOUGH_V_02,BND_CRATER_DOUGH_V_02__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_DOUGH_V_02,NONE,747fb080e350bc032ca9ea0ec147264750b1ef3008baa6c6be9a190bcbba5079
SOCKET_BND_CRATER_DOUGH_V_03__A_TO_B,BND_CRATER_DOUGH_V_03,BND_CRATER_DOUGH_V_03__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_DOUGH_V_03,NONE,9951bfb1901f164fe01b877a13a0782efda0eea9f19b132e98ff60c018119026
SOCKET_BND_CRATER_DOUGH_V_03__B_TO_A,BND_CRATER_DOUGH_V_03,BND_CRATER_DOUGH_V_03__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_DOUGH_V_03,NONE,391c50438de52c78a36f8638523c3c03081fe0bca5688451dfcf71adab7f5733
SOCKET_BND_CRATER_DOUGH_V_04__A_TO_B,BND_CRATER_DOUGH_V_04,BND_CRATER_DOUGH_V_04__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_DOUGH_V_04,NONE,ddb841799371acfa117af5b4016d052bab04d59ad94ae2022af3a27063913553
SOCKET_BND_CRATER_DOUGH_V_04__B_TO_A,BND_CRATER_DOUGH_V_04,BND_CRATER_DOUGH_V_04__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_DOUGH_V_04,NONE,9a2dfd3edb915c86f983ca3e5bce31111371d552b10ffaea2fe93674b618904f
SOCKET_BND_CRATER_MILL_H_01__A_TO_B,BND_CRATER_MILL_H_01,BND_CRATER_MILL_H_01__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_CRATER_MILL_H_01,NONE,f476b13655857bde22483439389f0de09684219b785224e22097716ab8b423f7
SOCKET_BND_CRATER_MILL_H_01__B_TO_A,BND_CRATER_MILL_H_01,BND_CRATER_MILL_H_01__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_CRATER_MILL_H_01,NONE,2a0aa09103aa456e96dc8233f526b8a9f6355ffb2830c5a2c5c023ea6082b512
SOCKET_BND_CRATER_MILL_H_02__A_TO_B,BND_CRATER_MILL_H_02,BND_CRATER_MILL_H_02__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_CRATER_MILL_H_02,NONE,9496c2e987d5f0054ea94bac7b506565f279e14b42f296c51c259db7899a608f
SOCKET_BND_CRATER_MILL_H_02__B_TO_A,BND_CRATER_MILL_H_02,BND_CRATER_MILL_H_02__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_CRATER_MILL_H_02,NONE,d270762361ad28a406b987a76b03a5a498f06cc6416cfe77859b065c54a530e0
SOCKET_BND_CRATER_MILL_H_03__A_TO_B,BND_CRATER_MILL_H_03,BND_CRATER_MILL_H_03__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_CRATER_MILL_H_03,NONE,3adda1e43c90a58ab2c0de262aadddbc294103be6fd86a74e3fb11df55077197
SOCKET_BND_CRATER_MILL_H_03__B_TO_A,BND_CRATER_MILL_H_03,BND_CRATER_MILL_H_03__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_CRATER_MILL_H_03,NONE,119250b953de78d28f7d2d884c57513fe4eb7fa1b1e75d99314a247cfdadc879
SOCKET_BND_CRATER_MILL_H_04__A_TO_B,BND_CRATER_MILL_H_04,BND_CRATER_MILL_H_04__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_CRATER_MILL_H_04,NONE,bf369f710c95f449adb2de20c04975246ffc0311a5fc1c62dac5a7bf0403025b
SOCKET_BND_CRATER_MILL_H_04__B_TO_A,BND_CRATER_MILL_H_04,BND_CRATER_MILL_H_04__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_CRATER_MILL_H_04,NONE,fa39b46e7558ef4393181eb290dffac387512ddbc486774a157bad30c8439ecb
SOCKET_BND_CRATER_MILL_V_01__A_TO_B,BND_CRATER_MILL_V_01,BND_CRATER_MILL_V_01__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_MILL_V_01,NONE,3e1ea51b29a8abd561558f013547f2e8938a0ac6a5f625b3924d12f61c288610
SOCKET_BND_CRATER_MILL_V_01__B_TO_A,BND_CRATER_MILL_V_01,BND_CRATER_MILL_V_01__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_MILL_V_01,NONE,998ef077b3dd61c5f3169815062b36684e94daec0c73595b2b2ec13df6d40fe3
SOCKET_BND_CRATER_MILL_V_02__A_TO_B,BND_CRATER_MILL_V_02,BND_CRATER_MILL_V_02__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_MILL_V_02,NONE,fccb4c7d6d039858f030ebb9961bee00c56e4be84fbc14b4c3f5f7bdfe2b6595
SOCKET_BND_CRATER_MILL_V_02__B_TO_A,BND_CRATER_MILL_V_02,BND_CRATER_MILL_V_02__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_MILL_V_02,NONE,a01b80e03bef1d03397375de2d7d50ade7760a51fa3c508096cc7aad644a9315
SOCKET_BND_CRATER_MILL_V_03__A_TO_B,BND_CRATER_MILL_V_03,BND_CRATER_MILL_V_03__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_MILL_V_03,NONE,b1c75513055a4c3886a1921d9fe0e87154934756e3b6192481f571b6492227e5
SOCKET_BND_CRATER_MILL_V_03__B_TO_A,BND_CRATER_MILL_V_03,BND_CRATER_MILL_V_03__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_MILL_V_03,NONE,4333f194b61ca276228cfc00b946e2d7f88c268d20dcbae996fe77d9e1279c59
SOCKET_BND_CRATER_MILL_V_04__A_TO_B,BND_CRATER_MILL_V_04,BND_CRATER_MILL_V_04__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_MILL_V_04,NONE,d9d52845c03d75dc95fb1ef768013468eeb17cbd0758d6dc5daefcc358c5aaef
SOCKET_BND_CRATER_MILL_V_04__B_TO_A,BND_CRATER_MILL_V_04,BND_CRATER_MILL_V_04__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_MILL_V_04,NONE,6f9b2d538d60395db3a164ebd0b4e99d801c3b2ea564adcfb555ac2b634096d9
SOCKET_BND_CRATER_ROOT_H_01__A_TO_B,BND_CRATER_ROOT_H_01,BND_CRATER_ROOT_H_01__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_CRATER_ROOT_H_01,NONE,16640b35c2b80a49b6a297be1c29c3fb8e54b27e83987e753e4d3dfd4b9fc591
SOCKET_BND_CRATER_ROOT_H_01__B_TO_A,BND_CRATER_ROOT_H_01,BND_CRATER_ROOT_H_01__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_CRATER_ROOT_H_01,NONE,ed21b166d0be87fa212e111aa549fb543ca137a0374a0617b4829244e9579dc1
SOCKET_BND_CRATER_ROOT_H_02__A_TO_B,BND_CRATER_ROOT_H_02,BND_CRATER_ROOT_H_02__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_CRATER_ROOT_H_02,NONE,45bf26a0bcfc0129d4da44a1d7c660d0ce5e0a937925e51e4a724ff9939533e5
