candidate_id,local_x,local_y,tile_code,tile_role,source_biome,material_token,canonical_digest
BND_CRATER_DOUGH_H_01,0,0,MP_GROUND_CORE,TerrainShell,MoonCrater,MAT_MOONSTONE,6d17ce32c8441f98af11b92dfd905fd14d9f669bdc1672fdafaeab4a0a895473
BND_CRATER_DOUGH_H_01,1,0,MP_GROUND_CORE,TerrainShell,MoonCrater,MAT_MOONSTONE,19fa8a15fd0b2cf944febbd8443e3cb1c83af731e21ca5f33f818971749fee9a
BND_CRATER_DOUGH_H_01,2,0,MP_GROUND_CORE,TerrainShell,MoonCrater,MAT_MOONSTONE,51667dd277408e8a8c4c1bd4fed206fc903005ff802f6650b4a0aa97ca7ea7c3
BND_CRATER_DOUGH_H_01,3,0,MP_GROUND_CORE,TerrainShell,MoonCrater,MAT_MOONSTONE,fa71afba534b4f4d4dd96c554d4321de6be1ad1b8851bfd840a29af75685eb16
BND_CRATER_DOUGH_H_01,4,0,MP_GROUND_CORE,TerrainShell,MoonCrater,MAT_MOONSTONE,66a035b9bbb9353184336249558d8b86e18667b8ef0ba81e4250fa257e23dfd6
BND_CRATER_DOUGH_H_01,5,0,MP_BOUNDARY_BLEND,BoundarySeam,MoonCrater,MAT_MOONSTONE,34d2b5f859b6c29de03da0a063da4ef1d47ae01da8d4082069cb0658b2fb08ce
BND_CRATER_DOUGH_H_01,6,0,MP_BOUNDARY_BLEND,BoundarySeam,MoonDough,MAT_MOON_DOUGH,f1d0d06a0fb7cc31b4b813993e180af993dd9e9fab2fe505337874b5e6058b0a
BND_CRATER_DOUGH_H_01,7,0,MP_GROUND_CORE,TerrainShell,MoonDough,MAT_MOON_DOUGH,3bd68e507608737a76da598ce993faf6f0e05810538e914de352898790bd3332
BND_CRATER_DOUGH_H_01,8,0,MP_GROUND_CORE,TerrainShell,MoonDough,MAT_MOON_DOUGH,a270c2edcb5602e7bdbd5dc9aacee54f70b6a210ca4420a57bb7c94765e51827
BND_CRATER_DOUGH_H_01,9,0,MP_GROUND_CORE,TerrainShell,MoonDough,MAT_MOON_DOUGH,adcfe7ca8f0ae154f75f15e173d414fc31c6a89711471418de96e48f65298d4c
BND_CRATER_DOUGH_H_01,10,0,MP_GROUND_CORE,TerrainShell,MoonDough,MAT_MOON_DOUGH,8824865462f5febd4facc7397375e59967b421cd0a40eb44a6ab0fd2c3f0d2e6
BND_CRATER_DOUGH_H_01,11,0,MP_GROUND_CORE,TerrainShell,MoonDough,MAT_MOON_DOUGH,d5ef28df74c551db301e8a3f394f6161d6d42e7008a2d3c0520db67f3996c4fa
BND_CRATER_DOUGH_H_01,0,1,MP_GROUND_CORE,TerrainShell,MoonCrater,MAT_MOONSTONE,29c36bccd07d972ad7e9e39f7ffed2d49699483e799398cf66a3f543868599d6
BND_CRATER_DOUGH_H_01,1,1,MP_GROUND_CORE,TerrainShell,MoonCrater,MAT_MOONSTONE,03509e6c97e77476bac5fc02fd3df7a32e72ad1ae087bcedea2a8378c343c979
BND_CRATER_DOUGH_H_01,2,1,MP_GROUND_CORE,TerrainShell,MoonCrater,MAT_MOONSTONE,b3f4598802d981b3b8fc91de3ab4e73a025afd35fe181ccda8d6d92a456cbe80
BND_CRATER_DOUGH_H_01,3,1,MP_GROUND_CORE,TerrainShell,MoonCrater,MAT_MOONSTONE,9c00b6f455b8331d6edf4407037dbb7227932469e5b66a087bbc9966ab9353ea
BND_CRATER_DOUGH_H_01,4,1,MP_GROUND_CORE,TerrainShell,MoonCrater,MAT_MOONSTONE,3f423f81aa91f559b9f88dea25ecb17b449b16e38df4dc36cabc2f1ce1bedd89
BND_CRATER_DOUGH_H_01,5,1,MP_BOUNDARY_BLEND,BoundarySeam,MoonCrater,MAT_MOONSTONE,a7cf1b9f4391a6e6fde21ba583ffc690bd0c97d17ca798449b42ac510c77fbc8
BND_CRATER_DOUGH_H_01,6,1,MP_BOUNDARY_BLEND,BoundarySeam,MoonDough,MAT_MOON_DOUGH,84c6461eab44c0afdbe5f0364d43453ac38b018808cfbca35e7388d73c122d0f
BND_CRATER_DOUGH_H_01,7,1,MP_GROUND_CORE,TerrainShell,MoonDough,MAT_MOON_DOUGH,8462fbb4c0c57209dc671b63530eeccb70c346c8e0f92efe12778f2bfc66bd4b
BND_CRATER_DOUGH_H_01,8,1,MP_GROUND_CORE,TerrainShell,MoonDough,MAT_MOON_DOUGH,77941b9df26d703772de7333a76222c0a583fced9d9111e3fdc847b4e0d28db9
BND_CRATER_DOUGH_H_01,9,1,MP_GROUND_CORE,TerrainShell,MoonDough,MAT_MOON_DOUGH,fc596eb6f9179347c07f7cdbf8865e3ce9c707d4f34793136712438c94e41217
BND_CRATER_DOUGH_H_01,10,1,MP_GROUND_CORE,TerrainShell,MoonDough,MAT_MOON_DOUGH,f683f263950b4dbb509347e5124c6d578cadeffb4d5a218ad145a6971f851ed9
BND_CRATER_DOUGH_H_01,11,1,MP_GROUND_CORE,TerrainShell,MoonDough,MAT_MOON_DOUGH,4378b6f7da35dc227ed4ce879cac35ce7ebdde4052d99e23cfec08b70c417d15
BND_CRATER_DOUGH_H_01,0,2,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,ab8ab0f140a14d3adf4b530c6d20f4c914a614cb395f9beedb0aafdea7e606f9
BND_CRATER_DOUGH_H_01,1,2,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,3f83bdfee8d3c9f9c2dcba65babf088a95d96686e07beed5c505b71242767dfd
BND_CRATER_DOUGH_H_01,2,2,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,85a8ce6c9837880835984268224df6d57a46f1f2bcc1c1add00d7e097c313528
BND_CRATER_DOUGH_H_01,3,2,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,193c90ae04543c5f35442347b10cbf07d6cde1d5eaca2f4fa722ccdc8c030a97
BND_CRATER_DOUGH_H_01,4,2,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,3186a2be823e78b1e5146ad536aaf79a579e58b308e1c503f855a02c1165c06f
BND_CRATER_DOUGH_H_01,5,2,MP_BOUNDARY_BLEND,BoundarySeam,MoonCrater,MAT_MOONSTONE,b2e04266675482e1063848b4d23fce7cdcb5b0b0a8f6b88bc60d12ecd3f271a3
BND_CRATER_DOUGH_H_01,6,2,MP_BOUNDARY_BLEND,BoundarySeam,MoonDough,MAT_MOON_DOUGH,be1dd7eac01f6d4517e8079c7a913bc5e8a0cc0eda9ef8a0251811acab62c0eb
BND_CRATER_DOUGH_H_01,7,2,MP_BACKGROUND_CORE,BackgroundShell,MoonDough,MAT_MOON_DOUGH,e349cf542d8012e007b9c90a4bd2435a6cf39cba4722274606eb6f62ca1edde5
BND_CRATER_DOUGH_H_01,8,2,MP_BACKGROUND_CORE,BackgroundShell,MoonDough,MAT_MOON_DOUGH,a5cf9de66c90eaf47969e54dab5580597774ee84caa17c06fc23bc9b851693c0
BND_CRATER_DOUGH_H_01,9,2,MP_BACKGROUND_CORE,BackgroundShell,MoonDough,MAT_MOON_DOUGH,06fcf22ff55255faf7b279e5168a068aac2c4ca69a44002ff71fc27bd349d077
BND_CRATER_DOUGH_H_01,10,2,MP_BACKGROUND_CORE,BackgroundShell,MoonDough,MAT_MOON_DOUGH,e79e667317886b1b0be78103de7f9550fa076bc221e62eed6b1fbe69f03ddd87
BND_CRATER_DOUGH_H_01,11,2,MP_BACKGROUND_CORE,BackgroundShell,MoonDough,MAT_MOON_DOUGH,4ad840123a6fbc3217f040673761dbedb75f04feed6da40cd69708085e80f3a5
BND_CRATER_DOUGH_H_01,0,3,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,c979751f8318cec86a218d450c3763a97083d6048b6c51bce29c9db93f673492
BND_CRATER_DOUGH_H_01,1,3,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,bec7f966d69ecbd36fde3837681b9ae7182f17821e8cdce96f83331d7d043b16
BND_CRATER_DOUGH_H_01,2,3,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,02a2cb66d50844a0c78c76698df60ee751c456975a56fbe2ca4b24f91f67ba6b
BND_CRATER_DOUGH_H_01,3,3,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,b44a02272b8207da39c95668b93908c8156de65a5ddd6ac709936c5892548429
BND_CRATER_DOUGH_H_01,4,3,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,f370055ab15a538d679af5563d0ed996f0e3d6f0a4ab41e3483a752831e93c9a
BND_CRATER_DOUGH_H_01,5,3,MP_BOUNDARY_BLEND,BoundarySeam,MoonCrater,MAT_MOONSTONE,12d6876f456308f91b58792ef56619ed476c1bb781e4e5fba2d558e002743f2a
BND_CRATER_DOUGH_H_01,6,3,MP_BOUNDARY_BLEND,BoundarySeam,MoonDough,MAT_MOON_DOUGH,0a68e816ae24d815ef253de0c598d8b060415047822269cab92c5a7b0e5a46d2
BND_CRATER_DOUGH_H_01,7,3,MP_BACKGROUND_CORE,BackgroundShell,MoonDough,MAT_MOON_DOUGH,320836aba2a7245e7bd479b11d73528f82d1262bb5fce282929126b57f46322d
BND_CRATER_DOUGH_H_01,8,3,MP_BACKGROUND_CORE,BackgroundShell,MoonDough,MAT_MOON_DOUGH,05e34512f200a45031b8e76b6b1b0580aacd004cb1f481cf4527a21f3858aa03
BND_CRATER_DOUGH_H_01,9,3,MP_BACKGROUND_CORE,BackgroundShell,MoonDough,MAT_MOON_DOUGH,86ab06b72c281b0da0d72525878598d424b5f92b29a893e7d712facc30acf6d5
BND_CRATER_DOUGH_H_01,10,3,MP_BACKGROUND_CORE,BackgroundShell,MoonDough,MAT_MOON_DOUGH,928f2443dacee6c50708c3771c69b6989c01f75cd812c7cf40847c4643413ca2
BND_CRATER_DOUGH_H_01,11,3,MP_BACKGROUND_CORE,BackgroundShell,MoonDough,MAT_MOON_DOUGH,3096b5fbd0b86bb1629e23223d7ac3780f7a143d1b10895891e56d6bef9d7c5e
BND_CRATER_DOUGH_H_01,0,4,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,132dcaf360657e4837255705c29fb069d4fa9e32676a84daf69721752969a7ea
BND_CRATER_DOUGH_H_01,1,4,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,19ee44c6d3ba8cee68354cc49292e293c3e1a1da92930c586388e6d492f9d268
BND_CRATER_DOUGH_H_01,2,4,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,53ef87cee155991f25bbf12b343774e01ef979314640d1e564b7ddc8deac20a4
BND_CRATER_DOUGH_H_01,3,4,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,b83fc0602e830b8bc74cb90ca8ef2e9387a136db86f28de1fe7acf2d32251f57
BND_CRATER_DOUGH_H_01,4,4,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,8697f88e16bed0677086944b9e92a9fbe7f802ca9427e5f22bc7cc212479d6e9
BND_CRATER_DOUGH_H_01,5,4,MP_BOUNDARY_BLEND,BoundarySeam,MoonCrater,MAT_MOONSTONE,cdbdb444db80dd49dc4195d37b8e4dfb3ec805d6ece6cd9f37e77addbb179804
BND_CRATER_DOUGH_H_01,6,4,MP_BOUNDARY_BLEND,BoundarySeam,MoonDough,MAT_MOON_DOUGH,83357a3b138e6e495bf73734e9ee3a060ada8dbe80fa52f2afe29bdc089c3ea6
BND_CRATER_DOUGH_H_01,7,4,MP_BACKGROUND_CORE,BackgroundShell,MoonDough,MAT_MOON_DOUGH,3f44aa88233db63ab1248c07a33c9b4af00e7627ae6b8671449a5d117ab09d83
BND_CRATER_DOUGH_H_01,8,4,MP_BACKGROUND_CORE,BackgroundShell,MoonDough,MAT_MOON_DOUGH,d5aaa939e0386aa055a3ccf039a06b81930a388e27f92b2b829bf32e6c06e20a
BND_CRATER_DOUGH_H_01,9,4,MP_BACKGROUND_CORE,BackgroundShell,MoonDough,MAT_MOON_DOUGH,364d0840d4860770b3a7dfe0c4cfac7f41f95e906c04353d9b0cab9c640e444c
BND_CRATER_DOUGH_H_01,10,4,MP_BACKGROUND_CORE,BackgroundShell,MoonDough,MAT_MOON_DOUGH,98cf60198e12403e2f81f5bc3edada317ff7d80ee4be3b21b777f547387c3d7c
BND_CRATER_DOUGH_H_01,11,4,MP_BACKGROUND_CORE,BackgroundShell,MoonDough,MAT_MOON_DOUGH,932f324f39ad5d8019014cba44c52f27fabcc3f927d3733832abc133823cec07
BND_CRATER_DOUGH_H_01,0,5,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,12123f5250e90f6b102715dae786d2021a05d3c919e4bd41986fc5f7a719efa0
BND_CRATER_DOUGH_H_01,1,5,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,99d4553884a2dae76e50276e42e1b80338581d03a96a20f0302e2bd81651b828
BND_CRATER_DOUGH_H_01,2,5,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,cfc06d8db263ac74199b366262cda204d778e72dc616788da7905160242106d2
BND_CRATER_DOUGH_H_01,3,5,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,d86ec90910c051fc5f2ead4a6725d9c35ec4fb7205ba5c5cb31be47741c284c4
BND_CRATER_DOUGH_H_01,4,5,MP_BACKGROUND_CORE,BackgroundShell,MoonCrater,MAT_MOONSTONE,04dc6a46724b511aa340554b888b99220b545a51b655264ecba25718b32cadd2
