projection_id,candidate_id,pair_id,direction,category,evidence_key,entering_biome,source_policy,severity,canonical_digest
BND_CRATER_DOUGH_H_01__A_TO_B,BND_CRATER_DOUGH_H_01,PAIR_CRATER_DOUGH,A_TO_B,Audio,AMB_DOUGH_SOFT,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,4a1309f990b971bef7f4201cf79718088a956e1f9895ff847704f4f3e8ce79d8
BND_CRATER_DOUGH_H_01__A_TO_B,BND_CRATER_DOUGH_H_01,PAIR_CRATER_DOUGH,A_TO_B,Background,BG_MOON_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,5e4765fbe240673be746ad86ff0bdd8c7203d16e7c5e7414664857748091d40a
BND_CRATER_DOUGH_H_01__A_TO_B,BND_CRATER_DOUGH_H_01,PAIR_CRATER_DOUGH,A_TO_B,Resource,POOL_RES_BOUND_CRATER_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,00ac493ff66df78fa3789d243f8356c9a29142995dc2c1f0a4d243daf4b1d797
BND_CRATER_DOUGH_H_01__A_TO_B,BND_CRATER_DOUGH_H_01,PAIR_CRATER_DOUGH,A_TO_B,Tile,MAT_MOON_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,52f3779b6a5ca0326abcd1ec5000d6f59cdc35542e8b3866f68d3527e1f99de1
BND_CRATER_DOUGH_H_01__B_TO_A,BND_CRATER_DOUGH_H_01,PAIR_CRATER_DOUGH,B_TO_A,Audio,AMB_CRATER_WIND,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,7866d757476357dc63d412e5b676b87082183e8a55a19bdaed5803b9b7b7a177
BND_CRATER_DOUGH_H_01__B_TO_A,BND_CRATER_DOUGH_H_01,PAIR_CRATER_DOUGH,B_TO_A,Background,BG_MOON_CRATER,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,f54b9b2719c6fb47f0a930b6cd270cb9f9140c55c2989fcc12a57dcfc531c1c9
BND_CRATER_DOUGH_H_01__B_TO_A,BND_CRATER_DOUGH_H_01,PAIR_CRATER_DOUGH,B_TO_A,Resource,POOL_RES_BOUND_CRATER_DOUGH,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,73357ab7120cbbd3f98fb00f697a7219f186e93450cfb5ac33a7e8bc62899de0
BND_CRATER_DOUGH_H_01__B_TO_A,BND_CRATER_DOUGH_H_01,PAIR_CRATER_DOUGH,B_TO_A,Tile,MAT_MOONSTONE,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,0b8dfcaf670eb205fd6b260e776f10be3071864954960b31aea100b4a17694d9
BND_CRATER_DOUGH_H_02__A_TO_B,BND_CRATER_DOUGH_H_02,PAIR_CRATER_DOUGH,A_TO_B,Audio,AMB_DOUGH_SOFT,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,d47596c9f2f86af11919c3ecb5d0a069253cf2c75a705449fa8b9f320887b895
BND_CRATER_DOUGH_H_02__A_TO_B,BND_CRATER_DOUGH_H_02,PAIR_CRATER_DOUGH,A_TO_B,Background,BG_MOON_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,c67f5ea0c76dd2f2a161e62876ff347c95d4763c0f08b9f1d1a82eed6d99603f
BND_CRATER_DOUGH_H_02__A_TO_B,BND_CRATER_DOUGH_H_02,PAIR_CRATER_DOUGH,A_TO_B,Resource,POOL_RES_BOUND_CRATER_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,903a961551b1e8722e8a89b16f410e056696c669b0771edc69626170cadee9b5
BND_CRATER_DOUGH_H_02__A_TO_B,BND_CRATER_DOUGH_H_02,PAIR_CRATER_DOUGH,A_TO_B,Tile,MAT_MOON_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,cd6b260aac0b20086bd4ed92d1555f6d0b1c471b8850527b5b8dc72121352875
BND_CRATER_DOUGH_H_02__B_TO_A,BND_CRATER_DOUGH_H_02,PAIR_CRATER_DOUGH,B_TO_A,Audio,AMB_CRATER_WIND,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,e96dd0d344cc25079e5780b1cce98680d88053cc397aa3e2bbc1f7fa414ae500
BND_CRATER_DOUGH_H_02__B_TO_A,BND_CRATER_DOUGH_H_02,PAIR_CRATER_DOUGH,B_TO_A,Background,BG_MOON_CRATER,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,3e40820d02fe6c31ac15c04abb5f127752cebe87d88deefdc052cc8b09395ec7
BND_CRATER_DOUGH_H_02__B_TO_A,BND_CRATER_DOUGH_H_02,PAIR_CRATER_DOUGH,B_TO_A,Resource,POOL_RES_BOUND_CRATER_DOUGH,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,1173963842efc08f0f040e29c812954ebd6e195e4dbae68ff6c8deb1b6fca6e1
BND_CRATER_DOUGH_H_02__B_TO_A,BND_CRATER_DOUGH_H_02,PAIR_CRATER_DOUGH,B_TO_A,Tile,MAT_MOONSTONE,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,d0120c602a86d4deff1b2027f7ec1b7f45d547bbb92368dbb331b81d268a7999
BND_CRATER_DOUGH_H_03__A_TO_B,BND_CRATER_DOUGH_H_03,PAIR_CRATER_DOUGH,A_TO_B,Audio,AMB_DOUGH_SOFT,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,d8f5ac1d6c82bdbd2d067acd43fd9944410fd6d41485df3b7d98ae9a5809e838
BND_CRATER_DOUGH_H_03__A_TO_B,BND_CRATER_DOUGH_H_03,PAIR_CRATER_DOUGH,A_TO_B,Background,BG_MOON_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,dcb58e2a4c97a6e205c4e4ad0d55c534c6c7fe3276d2ee7bd1c597b2db471373
BND_CRATER_DOUGH_H_03__A_TO_B,BND_CRATER_DOUGH_H_03,PAIR_CRATER_DOUGH,A_TO_B,Resource,POOL_RES_BOUND_CRATER_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,f2cd4ee73435c9253aaa76c1c19ff0e2a1e04ba66f423881895b06eb7a6bf5d3
