region_id,chunk_id,chunk_x,chunk_y,local_origin_x,local_origin_y,width,height,active,canonical_digest
SR_CASSIA_SAP_SITE_5,CRC_CASSIA_01,0,0,0,0,12,8,true,0850956191ba77d26b91927c2d7406c4baa9dacf820076e13a9782b44615b27a
SR_CASSIA_SAP_SITE_5,CRC_CASSIA_02,1,0,12,0,12,8,true,cf0d0ca838ce081bdb26ff12799812e45ca81e81edac66b1c46179015b16961e
SR_CASSIA_SAP_SITE_5,CRC_CASSIA_03,0,1,0,8,12,8,true,32fd1be577c2083c98514c2cd61c51a31b6943386cf5f48e5deeacf46d22bfdb
SR_CASSIA_SAP_SITE_5,CRC_CASSIA_04,1,1,12,8,12,8,true,e49eb1ff407a4b0ee7beb35a159b23823d6f4df5a8f3026661104bf444d923bf
SR_CASSIA_SAP_SITE_5,CRC_CASSIA_05,2,1,24,8,12,8,true,d97aa4ad6db06849ad64bc357771b7c915d28bf175cfe5b73d34b06f4c9de4f6
SR_MOON_CORE_SITE_5,CRC_MOON_01,0,0,0,0,12,8,true,16d9944c7dc4deb8cb9c8d803c7b4e70f71426d1782a01aa887e6992b9c28b29
SR_MOON_CORE_SITE_5,CRC_MOON_02,1,0,12,0,12,8,true,8d52c922e34b67e52a9e53257a2cc46ee1f8c944f720b3dfdf5a55fa3460a621
SR_MOON_CORE_SITE_5,CRC_MOON_03,2,0,24,0,12,8,true,5745bf0d886ff2f8f8439d4476505edeb1bc40e9bd6ce80eb450c5336a4e28e4
SR_MOON_CORE_SITE_5,CRC_MOON_04,0,1,0,8,12,8,true,d41f98c3159e15e1aa0d1d9db4d4c2eb4e64d1129e1b579dff0f8851ccaed8f0
SR_MOON_CORE_SITE_5,CRC_MOON_05,2,1,24,8,12,8,true,6a7350b93269b84d62e8f2e9a9a459ff018cfeed2606ce387fa811ec840d3648
SR_STAR_NURUK_SITE_5,CRC_NURUK_01,0,0,0,0,12,8,true,f0ba24e20804600f1098d360e506539ffba287720f61c6f90146110dc4777967
SR_STAR_NURUK_SITE_5,CRC_NURUK_02,1,0,12,0,12,8,true,232551ea913cfeeb00b0bb8b5c2af664357aefc3e2b9db8b7a4101cba63bc4bf
SR_STAR_NURUK_SITE_5,CRC_NURUK_03,2,0,24,0,12,8,true,126328da83e6e18bfb90b1386b013104cac5727b265503855e4ffd75ed623e6c
SR_STAR_NURUK_SITE_5,CRC_NURUK_04,1,1,12,8,12,8,true,0e58c21f1ae0563db1f9ed93e2d53b1b3998cff4d80850c331264cfab56dd924
SR_STAR_NURUK_SITE_5,CRC_NURUK_05,2,1,24,8,12,8,true,a6ab0490a7f48c02cfd59836701f41abad29c6ba0247fa9e926d7258f5452543
