village_layout_id,door_id,facility_id,witness_id,local_x,local_y,road_return_x,road_return_y,forward_witness,reverse_road_return_witness,marker_only,owns_collision,owns_lock,path_blocking,canonical_digest
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_DOOR_KITCHEN,1X1_OVERVIEW_FAC_KITCHEN,1X1_OVERVIEW_RETURN_KITCHEN,6,15,6,16,true,true,true,false,false,false,f2cc43a2c1e0e0186f3b1c13ef43a5f061ec18bc0f212a554d594db9133d5a9f
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_DOOR_OPTIONALMARKET,1X1_OVERVIEW_FAC_OPTIONALMARKET,1X1_OVERVIEW_RETURN_OPTIONALMARKET,42,15,42,16,true,true,true,false,false,false,77afc7debfad6cc482d36efc5075306f2c478c5d1779d48b47dfa7fb835b06fe
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_DOOR_OPTIONALREST,1X1_OVERVIEW_FAC_OPTIONALREST,1X1_OVERVIEW_RETURN_OPTIONALREST,24,15,24,16,true,true,true,false,false,false,80e436f0c0eb256130369adcb9a59774cb4d98be51da24770a6777535a689d12
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_DOOR_OPTIONALSTORAGE,1X1_OVERVIEW_FAC_OPTIONALSTORAGE,1X1_OVERVIEW_RETURN_OPTIONALSTORAGE,33,15,33,16,true,true,true,false,false,false,b9817cb89fc434c2a7e842a6c7c0f85fa7767cab0381a775f76e2f8ee0852dde
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_DOOR_REPAIR,1X1_OVERVIEW_FAC_REPAIR,1X1_OVERVIEW_RETURN_REPAIR,15,15,15,16,true,true,true,false,false,false,ca4378e0a6344caaec98a13eaa6ae39618f4c9be62d20f57258a245d1ee83759
VLG_MOONPALACE_1X2_ASCENT,1X2_ASCENT_DOOR_KITCHEN,1X2_ASCENT_FAC_KITCHEN,1X2_ASCENT_RETURN_KITCHEN,23,8,24,8,true,true,true,false,false,false,722f9598c6c1c3f0814504ed2090c042a52cefe52ceb7bfe20edcb2efb2c5fd5
VLG_MOONPALACE_1X2_ASCENT,1X2_ASCENT_DOOR_OPTIONALMARKET,1X2_ASCENT_FAC_OPTIONALMARKET,1X2_ASCENT_RETURN_OPTIONALMARKET,23,56,24,56,true,true,true,false,false,false,a88f5ade1c0f4a0d65dbcbb03efd8e390fa4d9d2d84d2d4d22fb3aad201453ea
VLG_MOONPALACE_1X2_ASCENT,1X2_ASCENT_DOOR_OPTIONALREST,1X2_ASCENT_FAC_OPTIONALREST,1X2_ASCENT_RETURN_OPTIONALREST,23,32,24,32,true,true,true,false,false,false,334a08ad3569a5354ebdd3da5c66ea8aec1267f5c29af80fd014b6e809583948
VLG_MOONPALACE_1X2_ASCENT,1X2_ASCENT_DOOR_OPTIONALSTORAGE,1X2_ASCENT_FAC_OPTIONALSTORAGE,1X2_ASCENT_RETURN_OPTIONALSTORAGE,23,44,24,44,true,true,true,false,false,false,e5baccb644e61a292889975227666fdfd5328a2c022702ed5a85fbf2018f2a60
VLG_MOONPALACE_1X2_ASCENT,1X2_ASCENT_DOOR_REPAIR,1X2_ASCENT_FAC_REPAIR,1X2_ASCENT_RETURN_REPAIR,23,20,24,20,true,true,true,false,false,false,cf7fc5c89c48f5e7b8a0d6e35072e406d6b35c86f7052277964ef222760dc4c2
VLG_MOONPALACE_2X1_MARKET,2X1_MARKET_DOOR_KITCHEN,2X1_MARKET_FAC_KITCHEN,2X1_MARKET_RETURN_KITCHEN,8,15,8,16,true,true,true,false,false,false,06b1a75a80cb232b894dce7dea3788473d8b5793b323c73067787190eb19971b
VLG_MOONPALACE_2X1_MARKET,2X1_MARKET_DOOR_OPTIONALLORE,2X1_MARKET_FAC_OPTIONALLORE,2X1_MARKET_RETURN_OPTIONALLORE,88,15,88,16,true,true,true,false,false,false,5f0494064aaab5486cd4cb4834c5e37573ca4b585860593b6c4ad0aa233f6f53
VLG_MOONPALACE_2X1_MARKET,2X1_MARKET_DOOR_OPTIONALMARKET,2X1_MARKET_FAC_OPTIONALMARKET,2X1_MARKET_RETURN_OPTIONALMARKET,72,15,72,16,true,true,true,false,false,false,0d1c4148a948bfe816d31b4f439159feb33c1fe92a8fa6bd488bd9cc4395bc44
VLG_MOONPALACE_2X1_MARKET,2X1_MARKET_DOOR_OPTIONALREST,2X1_MARKET_FAC_OPTIONALREST,2X1_MARKET_RETURN_OPTIONALREST,40,15,40,16,true,true,true,false,false,false,63d74986e6a91ae333908a67643d890b1282ca35a3763ec7137dfb4b5f21d4ba
VLG_MOONPALACE_2X1_MARKET,2X1_MARKET_DOOR_OPTIONALSTORAGE,2X1_MARKET_FAC_OPTIONALSTORAGE,2X1_MARKET_RETURN_OPTIONALSTORAGE,56,15,56,16,true,true,true,false,false,false,a14345a39ac4b2215d86852e9c9b2f04ee8175ec5d655d44f5c6f8ff8446aa3d
VLG_MOONPALACE_2X1_MARKET,2X1_MARKET_DOOR_REPAIR,2X1_MARKET_FAC_REPAIR,2X1_MARKET_RETURN_REPAIR,24,15,24,16,true,true,true,false,false,false,514fedb208c6a11d6a0e17d6afd0c467222713a1a13de85b7005535064d92a76
