village_layout_id,facility_id,facility_kind,requirement,slot_id,local_x,local_y,static_authoring_only,canonical_digest
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_FAC_KITCHEN,Kitchen,Fixed,1X1_OVERVIEW_SLOT_01,6,10,true,5617b12940e43e28cfcba701b336a9de5190bb8bd726b8b38999c9a9714d5df5
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_FAC_OPTIONALMARKET,OptionalMarket,Optional,1X1_OVERVIEW_SLOT_05,42,10,true,6372ce2fa0cb3f54b1b11ee07886980c39d5a5c26edffa69a4e0c19876d816d2
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_FAC_OPTIONALREST,OptionalRest,Optional,1X1_OVERVIEW_SLOT_03,24,10,true,79785ed80168027a7ea2af019e43e6ebe666afe77bf8d49e0fddfc0e2e50a176
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_FAC_OPTIONALSTORAGE,OptionalStorage,Optional,1X1_OVERVIEW_SLOT_04,33,10,true,5dc3825584dc762fdeacea930cf9e01f49ccd10f44fd28b7da89959a3392616f
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_FAC_REPAIR,Repair,Fixed,1X1_OVERVIEW_SLOT_02,15,10,true,9c088caa8ec5a9b3f9ec7560ffdef2a0f81ebd60906cca1b7fd6b4bd93639ee8
VLG_MOONPALACE_1X2_ASCENT,1X2_ASCENT_FAC_KITCHEN,Kitchen,Fixed,1X2_ASCENT_SLOT_01,17,8,true,a2c7df35475a542d295330e400780724baa2c0478c6e980606dc4463d2129ed3
VLG_MOONPALACE_1X2_ASCENT,1X2_ASCENT_FAC_OPTIONALMARKET,OptionalMarket,Optional,1X2_ASCENT_SLOT_05,17,56,true,4908e4c5f8c6593243b548c64bb6545490a480d94516ba5635fb60c22d0f34fc
VLG_MOONPALACE_1X2_ASCENT,1X2_ASCENT_FAC_OPTIONALREST,OptionalRest,Optional,1X2_ASCENT_SLOT_03,17,32,true,3b6bbcc9b4b6008fa86697d2df0cfc91ac69cfa4c8dd32069173c06d166415ff
VLG_MOONPALACE_1X2_ASCENT,1X2_ASCENT_FAC_OPTIONALSTORAGE,OptionalStorage,Optional,1X2_ASCENT_SLOT_04,17,44,true,fab3a83018176f9d4d0aff755bc3631c0e188c14c45b1e7ac0f4937cad9a041b
VLG_MOONPALACE_1X2_ASCENT,1X2_ASCENT_FAC_REPAIR,Repair,Fixed,1X2_ASCENT_SLOT_02,17,20,true,f12e10d9c9a6e08b7a6c39630454bb9483708b5798c827e45241de7c946cac32
VLG_MOONPALACE_2X1_MARKET,2X1_MARKET_FAC_KITCHEN,Kitchen,Fixed,2X1_MARKET_SLOT_01,8,10,true,cedfdf783e23d60505950c7b6d14a7a7707dabe25025c0cac29137854a850f0f
VLG_MOONPALACE_2X1_MARKET,2X1_MARKET_FAC_OPTIONALLORE,OptionalLore,Optional,2X1_MARKET_SLOT_06,88,10,true,23c495e5c9ac8439d362863b7ca8ec4a205de3c828b26a152289148712c42e84
VLG_MOONPALACE_2X1_MARKET,2X1_MARKET_FAC_OPTIONALMARKET,OptionalMarket,Optional,2X1_MARKET_SLOT_05,72,10,true,6564c25df2d215c2b522a2be4a7c4da7a9de5c34e9a4242e1fdf0e7018a9e852
VLG_MOONPALACE_2X1_MARKET,2X1_MARKET_FAC_OPTIONALREST,OptionalRest,Optional,2X1_MARKET_SLOT_03,40,10,true,a7186234b904d8f7a86332fb27147333acb45159da234f9abe9788ae3583aece
VLG_MOONPALACE_2X1_MARKET,2X1_MARKET_FAC_OPTIONALSTORAGE,OptionalStorage,Optional,2X1_MARKET_SLOT_04,56,10,true,6ad649e77badaa6eba38420d1194a56005215e3ea59953c331535199ebc805fa
VLG_MOONPALACE_2X1_MARKET,2X1_MARKET_FAC_REPAIR,Repair,Fixed,2X1_MARKET_SLOT_02,24,10,true,b0c27fa7005f140c330ac655d4f33294a2bef02457d28ab28fc0ba043bce24a3
