village_layout_id,marker_id,marker_kind,facility_id,role,local_x,local_y,is_shopkeeper,static_payload_only,runtime_controller_id,inventory_or_price_payload,canonical_digest
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_INV_KITCHEN,Inventory,1X1_OVERVIEW_FAC_KITCHEN,KitchenInventory,6,10,false,true,NONE,NONE,eccc20e416e025f16dd553ae2aa74e0ec6423da6fdca60edbe11b32afcaefe0b
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_INV_REPAIR,Inventory,1X1_OVERVIEW_FAC_REPAIR,RepairInventory,15,10,false,true,NONE,NONE,d89f0f39f4237bf633b6f56b2de55a7f3694d5073ef71d126ec3ec12166902fb
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_NPC_KITCHEN,Npc,1X1_OVERVIEW_FAC_KITCHEN,KitchenResident,6,10,false,true,NONE,NONE,0164f7fd729b85f1b1ded044546624d7563e06bf4c838153102ae1df7a4cfae6
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_NPC_REPAIR,Npc,1X1_OVERVIEW_FAC_REPAIR,RepairResident,15,10,false,true,NONE,NONE,d55bdf05978eec0817ac5ef279ffe0adde72981481ebb3be079866ad25cfb35e
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_NPC_SHOPKEEPER,Npc,1X1_OVERVIEW_FAC_OPTIONALMARKET,Shopkeeper,42,10,true,true,NONE,NONE,5b4d256651b1474d07420f9c886616c4ea7e05a7b4d10fb86f464c5921152af5
VLG_MOONPALACE_1X2_ASCENT,1X2_ASCENT_INV_KITCHEN,Inventory,1X2_ASCENT_FAC_KITCHEN,KitchenInventory,17,8,false,true,NONE,NONE,a955e1c930146cdde5e17d1e07a103b98a67ad88ed9c1cedf1814acb7ef5b2ac
VLG_MOONPALACE_1X2_ASCENT,1X2_ASCENT_INV_REPAIR,Inventory,1X2_ASCENT_FAC_REPAIR,RepairInventory,17,20,false,true,NONE,NONE,c5302e538d464a1a558fe8b4f1bd401e68097553ee100190cea71464c8c31129
VLG_MOONPALACE_1X2_ASCENT,1X2_ASCENT_NPC_KITCHEN,Npc,1X2_ASCENT_FAC_KITCHEN,KitchenResident,17,8,false,true,NONE,NONE,1a8826f12ddf07412c7460e11628d810a71ac299e4044a19d05290b41ef52d89
VLG_MOONPALACE_1X2_ASCENT,1X2_ASCENT_NPC_REPAIR,Npc,1X2_ASCENT_FAC_REPAIR,RepairResident,17,20,false,true,NONE,NONE,f8dac629862fe7e235665394b99b931127cb94b409b3f8f7120c19dbaa157ed1
VLG_MOONPALACE_1X2_ASCENT,1X2_ASCENT_NPC_SHOPKEEPER,Npc,1X2_ASCENT_FAC_OPTIONALMARKET,Shopkeeper,17,56,true,true,NONE,NONE,50bbf33ea9adbf7ad5744365f51b0b7f5accb8d74489913386d772b5aae7c18f
VLG_MOONPALACE_2X1_MARKET,2X1_MARKET_INV_KITCHEN,Inventory,2X1_MARKET_FAC_KITCHEN,KitchenInventory,8,10,false,true,NONE,NONE,f0fc00c8d540744115773413fe06b651e8ec75ff4efd789880407376f2afe276
VLG_MOONPALACE_2X1_MARKET,2X1_MARKET_INV_REPAIR,Inventory,2X1_MARKET_FAC_REPAIR,RepairInventory,24,10,false,true,NONE,NONE,c49f8ccb1d455b116e12ad07982fd4aaa9ad7a921960319dc676c9d1586a3b20
VLG_MOONPALACE_2X1_MARKET,2X1_MARKET_NPC_KITCHEN,Npc,2X1_MARKET_FAC_KITCHEN,KitchenResident,8,10,false,true,NONE,NONE,a0a6eecd5777bf44bcc58fc6cd0483237ccb970b4f322901558d60ed904eac55
VLG_MOONPALACE_2X1_MARKET,2X1_MARKET_NPC_REPAIR,Npc,2X1_MARKET_FAC_REPAIR,RepairResident,24,10,false,true,NONE,NONE,2e02e5aca9f51e8ee92149e7a01643e63e72dce3ed5b47ab12b7c5bacd64da49
VLG_MOONPALACE_2X1_MARKET,2X1_MARKET_NPC_SHOPKEEPER,Npc,2X1_MARKET_FAC_OPTIONALMARKET,Shopkeeper,72,10,true,true,NONE,NONE,e034f851f705f4082afdffe44d9a6cdd2892b78b1d4756b7a46bd77e9c6c9708
