village_layout_id,variant_kind,npc_marker_ids,npc_states,inventory_marker_ids,inventory_states,door_state,individual_target_or_none,road_digest,facility_digest,door_digest,road_mutation_count,facility_coordinate_mutation_count,door_coordinate_mutation_count,access_witness_mutation_count,canonical_digest
VLG_MOONPALACE_1X1_OVERVIEW,Normal,1X1_OVERVIEW_NPC_KITCHEN|1X1_OVERVIEW_NPC_REPAIR|1X1_OVERVIEW_NPC_SHOPKEEPER,Normal|Normal|Normal,1X1_OVERVIEW_INV_KITCHEN|1X1_OVERVIEW_INV_REPAIR,Standard|Standard,Standard,NONE,d308d190f5eb8671aae771cd13694891389e09d98975cd17ab4be0024c8fa2ac,71be8f01b803d70f45302052976e3e92bd9bf1a52224c0ad5f2af596b0faa9ff,8466042505b3cf326ff6da6a7a1423efe16e169d86bd150e5f6ad9379411ca16,0,0,0,0,5c73da93194ff2717ae76e67544eab9c3c7788b6339ba9f24685e0096a55ee86
VLG_MOONPALACE_1X1_OVERVIEW,Friendly,1X1_OVERVIEW_NPC_KITCHEN|1X1_OVERVIEW_NPC_REPAIR|1X1_OVERVIEW_NPC_SHOPKEEPER,Friendly|Friendly|Friendly,1X1_OVERVIEW_INV_KITCHEN|1X1_OVERVIEW_INV_REPAIR,FriendlyAccess|FriendlyAccess,Welcome,NONE,d308d190f5eb8671aae771cd13694891389e09d98975cd17ab4be0024c8fa2ac,71be8f01b803d70f45302052976e3e92bd9bf1a52224c0ad5f2af596b0faa9ff,8466042505b3cf326ff6da6a7a1423efe16e169d86bd150e5f6ad9379411ca16,0,0,0,0,d75be5d8c428ec6c165382616d0ad9ee11f9a4fc6dc6ccb681e09fceee53a426
VLG_MOONPALACE_1X1_OVERVIEW,IndividualHostile,1X1_OVERVIEW_NPC_KITCHEN|1X1_OVERVIEW_NPC_REPAIR|1X1_OVERVIEW_NPC_SHOPKEEPER,Hostile|Normal|Normal,1X1_OVERVIEW_INV_KITCHEN|1X1_OVERVIEW_INV_REPAIR,Standard|Standard,Standard,1X1_OVERVIEW_NPC_KITCHEN,d308d190f5eb8671aae771cd13694891389e09d98975cd17ab4be0024c8fa2ac,71be8f01b803d70f45302052976e3e92bd9bf1a52224c0ad5f2af596b0faa9ff,8466042505b3cf326ff6da6a7a1423efe16e169d86bd150e5f6ad9379411ca16,0,0,0,0,300961aa31e410bc351392229ec8761d5d0a909c1a947dd1147d1b489c234c5c
VLG_MOONPALACE_1X1_OVERVIEW,AllHostile,1X1_OVERVIEW_NPC_KITCHEN|1X1_OVERVIEW_NPC_REPAIR|1X1_OVERVIEW_NPC_SHOPKEEPER,Hostile|Hostile|Hostile,1X1_OVERVIEW_INV_KITCHEN|1X1_OVERVIEW_INV_REPAIR,Unavailable|Unavailable,Alert,NONE,d308d190f5eb8671aae771cd13694891389e09d98975cd17ab4be0024c8fa2ac,71be8f01b803d70f45302052976e3e92bd9bf1a52224c0ad5f2af596b0faa9ff,8466042505b3cf326ff6da6a7a1423efe16e169d86bd150e5f6ad9379411ca16,0,0,0,0,cd60f7e530a70991607b26c5527e7e794780731619b2dc4ba222c8c023c27b56
VLG_MOONPALACE_1X1_OVERVIEW,Evacuation,1X1_OVERVIEW_NPC_KITCHEN|1X1_OVERVIEW_NPC_REPAIR|1X1_OVERVIEW_NPC_SHOPKEEPER,Evacuated|Evacuated|Evacuated,1X1_OVERVIEW_INV_KITCHEN|1X1_OVERVIEW_INV_REPAIR,Evacuated|Evacuated,Evacuated,NONE,d308d190f5eb8671aae771cd13694891389e09d98975cd17ab4be0024c8fa2ac,71be8f01b803d70f45302052976e3e92bd9bf1a52224c0ad5f2af596b0faa9ff,8466042505b3cf326ff6da6a7a1423efe16e169d86bd150e5f6ad9379411ca16,0,0,0,0,5afda330e9da43c657ea298fed4aa8358b13e6b96c794b88dff3d7fbb1db81fa
VLG_MOONPALACE_1X2_ASCENT,Normal,1X2_ASCENT_NPC_KITCHEN|1X2_ASCENT_NPC_REPAIR|1X2_ASCENT_NPC_SHOPKEEPER,Normal|Normal|Normal,1X2_ASCENT_INV_KITCHEN|1X2_ASCENT_INV_REPAIR,Standard|Standard,Standard,NONE,93f2bd1add061eca758cddc8f6d7233a14dd4603fc80d020234bb39f869f844e,5cd6befa0f07aa0d194c9ee3f9968e129b5034d75739f72a0ebeb7e243826891,c7dc377237c2bae41a67e0aa9943ee763d58170aa8c8be86e55c16842094ed64,0,0,0,0,d234a0d365e45d1f8e1ef01b599c2d471bb305307dc6c1ccdb4ca0338b8b2c8e
VLG_MOONPALACE_1X2_ASCENT,Friendly,1X2_ASCENT_NPC_KITCHEN|1X2_ASCENT_NPC_REPAIR|1X2_ASCENT_NPC_SHOPKEEPER,Friendly|Friendly|Friendly,1X2_ASCENT_INV_KITCHEN|1X2_ASCENT_INV_REPAIR,FriendlyAccess|FriendlyAccess,Welcome,NONE,93f2bd1add061eca758cddc8f6d7233a14dd4603fc80d020234bb39f869f844e,5cd6befa0f07aa0d194c9ee3f9968e129b5034d75739f72a0ebeb7e243826891,c7dc377237c2bae41a67e0aa9943ee763d58170aa8c8be86e55c16842094ed64,0,0,0,0,1bc7ce754158aed3e575578ebbd7287e24f72b4cdfaa9d0f65454fa6784299a9
VLG_MOONPALACE_1X2_ASCENT,IndividualHostile,1X2_ASCENT_NPC_KITCHEN|1X2_ASCENT_NPC_REPAIR|1X2_ASCENT_NPC_SHOPKEEPER,Hostile|Normal|Normal,1X2_ASCENT_INV_KITCHEN|1X2_ASCENT_INV_REPAIR,Standard|Standard,Standard,1X2_ASCENT_NPC_KITCHEN,93f2bd1add061eca758cddc8f6d7233a14dd4603fc80d020234bb39f869f844e,5cd6befa0f07aa0d194c9ee3f9968e129b5034d75739f72a0ebeb7e243826891,c7dc377237c2bae41a67e0aa9943ee763d58170aa8c8be86e55c16842094ed64,0,0,0,0,d0bb4b1b2a68b82601566ce6585f05d80f428f21743f1f4a339ceaf675d18164
VLG_MOONPALACE_1X2_ASCENT,AllHostile,1X2_ASCENT_NPC_KITCHEN|1X2_ASCENT_NPC_REPAIR|1X2_ASCENT_NPC_SHOPKEEPER,Hostile|Hostile|Hostile,1X2_ASCENT_INV_KITCHEN|1X2_ASCENT_INV_REPAIR,Unavailable|Unavailable,Alert,NONE,93f2bd1add061eca758cddc8f6d7233a14dd4603fc80d020234bb39f869f844e,5cd6befa0f07aa0d194c9ee3f9968e129b5034d75739f72a0ebeb7e243826891,c7dc377237c2bae41a67e0aa9943ee763d58170aa8c8be86e55c16842094ed64,0,0,0,0,359d8bc1554f2995207e081306415ee8ab633dae694006d29e78a9b8520dbb63
VLG_MOONPALACE_1X2_ASCENT,Evacuation,1X2_ASCENT_NPC_KITCHEN|1X2_ASCENT_NPC_REPAIR|1X2_ASCENT_NPC_SHOPKEEPER,Evacuated|Evacuated|Evacuated,1X2_ASCENT_INV_KITCHEN|1X2_ASCENT_INV_REPAIR,Evacuated|Evacuated,Evacuated,NONE,93f2bd1add061eca758cddc8f6d7233a14dd4603fc80d020234bb39f869f844e,5cd6befa0f07aa0d194c9ee3f9968e129b5034d75739f72a0ebeb7e243826891,c7dc377237c2bae41a67e0aa9943ee763d58170aa8c8be86e55c16842094ed64,0,0,0,0,f401ed83fa3b894fd4d74b6c3cda2f5999052f0c26f649401429e54710ff55b0
