record_kind,record_id,order,from_or_role,to_or_policy,moon_seal_required,moon_seal_consumed,runtime_execution_count
State,SL_STATE_BOSS_GATE_LOCKED,0,GateLocked,NONE,true,0,0
State,SL_STATE_BOSS_GATE_ACCEPTED,1,GateAccepted,NONE,false,0,0
State,SL_STATE_BOSS_ENCOUNTER_ACTIVE,2,EncounterActive,NONE,false,0,0
State,SL_STATE_BOSS_DEFEATED,3,Defeated,NONE,false,0,0
Transition,SL_TRANSITION_BOSS_ACCEPT_SEAL,1,SL_STATE_BOSS_GATE_LOCKED,SL_STATE_BOSS_GATE_ACCEPTED,true,0,0
Transition,SL_TRANSITION_BOSS_ENTER,2,SL_STATE_BOSS_GATE_ACCEPTED,SL_STATE_BOSS_ENCOUNTER_ACTIVE,false,0,0
Transition,SL_TRANSITION_BOSS_FAIL,3,SL_STATE_BOSS_ENCOUNTER_ACTIVE,SL_STATE_BOSS_ENCOUNTER_ACTIVE,false,0,0
Transition,SL_TRANSITION_BOSS_WIN,4,SL_STATE_BOSS_ENCOUNTER_ACTIVE,SL_STATE_BOSS_DEFEATED,false,0,0
Reset,SL_RESET_BOSS_ENCOUNTER,0,SL_STATE_BOSS_ENCOUNTER_ACTIVE,SL_STATE_BOSS_ENCOUNTER_ACTIVE,false,0,0
Reset,SL_RESET_BOSS_FALL,0,NONE,NONE,false,0,0
Reset,SL_RESET_BOSS_PRESSURE,0,NONE,NONE,false,0,0
