landmark_id,chunk_id,chunk_x,chunk_y,local_origin_x,local_origin_y,width,height,coordinate_space,canonical_digest
BossSealArena,BossSealArena_CHUNK_00_00,0,0,0,0,12,8,DesignLocalLandmark,af79eda6df2496885a3a8f4d820c701950dc42cd16af001aeb74f27e90664ff7
BossSealArena,BossSealArena_CHUNK_00_01,0,1,0,8,12,8,DesignLocalLandmark,0fca9f3c1345edc4e9a5665eb219aad397301f94de7333d1b5235e1940fc20af
BossSealArena,BossSealArena_CHUNK_00_02,0,2,0,16,12,8,DesignLocalLandmark,278f151cbb9e8b1aa963cc8da5dfc364fab6200e086091db5ca64ad18516c847
BossSealArena,BossSealArena_CHUNK_01_00,1,0,12,0,12,8,DesignLocalLandmark,8c666f778b7e55acdd53fc6917d96362951819c33d2d6712f4075c1cc4dd7881
BossSealArena,BossSealArena_CHUNK_01_01,1,1,12,8,12,8,DesignLocalLandmark,d56b91451d726f0b858ffcb24393537404ef9874726b77a7c0b21ef4da5b9648
BossSealArena,BossSealArena_CHUNK_01_02,1,2,12,16,12,8,DesignLocalLandmark,297ac4ff86e41c36d47c60de074b3b425f5a3baa71efee0205b7628dd440a9ea
BossSealArena,BossSealArena_CHUNK_01_03,1,3,12,24,12,8,DesignLocalLandmark,7896c52637de73987b565633bd5aad603bd4f6ba424e4c6e7231605d1c40756d
BossSealArena,BossSealArena_CHUNK_02_00,2,0,24,0,12,8,DesignLocalLandmark,c721faa6e0f31b8060307d00c3c3889d74f24609c2e6b9dcc65e65f6d5995a9f
BossSealArena,BossSealArena_CHUNK_02_01,2,1,24,8,12,8,DesignLocalLandmark,1f971c8de08a96e2913afcce2730a34a395d4c6a783e66b12f26cc2f21e14222
BossSealArena,BossSealArena_CHUNK_02_02,2,2,24,16,12,8,DesignLocalLandmark,29e448c636bd5ce10698f483ed3cd937bcbacbbbda10521a95cffed300d60f0f
BossSealArena,BossSealArena_CHUNK_03_00,3,0,36,0,12,8,DesignLocalLandmark,ddb44a1974d7b0288f789084b12d3ca34be4417b4200f8e93759a055398bb0b2
BossSealArena,BossSealArena_CHUNK_03_01,3,1,36,8,12,8,DesignLocalLandmark,adc8c2bc4157181f822c88d0aa75d1a1ece5dcf9195f495c566e9fa8b97e247e
MaruTimeShrine,MaruTimeShrine_CHUNK_00_00,0,0,0,0,12,8,DesignLocalLandmark,5facdd0efbb1dd7a9d0a615447b6e6a8c216cec91a6393a86f2acadb7adb7c92
MaruTimeShrine,MaruTimeShrine_CHUNK_00_01,0,1,0,8,12,8,DesignLocalLandmark,08e0d3fa67afb9827da8b0377d1e70ac86f0cb2c790565b85ff777e635fb4a4c
MaruTimeShrine,MaruTimeShrine_CHUNK_00_02,0,2,0,16,12,8,DesignLocalLandmark,c4c922ebfde76b3a66a7f9b193bc1768e6e35ae1fe54746c1c17a5c80565526b
MaruTimeShrine,MaruTimeShrine_CHUNK_01_00,1,0,12,0,12,8,DesignLocalLandmark,1840966c78308533d85c6a8686c7447f53f9e0945cd48325720a21b69f42ed93
MaruTimeShrine,MaruTimeShrine_CHUNK_01_01,1,1,12,8,12,8,DesignLocalLandmark,e664f012e0e38fe036efccac37e77e6b73e655b6e7013369bbfb420cb045fb71
MoonSealForge,MoonSealForge_CHUNK_00_00,0,0,0,0,12,8,DesignLocalLandmark,3d3956e7bef07e43417cb7a867b4bbbfb975e2cc424108324335456a71d76bca
MoonSealForge,MoonSealForge_CHUNK_00_01,0,1,0,8,12,8,DesignLocalLandmark,beba5648c866e40069716a36bf0cbfc5e924a19d20566afebb4decb1771799f7
MoonSealForge,MoonSealForge_CHUNK_01_00,1,0,12,0,12,8,DesignLocalLandmark,f58d3ab0a1a82ac0d24d3a3c84994f3bd4edc3546787f8988fd904ebe535c66e
MoonSealForge,MoonSealForge_CHUNK_01_01,1,1,12,8,12,8,DesignLocalLandmark,127eefedece4a0a5454cbe1af872d09ddbb02429d2f4e9cd133c7c2ef71ea175
MoonSealForge,MoonSealForge_CHUNK_02_00,2,0,24,0,12,8,DesignLocalLandmark,0dde64cf92ba1bab28ffe97b5600a35d4bc6a7d2f36746bdd26e23dbae9073dc
MoonSealForge,MoonSealForge_CHUNK_02_01,2,1,24,8,12,8,DesignLocalLandmark,2fe42f9e46c176574c7ca215d6026bc39e97ebe472d877ebb65e77bb04626af6
MoonSealForge,MoonSealForge_CHUNK_02_02,2,2,24,16,12,8,DesignLocalLandmark,d10e08ec14970cbb8d1096ef3bd7ebcc754c185432fd13c618dd4fd5701c659e
MoonSealForge,MoonSealForge_CHUNK_03_00,3,0,36,0,12,8,DesignLocalLandmark,98fe5f712ace103c742d816a5dde0fbec9c6a4649439c30744bf3f9c292f7f0d
MoonSealForge,MoonSealForge_CHUNK_03_01,3,1,36,8,12,8,DesignLocalLandmark,61c15e144b9ded3885b58b31bbb5a3238de5d17410259800fb5586346160e25a
WanderingMerchantCave,WanderingMerchantCave_CHUNK_00_00,0,0,0,0,12,8,DesignLocalLandmark,36c6795b7c33ecce8fff7446b8777d33d5cfcd5e38d014d844e94ffccc3944c5
WanderingMerchantCave,WanderingMerchantCave_CHUNK_00_01,0,1,0,8,12,8,DesignLocalLandmark,bc1e69e40fd3a227f712c81a760421aaa47c8975056cf05c0aa93f58159edfe7
WanderingMerchantCave,WanderingMerchantCave_CHUNK_01_00,1,0,12,0,12,8,DesignLocalLandmark,c189d26192c705d890bbb4eaf680879ca243aeb9f6bfa20c241dbbeb69c41436
