landmark_id,edge_id,from_node_id,to_node_id,route_kind,order,access_class,required,dependency,canonical_digest
BossSealArena,SL_EDGE_BOSS_FAIL_BRANCH_01,SL_NODE_BOSS_FALL_OBJECT,SL_NODE_BOSS_FAIL_FALL,High,101,OptionalNoTool,false,None,961599b667b13c09c4f3ec2af1d6dd74d99aecf163fc5dbb7bb0f43cd7ae48d2
BossSealArena,SL_EDGE_BOSS_FAIL_BRANCH_02,SL_NODE_BOSS_PRESSURE_DEVICE,SL_NODE_BOSS_FAIL_PRESSURE,High,102,OptionalNoTool,false,None,77046d75ed99a2fefbc4a2e5611639ad9880bc33624270227a6ea743b392b99c
BossSealArena,SL_EDGE_BOSS_HIGH_01,SL_NODE_BOSS_ENTRY,SL_NODE_BOSS_GATE,High,1,OptionalNoTool,false,None,ad277b7f86336de94529a8ecf6f49958344d630829e227b6dd7e461b38b39e41
BossSealArena,SL_EDGE_BOSS_HIGH_02,SL_NODE_BOSS_GATE,SL_NODE_BOSS_UPPER_A,High,2,OptionalNoTool,false,None,fd94583b1803b5b837e0e8a774214530ce957240aa4b5f09241cc11d2fee2f86
BossSealArena,SL_EDGE_BOSS_HIGH_03,SL_NODE_BOSS_UPPER_A,SL_NODE_BOSS_FALL_OBJECT,High,3,OptionalNoTool,false,None,281730b59edfebf7514a5259f32d2817089bd0a4d5497a119df74af09a4fd779
BossSealArena,SL_EDGE_BOSS_HIGH_04,SL_NODE_BOSS_FALL_OBJECT,SL_NODE_BOSS_PRESSURE_DEVICE,High,4,OptionalNoTool,false,None,25915e54f03919e06809acb05109b068588fd3bc3ab0ce0adda1d5895e0cc5f8
BossSealArena,SL_EDGE_BOSS_HIGH_05,SL_NODE_BOSS_PRESSURE_DEVICE,SL_NODE_BOSS_ARENA,High,5,OptionalNoTool,false,None,22d81ace48316e545ebbc3f6db9db29af56d62587c344af182483ccf7ee9f4d8
BossSealArena,SL_EDGE_BOSS_HIGH_06,SL_NODE_BOSS_ARENA,SL_NODE_BOSS_RETURN,High,6,OptionalNoTool,false,None,998b77b37e7bcae66357e98fd1cc10745bc6fceb777ed48245d0f7fdb7012763
BossSealArena,SL_EDGE_BOSS_LOW_01,SL_NODE_BOSS_ENTRY,SL_NODE_BOSS_GATE,Low,1,MandatoryNoTool,true,None,2f3d5a538baa627401a6c5270edaa7a07c1a2751b36002a2cd34f1d68a443c62
BossSealArena,SL_EDGE_BOSS_LOW_02,SL_NODE_BOSS_GATE,SL_NODE_BOSS_LOWER_OBSERVE,Low,2,MandatoryNoTool,true,None,220aecf5a89b9c7e81d4334323c0863b012bc6e574d69709bab65fcbf81ab975
