landmark_id,marker_id,marker_kind,node_id,state_id_or_none,order,required,dependency,persistence_key_or_none,static_marker_only,canonical_digest
BossSealArena,SL_MARKER_BOSS_ENCOUNTER_PERSISTENCE,EncounterPersistence,SL_NODE_BOSS_DEFEATED,SL_STATE_BOSS_DEFEATED,4,true,None,SR_STATE_MOON_BOSS_SEAL_ARENA_12_ENCOUNTER_BOSS_ENCOUNTER,true,7ce048b863ba97c310b0f7ad72d0363decb878bac0570a6f568b1eff0c00224a
BossSealArena,SL_MARKER_BOSS_FALLING_OBJECT,FallingObject,SL_NODE_BOSS_FALL_OBJECT,NONE,2,false,None,NONE,true,249253d834d802f7440fc41420470b6d7f25e856b685c4e1454af732c743a13f
BossSealArena,SL_MARKER_BOSS_LOWER_RECOVERY,LowerRecoveryZone,SL_NODE_BOSS_CENTRAL_RECOVERY,NONE,0,true,None,NONE,true,511badd5b2e34ac3026dbec70a6f1f6eff7d0b9675573392fae9e3ce7cce3eff
BossSealArena,SL_MARKER_BOSS_MARU_SEPARATE_OWNER,SeparateMaruStateOwner,SL_NODE_BOSS_ARENA,NONE,0,true,None,NONE,true,b2aa839addbf7a9e0178be3b03d40971d7cec3296b38a372deaa1c594fcd4d40
BossSealArena,SL_MARKER_BOSS_PRESSURE_DEVICE,PressureDevice,SL_NODE_BOSS_PRESSURE_DEVICE,NONE,3,false,None,NONE,true,c291b3ecf44a61dc9959b3414da86f83af597ad17caaee3fea6fab4c45f5bfa3
BossSealArena,SL_MARKER_BOSS_SEAL_REQUIREMENT,MoonSealRequirement,SL_NODE_BOSS_GATE,NONE,0,true,None,NONE,true,17cb4cae5afe3d8a349fd34e3a381c8ce82307c1bbfb88ba57ca0a5d725268c2
BossSealArena,SL_MARKER_BOSS_UPPER_PLATFORM,UpperPlatform,SL_NODE_BOSS_UPPER_A,NONE,1,false,None,NONE,true,0cb3192c44caa6a7d670ff862022d44d6a34ac86d5e1c46e5b0ec984750e9322
MaruTimeShrine,SL_MARKER_MARU_ATTENTION_INCREASE,MaruAttentionIncrease,SL_NODE_MARU_STRONG,NONE,3,false,None,NONE,true,37959be11112f76720d0d3a9f2d4d235bb53822b06b882474ca5a78cda12a2b9
MaruTimeShrine,SL_MARKER_MARU_CHOICE_PREVIEW,ChoicePreview,SL_NODE_MARU_PREVIEW,NONE,0,true,None,NONE,true,5702dc748a39b9b9b584f8147eee202feb292268cb59dd904ca6cefc69538120
MaruTimeShrine,SL_MARKER_MARU_RARE_TERRAIN_COMPASS,RareTerrainCompass,SL_NODE_MARU_STRONG,NONE,2,false,None,NONE,true,e25542f550d639ec1cb773e854de626ffd942768dcd84c048775ea584fa2f954
MaruTimeShrine,SL_MARKER_MARU_SAFE_ZONE,NonCombatSafeZone,SL_NODE_MARU_SAFE,NONE,0,true,None,NONE,true,70767db3c063f42b71cc7221c9376d1c3fe10e9aa8e7a8219a82e8a0f3669bc2
MaruTimeShrine,SL_MARKER_MARU_SHORT_HINT,ShortHint,SL_NODE_MARU_CHOICE,NONE,1,false,None,NONE,true,97f9b8a32ffd00604461249b5bde7f1858af420574afacc98455a7f94c675896
MoonSealForge,SL_MARKER_FORGE_ATTENTION_REDUCTION,MaruAttentionReduction,SL_NODE_FORGE_ATTENTION,NONE,2,false,None,NONE,true,1a63964a538593cb316815fdfc11488bf72707537c3e51a74a7e7b3c57821a40
MoonSealForge,SL_MARKER_FORGE_BOSS_DIRECTION,BossDirection,SL_NODE_FORGE_RETURN,NONE,0,true,None,NONE,true,7d47748182e71d3e49c3cfe44779361d612f5e56c294c6c3a2a27a58ae1a00d9
MoonSealForge,SL_MARKER_FORGE_INPUT_CASSIA_SAP,ForgeInput,SL_NODE_FORGE_MIX,NONE,0,true,None,NONE,true,cd3ee9447deb5ce94d92ab3390cb32f222282584bfc9ab34925b90b69a6b3b62
MoonSealForge,SL_MARKER_FORGE_INPUT_MOON_CORE,ForgeInput,SL_NODE_FORGE_GRIND,NONE,0,true,None,NONE,true,6d3e7412bc579acd2d4143daafb5a86b566dd45a77177dc38b25137d1f757c89
MoonSealForge,SL_MARKER_FORGE_INPUT_STAR_NURUK,ForgeInput,SL_NODE_FORGE_PRESS,NONE,0,true,None,NONE,true,dcbf19472fb8c6fb08b83365e064e0bb8d031dd2574361eb657e6e2096d07424
MoonSealForge,SL_MARKER_FORGE_OUTPUT_MOON_SEAL,MoonSealOutput,SL_NODE_FORGE_REWARD,NONE,0,true,None,NONE,true,23349035ddc7690c215a102411aa444b9f241c84eb30f5c6f161f0af93fa72a2
MoonSealForge,SL_MARKER_FORGE_SAFE_CORRIDOR,SafeCorridor,SL_NODE_FORGE_SAFE_CORRIDOR,NONE,0,true,None,NONE,true,6e668ec990e2aad2476d988677bbf51af5c958de8ff1762fd60147aad5a02ca6
MoonSealForge,SL_MARKER_FORGE_STEP_CURE,ForgeProcessStep,SL_NODE_FORGE_CURE,NONE,4,true,None,NONE,true,2418d88820a0ebd504ad030687a44b5d0fc99c5c416518ce7f14723d91fbb08e
MoonSealForge,SL_MARKER_FORGE_STEP_GRIND,ForgeProcessStep,SL_NODE_FORGE_GRIND,NONE,1,true,None,NONE,true,631773d230fb39a08ad0174077f0c104a91716903dabbcacfc8112cac8653194
MoonSealForge,SL_MARKER_FORGE_STEP_MIX,ForgeProcessStep,SL_NODE_FORGE_MIX,NONE,2,true,None,NONE,true,9b012c9f487b011a6cd00a28ab0fa09cdee83f1857caaca67ba19315fada1c3a
MoonSealForge,SL_MARKER_FORGE_STEP_PRESS,ForgeProcessStep,SL_NODE_FORGE_PRESS,NONE,3,true,None,NONE,true,de2e0a83005d87c75d8e1073023b8b05d2481cad8752c601874f6d0aa33c4c00
MoonSealForge,SL_MARKER_FORGE_TIMING,TimingOptimization,SL_NODE_FORGE_TIMING,NONE,1,false,None,NONE,true,548ad66b85a96db09f5186bf702eb64cd02e0fbaea88fb28e1d8a961c0656905
