landmark_id,node_id,role,local_x,local_y,required,coordinate_space,canonical_digest
BossSealArena,SL_NODE_BOSS_ARENA,Arena,37,15,true,DesignLocalLandmark,531432c3819030507c406df1b811414084001a8ddb9d84761551bce9504da400
BossSealArena,SL_NODE_BOSS_CENTRAL_RECOVERY,RecoveryJoin,23,5,true,DesignLocalLandmark,3600f6322e45341328885158f23e047a67ba55fb9ea1fba235c9d6a78147f949
BossSealArena,SL_NODE_BOSS_DEFEATED,Arena,40,18,true,DesignLocalLandmark,23b7a66a884e17a824c017d685ab5e01fde5e31a1c8d534eb59041be669762c1
BossSealArena,SL_NODE_BOSS_ENTRY,Entry,1,15,true,DesignLocalLandmark,ea61edb0b83dbabe8f75ee271e2edde84a2760bc5989cd2cdbd3c035a9de8279
BossSealArena,SL_NODE_BOSS_FAIL_FALL,Failure,24,11,false,DesignLocalLandmark,0d1a04efb4e2a3f8ec5dced91871e048fef59bc6863919f80c8db93fc7b4375b
BossSealArena,SL_NODE_BOSS_FAIL_PRESSURE,Failure,32,11,false,DesignLocalLandmark,dd443da334587a9f355574da4f1cfee40401ce11c384e04e625d532953d02ed1
BossSealArena,SL_NODE_BOSS_FALL_OBJECT,Mastery,23,26,false,DesignLocalLandmark,5a8e6394b009a93e3530583d5a42bb2e5efa8b54c5cf34983a12df0068f544a4
BossSealArena,SL_NODE_BOSS_GATE,Gate,6,15,true,DesignLocalLandmark,c236f3e276069c95d8fd8284d7696dba437b50db6a431076bc49581f974c64ca
BossSealArena,SL_NODE_BOSS_LOWER_OBSERVE,Observation,13,6,true,DesignLocalLandmark,c0abde2a548ca58ae49429d3d3e046c9d7abfdac5628e8d913853676d754d795
BossSealArena,SL_NODE_BOSS_PRESSURE_DEVICE,Mastery,32,25,false,DesignLocalLandmark,5f351c4b8c0d11c11c389a0fb24327cc5f63f1d2313ab6ac01b68c2dd12770ea
BossSealArena,SL_NODE_BOSS_RETURN,Return,46,15,true,DesignLocalLandmark,c4c0a32760b71fa8507338d38b9c20b00f9d1a42ad96bfa61fbcfb314714fdff
BossSealArena,SL_NODE_BOSS_UPPER_A,Mastery,13,25,false,DesignLocalLandmark,4c14d4fc8d8cd890bc1d3d3f2628efc99e449dbce4a846512559682bce1f0da5
MaruTimeShrine,SL_NODE_MARU_CHOICE,Shrine,13,8,true,DesignLocalLandmark,fb47e9c0f183d4065657b2b8516b9b476dfb410c8a7c385f4a596926ffc81f9b
MaruTimeShrine,SL_NODE_MARU_ENTRY,Entry,1,8,true,DesignLocalLandmark,d35e105b1622c4ccc1e217563b1fdbc4bd5f9b82dd639a53df7199ef4c561687
MaruTimeShrine,SL_NODE_MARU_FAILURE,Failure,9,17,false,DesignLocalLandmark,992891fbde110151448717c2d267e14b35601f2264f2745a77b51384e3f00ebb
MaruTimeShrine,SL_NODE_MARU_PREVIEW,Shrine,9,8,true,DesignLocalLandmark,a9babd8906e07b36c65611db0b38305e04841a70b9de96922303790e42cd4e77
MaruTimeShrine,SL_NODE_MARU_RETURN,Return,22,8,true,DesignLocalLandmark,6b232226e787fc782f374e5f9502aee30d1d7882d9fd8d0d70b0a947c9679155
MaruTimeShrine,SL_NODE_MARU_SAFE,SafeZone,5,8,true,DesignLocalLandmark,2e12181d8c59b1fb3e135cd98e169af00aebb60cbc02557b1507c2538cf920e6
MaruTimeShrine,SL_NODE_MARU_STRONG,Mastery,14,17,false,DesignLocalLandmark,982dc232e3c787c7c27bf9b89a4d3667e942aa81b42d7e0c4df2dafd761ff988
MoonSealForge,SL_NODE_FORGE_ATTENTION,Mastery,29,14,false,DesignLocalLandmark,59d5b569cb5be30f0e9d5cbbd21a2a324c54e61e26e713ae14ebe6368a454b27
MoonSealForge,SL_NODE_FORGE_CURE,Workstation,33,8,true,DesignLocalLandmark,c4097da7ac8410db8a84ae8477cd0465da44815a22ab56dcc132c9a5e980057e
MoonSealForge,SL_NODE_FORGE_ENTRY,Entry,1,8,true,DesignLocalLandmark,9977b6fd9f88a3855fa96a605dc34b206e3366534f44969b3e3c154fd94f1f10
MoonSealForge,SL_NODE_FORGE_FAIL_GRIND,Failure,8,3,false,DesignLocalLandmark,b9259ac511e7eb9df8c7aedadfdc3948eb321f5f916d186eb99d673efad8a242
MoonSealForge,SL_NODE_FORGE_FAIL_MIX,Failure,17,3,false,DesignLocalLandmark,8fa221c6e8cc871b14e74e474393d13d2e3c3fb2b4cd92721685ae982cb98a84
MoonSealForge,SL_NODE_FORGE_FAIL_PRESS,Failure,26,3,false,DesignLocalLandmark,4f926584a7395264e9ff859fba7b398f2c57a7a5b38e049921db30ff04f92d21
MoonSealForge,SL_NODE_FORGE_GRIND,Workstation,7,8,true,DesignLocalLandmark,5277f553fae751476c207e5a1bd9eb8aeadffd94ad94ff1ad2da4bec1b384b12
MoonSealForge,SL_NODE_FORGE_MIX,Workstation,15,8,true,DesignLocalLandmark,61e6c5f0322f70506dabda334d2b18b773a9c9519a61520909fa3c7b2adce05c
MoonSealForge,SL_NODE_FORGE_PRESS,Workstation,24,8,true,DesignLocalLandmark,d36b7602c6c7d16660c5cf5be0583fa6a82c47c02c3100b85bf6aa49e6c8c2c9
MoonSealForge,SL_NODE_FORGE_RETURN,Return,46,8,true,DesignLocalLandmark,9c3bf14fc07284e82d693f20a2a103518a11938c938a0ba34cf790f18707ea2b
MoonSealForge,SL_NODE_FORGE_REWARD,RequiredReward,40,8,true,DesignLocalLandmark,d7365f1be66cf713467578f5ada08d44ead81780b3e270ddabccbd67596ea035
MoonSealForge,SL_NODE_FORGE_SAFE_CORRIDOR,RecoveryJoin,4,3,true,DesignLocalLandmark,3dbb49ff79824095f9e2f76a7ae7f696e1121a8eda20350276cb9ab78899dd96
MoonSealForge,SL_NODE_FORGE_TIMING,Mastery,11,14,false,DesignLocalLandmark,4684e2fc666a262236764b7c5217f34490b572ba6c709e4d4c318b4f381efcae
WanderingMerchantCave,SL_NODE_MERCHANT_BENEFIT,Mastery,18,11,false,DesignLocalLandmark,423c55300b2ceef52f3afa357cd2967f6bd424e4183d58ed89a6ae44e40a45ec
WanderingMerchantCave,SL_NODE_MERCHANT_ENTRY,Entry,1,7,true,DesignLocalLandmark,26e71802d0a6878c3f2e0a2d47ed588d8879e7aa27de3af26a60769d2a36a77a
WanderingMerchantCave,SL_NODE_MERCHANT_INFO,Mastery,14,13,false,DesignLocalLandmark,43a7fb3fe7f3285fd85569ab38eed77e99b31f55a32ff65ac03a85eb266a8335
WanderingMerchantCave,SL_NODE_MERCHANT_RETURN,Return,22,7,true,DesignLocalLandmark,afb3c18baa798880b2b14c8c5d99687b5cd7235538016fa8a37d8c4ee84a629e
WanderingMerchantCave,SL_NODE_MERCHANT_SAFE,SafeZone,5,7,true,DesignLocalLandmark,3565213bf12737a2b2d2663c3da4bcee15186ce478e811a2e82630b79dd2cb1d
WanderingMerchantCave,SL_NODE_MERCHANT_SHOP,Shop,10,7,true,DesignLocalLandmark,ffe0d880a0ee42029d6c2694c7cc65f7c59f9221a949b4bf1b9c3a9cd5b61857
