landmark_id,route_id,route_kind,start_node_id,end_node_id,edge_ids,canonical_digest
BossSealArena,SL_ROUTE_BOSS_HIGH,High,SL_NODE_BOSS_ENTRY,SL_NODE_BOSS_RETURN,SL_EDGE_BOSS_HIGH_01|SL_EDGE_BOSS_HIGH_02|SL_EDGE_BOSS_HIGH_03|SL_EDGE_BOSS_HIGH_04|SL_EDGE_BOSS_HIGH_05|SL_EDGE_BOSS_HIGH_06,a197980e0edd438fb4f754bb31bef4f51cbd2fca11caf3fa22f9cf2c0eb6274c
BossSealArena,SL_ROUTE_BOSS_LOW,Low,SL_NODE_BOSS_ENTRY,SL_NODE_BOSS_RETURN,SL_EDGE_BOSS_LOW_01|SL_EDGE_BOSS_LOW_02|SL_EDGE_BOSS_LOW_03|SL_EDGE_BOSS_LOW_04|SL_EDGE_BOSS_LOW_05,fe55a0694ae89729f97b1f1e7472703c3828e9ba22f8be8a9c29eb9b5cbebe87
BossSealArena,SL_ROUTE_BOSS_RECOVERY_FALL,Recovery,SL_NODE_BOSS_FAIL_FALL,SL_NODE_BOSS_CENTRAL_RECOVERY,SL_EDGE_BOSS_RECOVERY_01,5c8bc68f5ec80c1291e64d7b533b5b1ea4e326fd5dd5685fb345af42837fa9c4
BossSealArena,SL_ROUTE_BOSS_RECOVERY_PRESSURE,Recovery,SL_NODE_BOSS_FAIL_PRESSURE,SL_NODE_BOSS_CENTRAL_RECOVERY,SL_EDGE_BOSS_RECOVERY_02,22fadcb08b14e71f419c84334a7aeb15dadde942def7df1ae5052fc0887eb2f4
BossSealArena,SL_ROUTE_BOSS_RETURN,Return,SL_NODE_BOSS_CENTRAL_RECOVERY,SL_NODE_BOSS_RETURN,SL_EDGE_BOSS_RETURN,4d964256ad6c1b18b68bf517c4372a6529872b14d96fa356779f29d59cac01c1
MaruTimeShrine,SL_ROUTE_MARU_HIGH,High,SL_NODE_MARU_ENTRY,SL_NODE_MARU_RETURN,SL_EDGE_MARU_HIGH_01|SL_EDGE_MARU_HIGH_02|SL_EDGE_MARU_HIGH_03|SL_EDGE_MARU_HIGH_04|SL_EDGE_MARU_HIGH_05,79935995b7987e9a03f6cacbb1bb1cc9fa94885131e615276c6b3133f2dc4a0b
MaruTimeShrine,SL_ROUTE_MARU_LOW,Low,SL_NODE_MARU_ENTRY,SL_NODE_MARU_RETURN,SL_EDGE_MARU_LOW_01|SL_EDGE_MARU_LOW_02|SL_EDGE_MARU_LOW_03|SL_EDGE_MARU_LOW_04,31be2987104e129ef62298fe0cff114c18094f9670f603c404978a9dcbdd09d6
MaruTimeShrine,SL_ROUTE_MARU_RECOVERY,Recovery,SL_NODE_MARU_FAILURE,SL_NODE_MARU_SAFE,SL_EDGE_MARU_RECOVERY,293f22372197b070a70aefcba5462a5b98f4fdf0338097ef8f3c16b19508350d
MaruTimeShrine,SL_ROUTE_MARU_RETURN,Return,SL_NODE_MARU_SAFE,SL_NODE_MARU_RETURN,SL_EDGE_MARU_RETURN,d0ec56cb55237c1ea25c1bc4e044e5d5db3bbff2ec240371a061463ccd36bb2d
MoonSealForge,SL_ROUTE_FORGE_HIGH,High,SL_NODE_FORGE_ENTRY,SL_NODE_FORGE_RETURN,SL_EDGE_FORGE_HIGH_01|SL_EDGE_FORGE_HIGH_02|SL_EDGE_FORGE_HIGH_03|SL_EDGE_FORGE_HIGH_04|SL_EDGE_FORGE_HIGH_05|SL_EDGE_FORGE_HIGH_06|SL_EDGE_FORGE_HIGH_07|SL_EDGE_FORGE_HIGH_08,fbff91eeee6859dd7820ef919b5c62ff58cd264cbd669e6eb206962d5faea44c
MoonSealForge,SL_ROUTE_FORGE_LOW,Low,SL_NODE_FORGE_ENTRY,SL_NODE_FORGE_RETURN,SL_EDGE_FORGE_LOW_01|SL_EDGE_FORGE_LOW_02|SL_EDGE_FORGE_LOW_03|SL_EDGE_FORGE_LOW_04|SL_EDGE_FORGE_LOW_05|SL_EDGE_FORGE_LOW_06,390127f95844fc30fc71c2d8733d4db60828a176d71d97604c3256b7a326022b
MoonSealForge,SL_ROUTE_FORGE_RECOVERY_GRIND,Recovery,SL_NODE_FORGE_FAIL_GRIND,SL_NODE_FORGE_GRIND,SL_EDGE_FORGE_RECOVERY_01|SL_EDGE_FORGE_RECOVERY_JOIN,717b4cc9f1c22e0d4eedf274a411460bc2c99d0e9c7f8e00670a90a546506373
MoonSealForge,SL_ROUTE_FORGE_RECOVERY_MIX,Recovery,SL_NODE_FORGE_FAIL_MIX,SL_NODE_FORGE_GRIND,SL_EDGE_FORGE_RECOVERY_02|SL_EDGE_FORGE_RECOVERY_JOIN,ebbfd5b3a501134d97e3d6ba275c5a3af448d3ec27d91ff80a8b76a87e5b2bcb
MoonSealForge,SL_ROUTE_FORGE_RECOVERY_PRESS,Recovery,SL_NODE_FORGE_FAIL_PRESS,SL_NODE_FORGE_GRIND,SL_EDGE_FORGE_RECOVERY_03|SL_EDGE_FORGE_RECOVERY_JOIN,31ffb7682dfc0ab4b46a0fe557fc996e58cda81dff98133d8a5b882e7532cc90
MoonSealForge,SL_ROUTE_FORGE_RETURN,Return,SL_NODE_FORGE_REWARD,SL_NODE_FORGE_RETURN,SL_EDGE_FORGE_RETURN,f438f4e2cdc6007b74e1bf62a2a57f867ddfe58af00794f15b3af6d2d67762e2
WanderingMerchantCave,SL_ROUTE_MERCHANT_HIGH,High,SL_NODE_MERCHANT_ENTRY,SL_NODE_MERCHANT_RETURN,SL_EDGE_MERCHANT_HIGH_01|SL_EDGE_MERCHANT_HIGH_02|SL_EDGE_MERCHANT_HIGH_03|SL_EDGE_MERCHANT_HIGH_04,bba8e72dcb7f57ea4ab8f15154ed1369e09473abea8ef6accb7d11326de2b6fd
WanderingMerchantCave,SL_ROUTE_MERCHANT_LOW,Low,SL_NODE_MERCHANT_ENTRY,SL_NODE_MERCHANT_RETURN,SL_EDGE_MERCHANT_LOW_01|SL_EDGE_MERCHANT_LOW_02|SL_EDGE_MERCHANT_LOW_03,59eba52f63d07828289b1fb9580350b26d1058d1ba344871aab84729fa1de334
WanderingMerchantCave,SL_ROUTE_MERCHANT_RETURN,Return,SL_NODE_MERCHANT_SAFE,SL_NODE_MERCHANT_RETURN,SL_EDGE_MERCHANT_RETURN,d3d321a3af8461cbd6e519bf3c5ab80a6c8164cb16bfbf9398bc3882d630a6e4
