landmark_id,record_kind,record_id,role_or_trigger_or_policy,order,from_state_or_failure_node,to_state_or_recovery_node,persistent,returns_all_forge_inputs,preserves_seal_acceptance,prevents_reroll,canonical_digest
BossSealArena,State,SL_STATE_BOSS_DEFEATED,Defeated,3,NONE,NONE,true,false,false,false,53b3ee1b0c2b5e03256b6a55b73ffec37152bb4bb1605a61dc9dbbe6ba2191d9
BossSealArena,State,SL_STATE_BOSS_ENCOUNTER_ACTIVE,EncounterActive,2,NONE,NONE,true,false,false,false,6491adb48f65683106a6f718588f6bacf5aa28e323b3e2ea17b86c0b2d16fdf8
BossSealArena,State,SL_STATE_BOSS_GATE_ACCEPTED,GateAccepted,1,NONE,NONE,true,false,false,false,305a681f3c89b388d49a07d592bb3f1d10bfd63dad6a971ee9d1f7d2c0c2b0da
BossSealArena,State,SL_STATE_BOSS_GATE_LOCKED,GateLocked,0,NONE,NONE,true,false,false,false,97047fac2b3fca168da4a58bf32e9c469c85040ffbe4c4bf625c3a940cad51da
MaruTimeShrine,State,SL_STATE_MARU_IGNORED,Ignored,1,NONE,NONE,true,false,false,false,be64c3aa53d298c0739f8ed35fff7e5f90876c4f8f103f3f257e995b99453b04
MaruTimeShrine,State,SL_STATE_MARU_OFFERED,Offered,0,NONE,NONE,true,false,false,false,5f347f398e5e0f94ea467ec1469232f7fab02cd8cef797f5386dca13de7cd538
MaruTimeShrine,State,SL_STATE_MARU_SHORT_HINT,ShortHint,2,NONE,NONE,true,false,false,false,12453dbb554c878447c70d1a6585c87a551a7595ff78adb5c9f6b5a374e0cbb7
MaruTimeShrine,State,SL_STATE_MARU_STRONG_HINT,StrongHint,3,NONE,NONE,true,false,false,false,264ead5bf3a3b4b46c6311dafd25da90d6129df85f725762ac57de1b3eeaeca2
MoonSealForge,State,SL_STATE_FORGE_CASSIASAP_AVAILABLE,ResourceAvailable,1819,NONE,NONE,false,false,false,false,2270a40a186f60dceef94344da757f6aa9236481fdce017b1e6f1b5c189685ee
MoonSealForge,State,SL_STATE_FORGE_CASSIASAP_CONSUMED,ResourceConsumed,1752,NONE,NONE,true,false,false,false,aec0cfe6d4f9c139296d6db93d6bf4fcdd7d6ed7edd4a69a01c79ea964ab2acf
MoonSealForge,State,SL_STATE_FORGE_CASSIASAP_RESERVED,ResourceReserved,1754,NONE,NONE,false,false,false,false,daecceab55891fd68e6083ccc0c3bd926a50267e931dfe3981f2b4cea6c5de55
MoonSealForge,State,SL_STATE_FORGE_CASSIASAP_RETURNED,ResourceReturned,1763,NONE,NONE,false,false,false,false,8372a475cbf3b25459ca9509adf35641a1961972ea66da302c608724cab0b902
MoonSealForge,State,SL_STATE_FORGE_MOONCORE_AVAILABLE,ResourceAvailable,1819,NONE,NONE,false,false,false,false,0484c96ea71eef990f3c5deecf7a6dad497102195a1840abdb1a20bea5811045
MoonSealForge,State,SL_STATE_FORGE_MOONCORE_CONSUMED,ResourceConsumed,1752,NONE,NONE,true,false,false,false,f89586ed26b52d55dcfd1cf6929b2101f816879f0a1ed8180a8406ecf0bab71c
MoonSealForge,State,SL_STATE_FORGE_MOONCORE_RESERVED,ResourceReserved,1754,NONE,NONE,false,false,false,false,f069ab1fbaed0da0b11c69674e77186dd377bb73754dbcfbc7f2141e85f65879
MoonSealForge,State,SL_STATE_FORGE_MOONCORE_RETURNED,ResourceReturned,1763,NONE,NONE,false,false,false,false,4835bf78f07967a36f88e58a4ae33467ab2e3c47bfc1cb9fdffda4c0b8b056fa
