seed_id,seed_value,derivation_version,source_handoff_digest,derivation_material,content_hash,locked,canonical_digest
MP_QA_01,1924737067,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|00,c37c2fafc87597f8bb9089dc7b505311d816adcb004108f7ee5d6f75feae43cc,true,e9decbd723b570c00ec29f07a4b61e78c659099c7d9fc431c75eb173f2f0b828
MP_QA_02,1697017134,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|01,c2d71866586ee73f68f38c0757fa56725b7eb8477f0a159d855fa6c38bde9fdd,true,9ae50f91e91fe8bf6a43459ac74a9e092e323d8e95accd02487bcad6e14e9a96
MP_QA_03,684258236,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|02,b603a328c6be1f8a5708dad689b4e2735215b090267cc0b80be051cd1d16f87e,true,ddb478d283aeea3e12b611fbc1cda0dfaee770dc52ceb8dc00081690e49d3b38
MP_QA_04,1744116978,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|03,7ab665ac1874742ae45c4a18a2d0ac88d0570e817b636e85bfb635ddad673d8a,true,5ce1877ca130ef20484782f87492640ceefdfd04a30513678037806724fd4f5f
MP_QA_05,894083500,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|04,f634a1fc9fcaa0cfe3e35342222e6e4f08288849f8b406cbafe0c0ee1d58c25d,true,2d2d6c471a9df6f907021134778c88e353bad433234f38d29c6bfab51e95c6f9
MP_QA_06,1937634980,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|05,f6d122613fa82e085df07b32eac270ad2e28d0c1cc6b9ec3356ecedbe2575f13,true,f81e041dc30168c42792f3f43dcdc0372f50c327d5dff35bd78339a1578c70bf
MP_QA_07,1080761698,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|06,7cd7881a17024879a355d6974dad71c98650233728c305cdd0cf4b15e1969c2d,true,a8274761b9645ce09a2fd5b7cd7bbd1a01e5bfdc92156aa5ef7b19eb1d330922
MP_QA_08,1987855856,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|07,497a51886f5869aa6f1f0a3e9b4ad2365e2e52834d4f98c2ed6fa6fd6dba79fe,true,5b2fdcdb1a0962e83b450828b6578526d17cd133a1fba001cd2dc7c9b2259fa0
MP_QA_09,1513827622,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|08,80e4edd0579816da51e5b1eaf3413e08af608f38c89c0024306bf488cd06c8b3,true,de928e7e77d93751f17eef6f266c12ab19c2adc97b2a4af050c8a675e83edc88
MP_QA_10,1395430098,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|09,947c6d92e81d2055960e78c94115fbcd9e5b43f5261552a5a2b5cdeefb516a49,true,929dec4fac86025601d5a909fb4ff1579743c3aefd2e2a11c05ac40565075bc0
