metric_id,value,scope,source
allowed_warning_count,5,release_audit,MAP21_12
bad_seam_total,0,release_audit,MAP21_12
blocker_count,0,release_audit,MAP21_12
build_readiness_evidence_recorded,true,release_audit,MAP21_12
completion_fail_count,0,release_audit,MAP21_12
completion_pass_count,30,release_audit,MAP21_12
completion_playtest_rerun_count,0,release_audit,MAP21_12
death_total,0,release_audit,MAP21_12
deferred_item_count,6,release_audit,MAP21_12
density_violation_count,0,release_audit,MAP21_12
disallowed_warning_count,0,release_audit,MAP21_12
fail_count,0,release_audit,MAP21_12
full_regression_run_count,0,release_audit,MAP21_12
generator_execution_count,0,release_audit,MAP21_12
legacy_19347_selection_count,0,release_audit,MAP21_12
mandatory_completion_failure_count,0,release_audit,MAP21_12
player_build_execution_count,0,release_audit,MAP21_12
playmode_selection_count,0,release_audit,MAP21_12
prior_category_selection_count,0,release_audit,MAP21_12
qa_seed_records,30,release_audit,MAP21_12
qa_seed_rerun_count,0,release_audit,MAP21_12
release_gate_records,8,release_audit,MAP21_12
renderer_execution_count,0,release_audit,MAP21_12
repetition_violation_count,0,release_audit,MAP21_12
replay_execution_count,0,release_audit,MAP21_12
rollback_execution_count,0,release_audit,MAP21_12
softlock_total,0,release_audit,MAP21_12
source_inventory_rows,16,release_audit,MAP21_12
source_modification_count_outside_map21_12,0,release_audit,MAP21_12
unfiltered_selection_count,0,release_audit,MAP21_12
validation_runner_execution_count_outside_map21_12,0,release_audit,MAP21_12
