task_id,phase,result_path,result_sha256,semantic_digest,status,read_only_source
MAP17_08_MAP17_RUNTIME_EXIT_AUDIT,MAP17,MapDesign/MCP/REPORTS/MAP17_08_MAP17_RUNTIME_EXIT_AUDIT_RESULT.md,aca1f360dc9ffe4c5f96479ae7d2d69526cd9e8d6d6fed442c1c2fb58c998fb1,8b4849bf11ac6807a9e8a9d699a166eaa61e5c600454e410bae1ad47480545a0,PASS,true
MAP18_07_MAP18_POPULATION_EXIT_TESTS,MAP18,MapDesign/MCP/REPORTS/MAP18_07_MAP18_POPULATION_EXIT_TESTS_RESULT.md,5d5c45a6a9714cdd42c19b3e13a03956d7226b396be531da6c9783e0ffe50881,d17fc7aa674e42bbe17b576032d4f03298ecdf53e890dd1ae2352c68078ae6a7,PASS,true
MAP19_08_CREATE_FAILURE_BUNDLE_AND_HEADLESS_RUNNER,MAP19,MapDesign/MCP/REPORTS/MAP19_08_CREATE_FAILURE_BUNDLE_AND_HEADLESS_RUNNER_RESULT.md,35d9e149fb174da911fe9271e26b8f59c48f4dac3920858e2f3e2e65da197009,5d96dbb4e42b3a39f20ee6d48f8acf1aed13acd23c3743a7b4683bdd314cd483,PASS,true
MAP19_09_MAP19_SCALE_AND_EXIT_AUDIT,MAP19,MapDesign/MCP/REPORTS/MAP19_09_MAP19_SCALE_AND_EXIT_AUDIT_RESULT.md,1dfbe8c14380266b42bbd34d8cd0a39e394ff9e8b79ac9461c5a5af26dcbbadf,0f5bac81722f727dd02772c76323c9fa69ce91ad3d1a3722cef2aa47381ccec2,PASS,true
MAP20_06_MAP20_TOOLING_EXIT_TESTS,MAP20,MapDesign/MCP/REPORTS/MAP20_06_MAP20_TOOLING_EXIT_TESTS_RESULT.md,ed73ee40f6f197c9e3d3582acbab7527d25de662a45a8a6eeeb4ae67e52da4bb,552f7f2d8884811977e001c1159be52c218346f21dcc9f96f7df06d169eb7301,PASS,true
MAP21_01_LOCK_MOONPALACE_PROFILES_AND_TILE_SHELL,MAP21,MapDesign/MCP/REPORTS/MAP21_01_LOCK_MOONPALACE_PROFILES_AND_TILE_SHELL_RESULT.md,37de80ca52aa90a2ccc121f0b10ac2b75f54a8758381cf592a1413ac9e7d2eaf,NONE,PASS,true
MAP21_02_PRODUCTIONIZE_24_MICROPATTERNS,MAP21,MapDesign/MCP/REPORTS/MAP21_02_PRODUCTIONIZE_24_MICROPATTERNS_RESULT.md,8963713cd62f4f25311e876df74551e6e1304c50885652f51a32b46019ca2017,NONE,PASS,true
MAP21_03_EXPAND_CRATER_AND_ROOT_CLUSTER_POOLS,MAP21,MapDesign/MCP/REPORTS/MAP21_03_EXPAND_CRATER_AND_ROOT_CLUSTER_POOLS_RESULT.md,279bf1c735a81a8c49da62a1e2d84567ef0691987f19a13634ef750579c64d08,NONE,PASS,true
MAP21_04_EXPAND_MILL_AND_DOUGH_CLUSTER_POOLS,MAP21,MapDesign/MCP/REPORTS/MAP21_04_EXPAND_MILL_AND_DOUGH_CLUSTER_POOLS_RESULT.md,7cc7c7fc470277b8266eb076e741b1e887353509daf71a0bf135e919d3ef2710,NONE,PASS,true
MAP21_05_PRODUCTIONIZE_ACTIVITIES_AND_EVENT_OVERLAYS,MAP21,MapDesign/MCP/REPORTS/MAP21_05_PRODUCTIONIZE_ACTIVITIES_AND_EVENT_OVERLAYS_RESULT.md,0fc8a5da0d08f2eccdd5e183a2b8653cfc75a703e09441388a1682fa9fceef96,NONE,PASS,true
MAP21_06_EXPAND_ALL_SIX_BOUNDARY_POOLS,MAP21,MapDesign/MCP/REPORTS/MAP21_06_EXPAND_ALL_SIX_BOUNDARY_POOLS_RESULT.md,fba1770c479fb039d922dc8952ed70ec659416c69b93ce8fcf362b2f7c1e1db1,NONE,PASS,true
MAP21_07_COMPLETE_THREE_CORE_RESOURCE_REGIONS,MAP21,MapDesign/MCP/REPORTS/MAP21_07_COMPLETE_THREE_CORE_RESOURCE_REGIONS_RESULT.md,68170bda01e3f2df4fbf14e9e841b04be58b3b61b1b18de9af3e5e2a3a486c8b,NONE,PASS,true
MAP21_08_COMPLETE_MOONPALACE_VILLAGE,MAP21,MapDesign/MCP/REPORTS/MAP21_08_COMPLETE_MOONPALACE_VILLAGE_RESULT.md,7e5e7cfe0bb4e82ed7da405d11a1a05fe06e475208268a9e432840ca43b9d7d8,NONE,PASS,true
MAP21_09_COMPLETE_FORGE_BOSS_AND_OPTIONAL_REGIONS,MAP21,MapDesign/MCP/REPORTS/MAP21_09_COMPLETE_FORGE_BOSS_AND_OPTIONAL_REGIONS_RESULT.md,d89be7ffda394341c96eb59196d01c1ec10802c62b82a4bbbc73223e682bf44c,NONE,PASS,true
MAP21_10_TUNE_REPETITION_DENSITY_AND_PACING,MAP21,MapDesign/MCP/REPORTS/MAP21_10_TUNE_REPETITION_DENSITY_AND_PACING_RESULT.md,348581da96ace8e893141731e22098691931f7f9c15836d97a703f4e5bcb914b,b3e57217b52222d0665c437649749c8803c45c09a6ac09402a591f210fdedc8d,PASS,true
MAP21_11_LOCK_QA_SEEDS_AND_RUN_COMPLETION_PLAYTESTS,MAP21,MapDesign/MCP/REPORTS/MAP21_11_LOCK_QA_SEEDS_AND_RUN_COMPLETION_PLAYTESTS_RESULT.md,231c3e615469392c0eaa0fa954004abecc47aab578c8df3afd1e9968f612f81a,d16a54da27dd5156ccb1ad6481348264522d9d57262c6c7de3d7b4a07ca371f1,PASS,true
