SourcePatternId,SourceMaskReference,OriginalReference,Transform,CandidateId,IntentTags,UnresolvedDirectionalTags,TagConflicts
"VIS01_MP_0018","0x0018","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R180","RMAP07_0A655882772A","OptionalOnly;QuietFill","",""
"RMAP07_CEILING_ROUGH","0xDB00","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_14DD38B63C1F","LowCeiling;SecretShell;RewardAllowed","",""
"RMAP07_SLOPE_B","0xC8F7","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_168CCC357CD5","StepFloor;Landing;RunApproach;HazardAllowed","",""
"RMAP07_COMPLEX_A","0x4EF3","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_16A6ECEF6D87","StepFloor;GrabbableCorner;HazardAllowed;MechanismAllowed","",""
"RMAP07_CEILING_ROUGH","0xDB00","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_1B1A84B2AB74","LowCeiling;SecretShell;RewardAllowed","",""
"RMAP07_LEDGE_B","0x00EF","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_244CEA1EB638","LongLedge;RunApproach;OptionalOnly","",""
"RMAP07_SLOPE_B","0xC8F7","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_258AFD068C9F","StepFloor;Landing;RunApproach;HazardAllowed","",""
"VIS01_MP_0440","0x0440","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorX","RMAP07_26DF04E23AA9","OptionalOnly;QuietFill","",""
"VIS01_MP_0440","0x0440","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R180","RMAP07_26DF04E23AA9","OptionalOnly;QuietFill","",""
"VIS01_MP_0018","0x0018","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R0","RMAP07_27786F255580","OptionalOnly;QuietFill","",""
"VIS01_MP_0014","0x0014","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorY","RMAP07_286521366D7E","OptionalOnly;QuietFill","",""
