ChunkId,SpaceState,Type,SourceCandidateId,SourceOffset,ReservationId,NormalPortCount,BreakableAccessCount,SolidCellCount
INACTIVE_SOLID_WALL,InactiveSolid,NONE,RMAP07_991204FBA2B6,4;2,NONE,0,0,96
SPECIAL_RESERVED_START,SpecialReserved,NONE,RMAP07_991204FBA2B6,4;2,RESERVED_START_SLOT,0,0,12
T0_BREAKABLE_SECRET,Secret,Type0,RMAP07_991204FBA2B6,4;2,NONE,0,1,14
T0_SINGLE_ENTRANCE,Active,Type0,RMAP07_991204FBA2B6,4;2,NONE,1,0,12
T1_A,Active,Type1,RMAP07_991204FBA2B6,4;2,NONE,2,0,12
T1_B,Active,Type1,RMAP07_991204FBA2B6,4;2,NONE,2,0,12
T1_BLOCKED_SOURCE,Active,Type1,RMAP07_991204FBA2B6,4;2,NONE,2,0,12
T2_DROP,Active,Type2,RMAP07_991204FBA2B6,4;2,NONE,2,0,8
T3_CLIMB,Active,Type3,RMAP07_991204FBA2B6,4;2,NONE,2,0,12
T4_SPLIT,Active,Type4,RMAP07_991204FBA2B6,4;2,NONE,5,0,12
