X,Y,BaseCell,Protected
0,0,Solid,true
1,0,Solid,true
2,0,Solid,true
3,0,Solid,true
4,0,Solid,true
5,0,Solid,true
6,0,Solid,false
7,0,Solid,false
8,0,Solid,false
9,0,Solid,false
10,0,Solid,false
11,0,Solid,false
0,1,Air,true
1,1,Air,true
2,1,Air,true
3,1,Air,true
4,1,Air,true
5,1,Air,true
6,1,Air,false
7,1,Air,false
8,1,Air,false
9,1,Air,false
10,1,Air,false
11,1,Air,false
0,2,Air,true
1,2,Air,true
2,2,Air,true
3,2,Air,true
4,2,Air,true
5,2,Air,true
6,2,Air,false
7,2,Air,false
8,2,Air,false
9,2,Air,false
10,2,Air,false
11,2,Air,false
0,3,Air,false
1,3,Air,false
2,3,Air,false
3,3,Air,false
4,3,Air,false
5,3,Air,true
6,3,Air,false
7,3,Air,false
8,3,Air,false
9,3,Air,false
10,3,Air,false
11,3,Air,false
0,4,Air,false
1,4,Air,false
2,4,Air,false
3,4,Air,false
4,4,Air,false
5,4,Air,true
6,4,Air,false
7,4,Air,false
8,4,Air,false
9,4,Air,false
10,4,Air,false
11,4,Solid,false
0,5,Air,false
1,5,Solid,false
2,5,Air,false
3,5,Air,false
4,5,Air,false
5,5,Air,true
6,5,Air,false
7,5,Air,false
8,5,Solid,false
9,5,Air,false
10,5,Air,false
11,5,Air,false
0,6,Air,false
1,6,Solid,false
2,6,Air,false
3,6,Air,false
4,6,Air,false
5,6,Air,true
6,6,Air,false
7,6,Solid,false
8,6,Air,false
9,6,Air,false
10,6,Air,false
11,6,Air,false
0,7,Air,false
1,7,Air,false
2,7,Air,false
3,7,Air,false
4,7,Solid,false
5,7,Air,true
6,7,Air,false
7,7,Air,false
8,7,Air,false
9,7,Air,false
10,7,Air,false
11,7,Air,false
