AttemptNumber,Accepted,SlotX,SlotY,CandidateId,Transform,FinalCells16
1,false,0,0,"RMAP07_4DD6D5BB9D7D","R0","SSSSSSSASSAASAAA"
1,false,4,0,"RMAP07_56FB16683040","MirrorY","SSSSAAAAAAAAAAAA"
1,false,8,0,"RMAP07_6F5D1DF424AA","MirrorX","SSSSAAAAAAAAAAAA"
1,false,0,4,"RMAP07_26DF04E23AA9","R0","AAAAASAAASAAAAAA"
1,false,4,4,"RMAP07_0A655882772A","R0","AAAAAAAAAAASSAAA"
1,false,8,4,"RMAP07_27786F255580","R0","AAASSAAAAAAAAAAA"
2,false,0,0,"RMAP07_6F5D1DF424AA","R0","SSSSAAAAAAAAAAAA"
2,false,4,0,"RMAP07_56FB16683040","MirrorY","SSSSAAAAAAAAAAAA"
2,false,8,0,"RMAP07_6F5D1DF424AA","MirrorX","SSSSAAAAAAAAAAAA"
2,false,0,4,"RMAP07_26DF04E23AA9","R0","AAAAASAAASAAAAAA"
2,false,4,4,"RMAP07_56FB16683040","R0","AAAAAAAAAAAASSSS"
2,false,8,4,"RMAP07_27786F255580","R0","AAASSAAAAAAAAAAA"
3,true,0,0,"RMAP07_6F5D1DF424AA","R0","SSSSAAAAAAAAAAAA"
3,true,4,0,"RMAP07_56FB16683040","MirrorY","SSSSAAAAAAAAAAAA"
3,true,8,0,"RMAP07_6F5D1DF424AA","MirrorX","SSSSAAAAAAAAAAAA"
3,true,0,4,"RMAP07_26DF04E23AA9","R0","AAAAASAAASAAAAAA"
3,true,4,4,"RMAP07_0A655882772A","R0","AAAAAAAAAAASSAAA"
3,true,8,4,"RMAP07_27786F255580","R0","AAASSAAAAAAAAAAA"
