slot_index,pattern_x,pattern_y,candidate_id,mask_u16_hex,socket_signature,transform,selection_reason,attempt_count,main_path,branch_index,map21_02_presentation_family_link
0,0,0,VIS01_MP_50F0,0x50F0,NA-SF-W5-ED,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
1,1,0,VIS01_MP_4455,0x4455,NB-SA-WC-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
2,2,0,VIS01_MP_44FF,0x44FF,NB-S0-WC-EC,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
3,3,0,VIS01_MP_4710,0x4710,NB-SF-W9-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
4,4,0,VIS01_MP_4080,0x4080,NB-SF-WF-ED,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
5,5,0,VIS01_MP_4200,0x4200,NB-SF-WF-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
6,6,0,VIS01_MP_4300,0x4300,NB-SF-WB-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
7,7,0,VIS01_MP_4400,0x4400,NB-SF-WF-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
8,8,0,VIS01_MP_4762,0x4762,NB-SD-WB-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
9,9,0,VIS01_MP_40CF,0x40CF,NB-S0-WE-EC,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
10,10,0,VIS01_MP_4200,0x4200,NB-SF-WF-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
11,11,0,VIS01_MP_4340,0x4340,NB-SF-WB-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
12,12,0,VIS01_MP_3511,0x3511,NC-SE-W0-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
13,13,0,VIS01_MP_3607,0x3607,NC-S8-W6-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
14,14,0,VIS01_MP_3000,0x3000,NC-SF-W7-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
15,15,0,VIS01_MP_310B,0x310B,NC-S4-W2-EE,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
16,16,0,VIS01_MP_6000,0x6000,N9-SF-WF-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
17,17,0,VIS01_MP_6222,0x6222,N9-SD-WF-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
18,18,0,VIS01_MP_64EC,0x64EC,N9-S3-WF-EC,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
19,19,0,VIS01_MP_6604,0x6604,N9-SB-WF-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
20,20,0,VIS01_MP_6044,0x6044,N9-SB-WF-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
21,21,0,VIS01_MP_604D,0x604D,N9-S2-WE-EE,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
22,22,0,VIS01_MP_6222,0x6222,N9-SD-WF-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
23,23,0,VIS01_MP_54F0,0x54F0,NA-SF-W5-ED,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
24,24,0,VIS01_MP_546F,0x546F,NA-S0-W6-EE,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
25,25,0,VIS01_MP_5501,0x5501,NA-SE-W2-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
26,26,0,VIS01_MP_5105,0x5105,NA-SA-W2-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
27,27,0,VIS01_MP_50F0,0x50F0,NA-SF-W5-ED,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
28,28,0,VIS01_MP_5401,0x5401,NA-SE-W6-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
29,29,0,VIS01_MP_5520,0x5520,NA-SF-W3-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
30,30,0,VIS01_MP_5540,0x5540,NA-SF-W3-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
31,31,0,VIS01_MP_5105,0x5105,NA-SA-W2-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
32,32,0,VIS01_MP_1579,0x1579,NE-S6-W0-EE,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
33,33,0,VIS01_MP_15D0,0x15D0,NE-SF-W1-ED,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
34,34,0,VIS01_MP_171C,0x171C,NE-S3-W1-EE,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
35,35,0,VIS01_MP_1080,0x1080,NE-SF-W7-ED,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
36,36,0,VIS01_MP_1200,0x1200,NE-SF-W7-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
37,37,0,VIS01_MP_136E,0x136E,NE-S1-W3-EE,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,0,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
