edge_index,from_x,from_y,to_x,to_y,direction,main_path,branch_index,required_socket_bit
0,0,6,1,6,East,TRUE,0,1
1,1,6,2,6,East,TRUE,0,1
2,2,6,3,6,East,TRUE,0,1
3,3,6,4,6,East,TRUE,0,1
4,4,6,5,6,East,TRUE,0,1
5,5,6,6,6,East,TRUE,0,1
6,6,6,7,6,East,TRUE,0,1
7,7,6,8,6,East,TRUE,0,1
8,8,6,9,6,East,TRUE,0,1
9,9,6,10,6,East,TRUE,0,1
10,10,6,11,6,East,TRUE,0,1
11,11,6,12,6,East,TRUE,0,1
12,12,6,13,6,East,TRUE,0,1
13,13,6,14,6,East,TRUE,0,1
14,14,6,15,6,East,TRUE,0,1
15,15,6,16,6,East,TRUE,0,1
16,16,6,17,6,East,TRUE,0,1
17,17,6,18,6,East,TRUE,0,1
18,18,6,19,6,East,TRUE,0,1
19,19,6,20,6,East,TRUE,0,1
20,20,6,21,6,East,TRUE,0,1
21,21,6,22,6,East,TRUE,0,1
22,22,6,23,6,East,TRUE,0,1
23,23,6,24,6,East,TRUE,0,1
24,24,6,25,6,East,TRUE,0,1
25,25,6,26,6,East,TRUE,0,1
26,26,6,27,6,East,TRUE,0,1
27,27,6,28,6,East,TRUE,0,1
28,28,6,29,6,East,TRUE,0,1
29,29,6,30,6,East,TRUE,0,1
30,30,6,31,6,East,TRUE,0,1
31,31,6,32,6,East,TRUE,0,1
32,32,6,33,6,East,TRUE,0,1
33,33,6,34,6,East,TRUE,0,1
34,34,6,35,6,East,TRUE,0,1
35,35,6,36,6,East,TRUE,0,1
36,36,6,37,6,East,TRUE,0,1
37,37,6,38,6,East,TRUE,0,1
38,38,6,39,6,East,TRUE,0,1
39,5,6,5,7,North,FALSE,1,1
40,5,7,5,8,North,FALSE,1,1
41,5,8,5,9,North,FALSE,1,1
42,11,6,11,5,South,FALSE,2,1
43,11,5,11,4,South,FALSE,2,1
44,11,4,11,3,South,FALSE,2,1
45,18,6,18,7,North,FALSE,3,1
46,18,7,18,8,North,FALSE,3,1
47,18,8,18,9,North,FALSE,3,1
48,25,6,25,5,South,FALSE,4,1
49,25,5,25,4,South,FALSE,4,1
50,25,4,25,3,South,FALSE,4,1
51,32,6,32,7,North,FALSE,5,1
52,32,7,32,8,North,FALSE,5,1
53,32,8,32,9,North,FALSE,5,1
54,37,6,37,5,South,FALSE,6,1
55,37,5,37,4,South,FALSE,6,1
56,37,4,37,3,South,FALSE,6,1
