slot_index,pattern_x,pattern_y,room_id,connector_ids,route_ownership,candidate_id,mask_hex,socket_signature,transform,map21_02_family_link,selection_reason,attempt_count
0,0,0,OUTSIDE_QUIET,,FILLER_DETAIL,VIS01_MP_50F0,0x50F0,NA-SF-W5-ED,IDENTITY_NO_ROTATION,MAP21_02_READ_ONLY_PRESENTATION_FAMILY,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1
1,1,0,OUTSIDE_QUIET,,FILLER_DETAIL,VIS01_MP_4455,0x4455,NB-SA-WC-EF,IDENTITY_NO_ROTATION,MAP21_02_READ_ONLY_PRESENTATION_FAMILY,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1
2,2,0,OUTSIDE_QUIET,,FILLER_DETAIL,VIS01_MP_44FF,0x44FF,NB-S0-WC-EC,IDENTITY_NO_ROTATION,MAP21_02_READ_ONLY_PRESENTATION_FAMILY,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1
3,3,0,OUTSIDE_QUIET,,FILLER_DETAIL,VIS01_MP_4710,0x4710,NB-SF-W9-EF,IDENTITY_NO_ROTATION,MAP21_02_READ_ONLY_PRESENTATION_FAMILY,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1
4,4,0,OUTSIDE_QUIET,,FILLER_DETAIL,VIS01_MP_4080,0x4080,NB-SF-WF-ED,IDENTITY_NO_ROTATION,MAP21_02_READ_ONLY_PRESENTATION_FAMILY,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1
5,5,0,OUTSIDE_QUIET,,FILLER_DETAIL,VIS01_MP_4200,0x4200,NB-SF-WF-EF,IDENTITY_NO_ROTATION,MAP21_02_READ_ONLY_PRESENTATION_FAMILY,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1
6,6,0,OUTSIDE_QUIET,,FILLER_DETAIL,VIS01_MP_4300,0x4300,NB-SF-WB-EF,IDENTITY_NO_ROTATION,MAP21_02_READ_ONLY_PRESENTATION_FAMILY,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1
7,7,0,OUTSIDE_QUIET,,FILLER_DETAIL,VIS01_MP_4400,0x4400,NB-SF-WF-EF,IDENTITY_NO_ROTATION,MAP21_02_READ_ONLY_PRESENTATION_FAMILY,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1
8,8,0,OUTSIDE_QUIET,,FILLER_DETAIL,VIS01_MP_4762,0x4762,NB-SD-WB-EF,IDENTITY_NO_ROTATION,MAP21_02_READ_ONLY_PRESENTATION_FAMILY,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1
9,9,0,OUTSIDE_QUIET,,FILLER_DETAIL,VIS01_MP_40CF,0x40CF,NB-S0-WE-EC,IDENTITY_NO_ROTATION,MAP21_02_READ_ONLY_PRESENTATION_FAMILY,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1
