route_ownership,owner_id,from_pattern_slot,to_pattern_slot,direction
BRANCH,B01_LOWER_BRANCH,25:3,25:2,South
BRANCH,B01_LOWER_BRANCH,25:4,25:3,South
BRANCH,B01_LOWER_BRANCH,25:5,25:4,South
BRANCH,B01_LOWER_BRANCH,25:6,25:5,South
BRANCH,B01_LOWER_BRANCH,25:7,25:6,South
BRANCH,B01_LOWER_BRANCH,21:8,22:8,East
BRANCH,B01_LOWER_BRANCH,22:8,23:8,East
BRANCH,B01_LOWER_BRANCH,23:8,24:8,East
BRANCH,B01_LOWER_BRANCH,24:8,25:8,East
BRANCH,B01_LOWER_BRANCH,25:8,25:7,South
BRANCH,B02_LOWER_BRANCH,55:13,55:12,South
BRANCH,B02_LOWER_BRANCH,55:14,55:13,South
BRANCH,B02_LOWER_BRANCH,55:15,55:14,South
BRANCH,B02_LOWER_BRANCH,55:16,55:15,South
BRANCH,B02_LOWER_BRANCH,55:17,55:16,South
BRANCH,B02_LOWER_BRANCH,55:18,55:17,South
BRANCH,B02_LOWER_BRANCH,55:19,55:18,South
MAIN,MAIN,20:8,21:8,East
MAIN,MAIN,21:8,21:9,North
MAIN,MAIN,20:9,20:8,South
MAIN,MAIN,21:9,21:10,North
MAIN,MAIN,20:10,20:9,South
MAIN,MAIN,21:10,21:11,North
MAIN,MAIN,2:11,3:11,East
MAIN,MAIN,3:11,4:11,East
MAIN,MAIN,4:11,5:11,East
MAIN,MAIN,5:11,6:11,East
MAIN,MAIN,6:11,7:11,East
MAIN,MAIN,7:11,8:11,East
MAIN,MAIN,8:11,9:11,East
MAIN,MAIN,9:11,10:11,East
MAIN,MAIN,10:11,11:11,East
MAIN,MAIN,11:11,12:11,East
MAIN,MAIN,12:11,13:11,East
MAIN,MAIN,13:11,14:11,East
MAIN,MAIN,14:11,15:11,East
MAIN,MAIN,15:11,16:11,East
MAIN,MAIN,16:11,17:11,East
MAIN,MAIN,17:11,18:11,East
MAIN,MAIN,18:11,19:11,East
MAIN,MAIN,19:11,20:11,East
MAIN,MAIN,20:11,20:10,South
MAIN,MAIN,21:11,21:12,North
MAIN,MAIN,61:11,62:11,East
MAIN,MAIN,62:11,63:11,East
MAIN,MAIN,63:11,64:11,East
MAIN,MAIN,64:11,65:11,East
