room_id,role,tile_min_x,tile_min_y,tile_width,tile_height,center_x,center_y,orthographic_size
B01_LOWER_BRANCH,Branch,84,0,40,32,104,16,22
B02_LOWER_BRANCH,Branch,204,32,40,32,224,48,22
R01_START,Start,0,32,44,32,22,48,24
R02_TRANSIT,Transit,44,32,40,32,64,48,22
R03_VERTICAL_ASCENT,Vertical,84,32,40,48,104,56,26
R04_SPLIT_GALLERY,Split,124,64,40,32,144,80,22
R05_TRANSIT,Transit,164,64,40,32,184,80,22
R06_SPLIT_GALLERY,Split,204,64,40,32,224,80,22
R07_VERTICAL_DESCENT,Vertical,244,32,40,40,264,52,22
R08_EXIT,Exit,284,32,36,32,302,48,20
