step,tile_x,tile_y,room_id,route_ownership,is_start,is_exit
0,9,45,R01_START,MAIN,TRUE,FALSE
1,10,45,R01_START,MAIN,FALSE,FALSE
2,11,45,R01_START,MAIN,FALSE,FALSE
3,12,45,R01_START,MAIN,FALSE,FALSE
4,13,45,R01_START,MAIN,FALSE,FALSE
5,14,45,R01_START,MAIN,FALSE,FALSE
6,15,45,R01_START,MAIN,FALSE,FALSE
7,16,45,R01_START,MAIN,FALSE,FALSE
8,17,45,R01_START,MAIN,FALSE,FALSE
9,18,45,R01_START,MAIN,FALSE,FALSE
10,19,45,R01_START,MAIN,FALSE,FALSE
11,20,45,R01_START,MAIN,FALSE,FALSE
12,21,45,R01_START,MAIN,FALSE,FALSE
13,22,45,R01_START,MAIN,FALSE,FALSE
14,23,45,R01_START,MAIN,FALSE,FALSE
15,24,45,R01_START,MAIN,FALSE,FALSE
16,25,45,R01_START,MAIN,FALSE,FALSE
17,26,45,R01_START,MAIN,FALSE,FALSE
18,27,45,R01_START,MAIN,FALSE,FALSE
19,28,45,R01_START,MAIN,FALSE,FALSE
20,29,45,R01_START,MAIN,FALSE,FALSE
21,29,44,R01_START,MAIN,FALSE,FALSE
22,30,44,R01_START,MAIN,FALSE,FALSE
23,31,44,R01_START,MAIN,FALSE,FALSE
24,32,44,R01_START,MAIN,FALSE,FALSE
25,33,44,R01_START,MAIN,FALSE,FALSE
26,34,44,R01_START,MAIN,FALSE,FALSE
27,35,44,R01_START,MAIN,FALSE,FALSE
28,35,45,R01_START,MAIN,FALSE,FALSE
29,36,45,R01_START,MAIN,FALSE,FALSE
30,37,45,R01_START,MAIN,FALSE,FALSE
31,38,45,R01_START,MAIN,FALSE,FALSE
32,39,45,R01_START,MAIN,FALSE,FALSE
33,40,45,R01_START,MAIN,FALSE,FALSE
34,41,45,R01_START,MAIN,FALSE,FALSE
35,42,45,R01_START,MAIN,FALSE,FALSE
36,43,45,R01_START,MAIN,FALSE,FALSE
37,44,45,R02_TRANSIT,MAIN,FALSE,FALSE
38,45,45,R02_TRANSIT,MAIN,FALSE,FALSE
39,46,45,R02_TRANSIT,MAIN,FALSE,FALSE
40,47,45,R02_TRANSIT,MAIN,FALSE,FALSE
41,48,45,R02_TRANSIT,MAIN,FALSE,FALSE
42,49,45,R02_TRANSIT,MAIN,FALSE,FALSE
43,50,45,R02_TRANSIT,MAIN,FALSE,FALSE
44,51,45,R02_TRANSIT,MAIN,FALSE,FALSE
45,52,45,R02_TRANSIT,MAIN,FALSE,FALSE
46,53,45,R02_TRANSIT,MAIN,FALSE,FALSE
47,54,45,R02_TRANSIT,MAIN,FALSE,FALSE
48,55,45,R02_TRANSIT,MAIN,FALSE,FALSE
49,56,45,R02_TRANSIT,MAIN,FALSE,FALSE
50,57,45,R02_TRANSIT,MAIN,FALSE,FALSE
51,58,45,R02_TRANSIT,MAIN,FALSE,FALSE
52,59,45,R02_TRANSIT,MAIN,FALSE,FALSE
53,60,45,R02_TRANSIT,MAIN,FALSE,FALSE
54,61,45,R02_TRANSIT,MAIN,FALSE,FALSE
55,62,45,R02_TRANSIT,MAIN,FALSE,FALSE
56,63,45,R02_TRANSIT,MAIN,FALSE,FALSE
57,64,45,R02_TRANSIT,MAIN,FALSE,FALSE
58,65,45,R02_TRANSIT,MAIN,FALSE,FALSE
59,66,45,R02_TRANSIT,MAIN,FALSE,FALSE
60,67,45,R02_TRANSIT,MAIN,FALSE,FALSE
61,68,45,R02_TRANSIT,MAIN,FALSE,FALSE
62,69,45,R02_TRANSIT,MAIN,FALSE,FALSE
63,70,45,R02_TRANSIT,MAIN,FALSE,FALSE
64,71,45,R02_TRANSIT,MAIN,FALSE,FALSE
65,72,45,R02_TRANSIT,MAIN,FALSE,FALSE
66,73,45,R02_TRANSIT,MAIN,FALSE,FALSE
67,74,45,R02_TRANSIT,MAIN,FALSE,FALSE
68,75,45,R02_TRANSIT,MAIN,FALSE,FALSE
69,76,45,R02_TRANSIT,MAIN,FALSE,FALSE
70,77,45,R02_TRANSIT,MAIN,FALSE,FALSE
71,78,45,R02_TRANSIT,MAIN,FALSE,FALSE
72,79,45,R02_TRANSIT,MAIN,FALSE,FALSE
73,80,45,R02_TRANSIT,MAIN,FALSE,FALSE
74,81,45,R02_TRANSIT,MAIN,FALSE,FALSE
75,82,45,R02_TRANSIT,MAIN,FALSE,FALSE
76,83,45,R02_TRANSIT,MAIN,FALSE,FALSE
77,84,45,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
78,85,45,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
79,85,46,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
80,85,47,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
81,85,48,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
82,85,49,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
83,85,50,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
84,85,51,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
85,85,52,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
86,85,53,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
87,85,54,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
88,85,55,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
89,85,56,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
90,85,57,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
91,85,58,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
92,85,59,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
93,85,60,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
94,85,61,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
95,85,62,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
96,85,63,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
97,85,64,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
98,85,65,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
99,85,66,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
100,85,67,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
101,85,68,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
102,85,69,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
103,86,69,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
104,87,69,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
105,87,70,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
106,87,71,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
107,87,72,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
108,88,72,R03_VERTICAL_ASCENT,FILLER_DETAIL,FALSE,FALSE
109,89,72,R03_VERTICAL_ASCENT,FILLER_DETAIL,FALSE,FALSE
110,90,72,R03_VERTICAL_ASCENT,FILLER_DETAIL,FALSE,FALSE
111,91,72,R03_VERTICAL_ASCENT,FILLER_DETAIL,FALSE,FALSE
112,92,72,R03_VERTICAL_ASCENT,FILLER_DETAIL,FALSE,FALSE
113,92,73,R03_VERTICAL_ASCENT,FILLER_DETAIL,FALSE,FALSE
114,92,74,R03_VERTICAL_ASCENT,FILLER_DETAIL,FALSE,FALSE
115,92,75,R03_VERTICAL_ASCENT,FILLER_DETAIL,FALSE,FALSE
116,92,76,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
117,93,76,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
118,94,76,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
119,95,76,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
120,96,76,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
121,97,76,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
122,98,76,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
123,99,76,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
124,99,77,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
125,100,77,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
126,101,77,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
127,102,77,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
128,103,77,R03_VERTICAL_ASCENT,MAIN,FALSE,FALSE
