connector_id,from_room_id,to_room_id,from_slot,to_slot,from_gate_tile,to_gate_tile,direction,kind,required_socket,is_reciprocal,is_open
C01,R01_START,R02_WIDE,10:11,11:11,43:45,44:45,East,main,1,TRUE,TRUE
C02,R02_WIDE,R03_WIDE,21:11,22:11,87:45,88:45,East,main,1,TRUE,TRUE
C03,R03_WIDE,R04_WIDE,32:11,33:11,131:45,132:45,East,main,1,TRUE,TRUE
C04,R04_WIDE,R05_WIDE,43:11,44:11,175:45,176:45,East,main,1,TRUE,TRUE
C05,R05_WIDE,R06_WIDE,54:11,55:11,219:45,220:45,East,main,1,TRUE,TRUE
C06,R06_WIDE,R07_WIDE,65:11,66:11,263:45,264:45,East,main,1,TRUE,TRUE
C07,R07_WIDE,R08_WIDE,76:11,77:11,307:45,308:45,East,main,1,TRUE,TRUE
C08,R08_WIDE,R09_EXIT,87:11,88:11,351:45,352:45,East,main,1,TRUE,TRUE
C10,R03_WIDE,B01_NORTH,26:8,26:7,105:32,105:31,South,branch,1,TRUE,TRUE
C11,R05_WIDE,B02_SOUTH,49:15,49:16,197:63,197:64,North,branch,1,TRUE,TRUE
C12,R07_WIDE,B03_NORTH,71:8,71:7,285:32,285:31,South,branch,1,TRUE,TRUE
