slot_index,pattern_x,pattern_y,room_id,route_ownership,candidate_id,mask_hex,socket_signature,transform,attempt_count
0,0,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_70D0,0x70D0,N8-SF-W5-ED,IDENTITY_NO_ROTATION,1
1,1,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_7117,0x7117,N8-S8-W0-EF,IDENTITY_NO_ROTATION,1
2,2,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_7599,0x7599,N8-S6-W0-EC,IDENTITY_NO_ROTATION,1
3,3,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_720F,0x720F,N8-S0-W6-EE,IDENTITY_NO_ROTATION,1
4,4,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_768C,0x768C,N8-S3-W7-EC,IDENTITY_NO_ROTATION,1
5,5,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_7737,0x7737,N8-S8-W0-EF,IDENTITY_NO_ROTATION,1
6,6,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_720F,0x720F,N8-S0-W6-EE,IDENTITY_NO_ROTATION,1
7,7,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_70D0,0x70D0,N8-SF-W5-ED,IDENTITY_NO_ROTATION,1
8,8,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_4400,0x4400,NB-SF-WF-EF,IDENTITY_NO_ROTATION,1
9,9,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_4200,0x4200,NB-SF-WF-EF,IDENTITY_NO_ROTATION,1
10,10,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_411D,0x411D,NB-S2-W8-EE,IDENTITY_NO_ROTATION,1
11,11,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_47C0,0x47C0,NB-SF-WB-ED,IDENTITY_NO_ROTATION,1
12,12,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_4200,0x4200,NB-SF-WF-EF,IDENTITY_NO_ROTATION,1
13,13,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_408C,0x408C,NB-S3-WF-EC,IDENTITY_NO_ROTATION,1
14,14,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_47C0,0x47C0,NB-SF-WB-ED,IDENTITY_NO_ROTATION,1
15,15,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_4455,0x4455,NB-SA-WC-EF,IDENTITY_NO_ROTATION,1
16,16,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_62AF,0x62AF,N9-S0-WE-EC,IDENTITY_NO_ROTATION,1
17,17,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_6020,0x6020,N9-SF-WF-EF,IDENTITY_NO_ROTATION,1
18,18,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_64EC,0x64EC,N9-S3-WF-EC,IDENTITY_NO_ROTATION,1
19,19,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_6448,0x6448,N9-S7-WF-EE,IDENTITY_NO_ROTATION,1
20,20,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_19C8,0x19C8,NE-S7-W3-E8,IDENTITY_NO_ROTATION,1
21,21,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_6647,0x6647,N9-S8-WE-EF,IDENTITY_NO_ROTATION,1
22,22,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_1A08,0x1A08,NE-S7-W7-EA,IDENTITY_NO_ROTATION,1
23,23,0,OUTSIDE_QUIET,FILLER_DETAIL,VIS01_MP_1B22,0x1B22,NE-SD-W3-EB,IDENTITY_NO_ROTATION,1
