step,tile_x,tile_y,room_id,route_ownership,is_start,is_exit
0,9,45,R01_START,MAIN,TRUE,FALSE
1,10,45,R01_START,MAIN,FALSE,FALSE
2,11,45,R01_START,MAIN,FALSE,FALSE
3,12,45,R01_START,MAIN,FALSE,FALSE
4,13,45,R01_START,MAIN,FALSE,FALSE
5,14,45,R01_START,MAIN,FALSE,FALSE
6,15,45,R01_START,MAIN,FALSE,FALSE
7,16,45,R01_START,MAIN,FALSE,FALSE
8,17,45,R01_START,MAIN,FALSE,FALSE
9,18,45,R01_START,MAIN,FALSE,FALSE
10,19,45,R01_START,MAIN,FALSE,FALSE
11,20,45,R01_START,MAIN,FALSE,FALSE
12,21,45,R01_START,MAIN,FALSE,FALSE
13,22,45,R01_START,MAIN,FALSE,FALSE
14,23,45,R01_START,MAIN,FALSE,FALSE
15,24,45,R01_START,MAIN,FALSE,FALSE
16,25,45,R01_START,MAIN,FALSE,FALSE
17,26,45,R01_START,MAIN,FALSE,FALSE
18,27,45,R01_START,MAIN,FALSE,FALSE
19,28,45,R01_START,MAIN,FALSE,FALSE
20,29,45,R01_START,MAIN,FALSE,FALSE
21,30,45,R01_START,MAIN,FALSE,FALSE
22,31,45,R01_START,MAIN,FALSE,FALSE
23,32,45,R01_START,MAIN,FALSE,FALSE
24,33,45,R01_START,MAIN,FALSE,FALSE
25,34,45,R01_START,MAIN,FALSE,FALSE
26,35,45,R01_START,MAIN,FALSE,FALSE
27,36,45,R01_START,MAIN,FALSE,FALSE
28,37,45,R01_START,MAIN,FALSE,FALSE
29,37,46,R01_START,MAIN,FALSE,FALSE
30,38,46,R01_START,MAIN,FALSE,FALSE
31,39,46,R01_START,MAIN,FALSE,FALSE
32,40,46,R01_START,MAIN,FALSE,FALSE
33,40,45,R01_START,MAIN,FALSE,FALSE
34,41,45,R01_START,MAIN,FALSE,FALSE
35,41,44,R01_START,MAIN,FALSE,FALSE
36,42,44,R01_START,MAIN,FALSE,FALSE
37,43,44,R01_START,MAIN,FALSE,FALSE
38,44,44,R02_WIDE,MAIN,FALSE,FALSE
39,45,44,R02_WIDE,MAIN,FALSE,FALSE
40,46,44,R02_WIDE,MAIN,FALSE,FALSE
41,47,44,R02_WIDE,MAIN,FALSE,FALSE
42,48,44,R02_WIDE,MAIN,FALSE,FALSE
43,48,45,R02_WIDE,MAIN,FALSE,FALSE
44,49,45,R02_WIDE,MAIN,FALSE,FALSE
45,50,45,R02_WIDE,MAIN,FALSE,FALSE
46,51,45,R02_WIDE,MAIN,FALSE,FALSE
47,52,45,R02_WIDE,MAIN,FALSE,FALSE
48,53,45,R02_WIDE,MAIN,FALSE,FALSE
49,53,44,R02_WIDE,MAIN,FALSE,FALSE
50,54,44,R02_WIDE,MAIN,FALSE,FALSE
51,55,44,R02_WIDE,MAIN,FALSE,FALSE
52,56,44,R02_WIDE,MAIN,FALSE,FALSE
53,57,44,R02_WIDE,MAIN,FALSE,FALSE
54,58,44,R02_WIDE,MAIN,FALSE,FALSE
55,59,44,R02_WIDE,MAIN,FALSE,FALSE
56,60,44,R02_WIDE,MAIN,FALSE,FALSE
57,61,44,R02_WIDE,MAIN,FALSE,FALSE
58,62,44,R02_WIDE,MAIN,FALSE,FALSE
59,63,44,R02_WIDE,MAIN,FALSE,FALSE
60,63,45,R02_WIDE,MAIN,FALSE,FALSE
61,64,45,R02_WIDE,MAIN,FALSE,FALSE
62,65,45,R02_WIDE,MAIN,FALSE,FALSE
63,66,45,R02_WIDE,MAIN,FALSE,FALSE
64,67,45,R02_WIDE,MAIN,FALSE,FALSE
65,68,45,R02_WIDE,MAIN,FALSE,FALSE
66,69,45,R02_WIDE,MAIN,FALSE,FALSE
67,70,45,R02_WIDE,MAIN,FALSE,FALSE
68,71,45,R02_WIDE,MAIN,FALSE,FALSE
69,72,45,R02_WIDE,MAIN,FALSE,FALSE
70,73,45,R02_WIDE,MAIN,FALSE,FALSE
71,74,45,R02_WIDE,MAIN,FALSE,FALSE
72,75,45,R02_WIDE,MAIN,FALSE,FALSE
73,76,45,R02_WIDE,MAIN,FALSE,FALSE
74,77,45,R02_WIDE,MAIN,FALSE,FALSE
75,77,44,R02_WIDE,MAIN,FALSE,FALSE
76,78,44,R02_WIDE,MAIN,FALSE,FALSE
77,79,44,R02_WIDE,MAIN,FALSE,FALSE
78,80,44,R02_WIDE,MAIN,FALSE,FALSE
79,81,44,R02_WIDE,MAIN,FALSE,FALSE
80,81,45,R02_WIDE,MAIN,FALSE,FALSE
81,82,45,R02_WIDE,MAIN,FALSE,FALSE
82,83,45,R02_WIDE,MAIN,FALSE,FALSE
83,84,45,R02_WIDE,MAIN,FALSE,FALSE
84,85,45,R02_WIDE,MAIN,FALSE,FALSE
85,86,45,R02_WIDE,MAIN,FALSE,FALSE
86,87,45,R02_WIDE,MAIN,FALSE,FALSE
87,88,45,R03_WIDE,MAIN,FALSE,FALSE
88,89,45,R03_WIDE,MAIN,FALSE,FALSE
89,90,45,R03_WIDE,MAIN,FALSE,FALSE
90,91,45,R03_WIDE,MAIN,FALSE,FALSE
91,92,45,R03_WIDE,MAIN,FALSE,FALSE
92,93,45,R03_WIDE,MAIN,FALSE,FALSE
93,94,45,R03_WIDE,MAIN,FALSE,FALSE
94,95,45,R03_WIDE,MAIN,FALSE,FALSE
95,96,45,R03_WIDE,MAIN,FALSE,FALSE
96,97,45,R03_WIDE,MAIN,FALSE,FALSE
97,98,45,R03_WIDE,MAIN,FALSE,FALSE
98,99,45,R03_WIDE,MAIN,FALSE,FALSE
99,100,45,R03_WIDE,MAIN,FALSE,FALSE
100,101,45,R03_WIDE,MAIN,FALSE,FALSE
101,102,45,R03_WIDE,MAIN,FALSE,FALSE
102,103,45,R03_WIDE,MAIN,FALSE,FALSE
103,104,45,R03_WIDE,BRANCH,FALSE,FALSE
104,105,45,R03_WIDE,BRANCH,FALSE,FALSE
105,106,45,R03_WIDE,BRANCH,FALSE,FALSE
106,107,45,R03_WIDE,BRANCH,FALSE,FALSE
107,108,45,R03_WIDE,MAIN,FALSE,FALSE
108,109,45,R03_WIDE,MAIN,FALSE,FALSE
109,110,45,R03_WIDE,MAIN,FALSE,FALSE
110,111,45,R03_WIDE,MAIN,FALSE,FALSE
111,112,45,R03_WIDE,MAIN,FALSE,FALSE
112,113,45,R03_WIDE,MAIN,FALSE,FALSE
113,114,45,R03_WIDE,MAIN,FALSE,FALSE
114,115,45,R03_WIDE,MAIN,FALSE,FALSE
115,116,45,R03_WIDE,MAIN,FALSE,FALSE
116,117,45,R03_WIDE,MAIN,FALSE,FALSE
117,118,45,R03_WIDE,MAIN,FALSE,FALSE
118,119,45,R03_WIDE,MAIN,FALSE,FALSE
119,120,45,R03_WIDE,MAIN,FALSE,FALSE
120,121,45,R03_WIDE,MAIN,FALSE,FALSE
121,122,45,R03_WIDE,MAIN,FALSE,FALSE
122,123,45,R03_WIDE,MAIN,FALSE,FALSE
123,124,45,R03_WIDE,MAIN,FALSE,FALSE
124,125,45,R03_WIDE,MAIN,FALSE,FALSE
125,126,45,R03_WIDE,MAIN,FALSE,FALSE
126,127,45,R03_WIDE,MAIN,FALSE,FALSE
127,128,45,R03_WIDE,MAIN,FALSE,FALSE
128,129,45,R03_WIDE,MAIN,FALSE,FALSE
129,130,45,R03_WIDE,MAIN,FALSE,FALSE
130,131,45,R03_WIDE,MAIN,FALSE,FALSE
131,132,45,R04_WIDE,MAIN,FALSE,FALSE
132,133,45,R04_WIDE,MAIN,FALSE,FALSE
133,134,45,R04_WIDE,MAIN,FALSE,FALSE
134,135,45,R04_WIDE,MAIN,FALSE,FALSE
135,136,45,R04_WIDE,MAIN,FALSE,FALSE
136,137,45,R04_WIDE,MAIN,FALSE,FALSE
137,138,45,R04_WIDE,MAIN,FALSE,FALSE
138,139,45,R04_WIDE,MAIN,FALSE,FALSE
139,140,45,R04_WIDE,MAIN,FALSE,FALSE
140,141,45,R04_WIDE,MAIN,FALSE,FALSE
141,142,45,R04_WIDE,MAIN,FALSE,FALSE
142,143,45,R04_WIDE,MAIN,FALSE,FALSE
143,144,45,R04_WIDE,SPLIT_REJOIN,FALSE,FALSE
144,145,45,R04_WIDE,SPLIT_REJOIN,FALSE,FALSE
145,146,45,R04_WIDE,SPLIT_REJOIN,FALSE,FALSE
146,147,45,R04_WIDE,SPLIT_REJOIN,FALSE,FALSE
