gallery,status,index,recipe_id,seed,primary_rule,is_run07_recommended
AcceptedGallery,ACCEPTED,0,TALL_LOOP_RUN,1924737067,ROUTE_TOO_STRAIGHT,TRUE
AcceptedGallery,ACCEPTED,1,COMPACT_SPLIT_RUN,1924737067,ROUTE_TOO_STRAIGHT,FALSE
AcceptedGallery,ACCEPTED,2,COMPACT_SPLIT_RUN,1924737068,ROUTE_TOO_STRAIGHT,FALSE
AcceptedGallery,ACCEPTED,3,COMPACT_SPLIT_RUN,1924737069,ROUTE_TOO_STRAIGHT,FALSE
AcceptedGallery,ACCEPTED,4,COMPACT_SPLIT_RUN,1924737070,ROUTE_TOO_STRAIGHT,FALSE
AcceptedGallery,ACCEPTED,5,COMPACT_SPLIT_RUN,1924737071,ROUTE_TOO_STRAIGHT,FALSE
AcceptedGallery,ACCEPTED,6,COMPACT_SPLIT_RUN,1924737072,ROUTE_TOO_STRAIGHT,FALSE
AcceptedGallery,ACCEPTED,7,COMPACT_SPLIT_RUN,1924737073,ROUTE_TOO_STRAIGHT,FALSE
AcceptedGallery,ACCEPTED,8,COMPACT_SPLIT_RUN,1924737074,ROUTE_TOO_STRAIGHT,FALSE
RejectedGallery,REJECTED,0,WIDE_BRANCH_RUN,1924737067,ROUTE_TOO_STRAIGHT,FALSE
RejectedGallery,REJECTED,1,WIDE_BRANCH_RUN,1924737068,ROUTE_TOO_STRAIGHT,FALSE
RejectedGallery,REJECTED,2,WIDE_BRANCH_RUN,1924737069,ROUTE_TOO_STRAIGHT,FALSE
RejectedGallery,REJECTED,3,WIDE_BRANCH_RUN,1924737070,ROUTE_TOO_STRAIGHT,FALSE
RejectedGallery,REJECTED,4,WIDE_BRANCH_RUN,1924737071,ROUTE_TOO_STRAIGHT,FALSE
RejectedGallery,REJECTED,5,WIDE_BRANCH_RUN,1924737072,ROUTE_TOO_STRAIGHT,FALSE
