chunk_id,chunk_index,chunk_x,chunk_y,candidate_ids,pattern_local_positions,entry_sockets,exit_sockets,connectivity_summary,required_path_cells,recovery_path_cells,protected_cells,marker_slots,composition_attempt_count,reachable,failure_owner,fallback_carve_count,silent_auto_repair_count,chunk_digest
VIS01_CHUNK_00,0,0,0,VIS01_MP_0024;VIS01_MP_0801;VIS01_MP_0D80;VIS01_MP_8010;VIS01_MP_DD00;VIS01_MP_8400,0:0;1:0;2:0;0:1;1:1;2:1,0:3;0:4;5:0,11:3;11:4;5:7,open=78;components=1;largest=78,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;5:4;5:5;5:6;5:7,0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4;5:5;5:6;5:7,4:5;4:1,1,true,,0,0,0918ff3113d1a9c7fe95d7fc8f9654aadef62ab9ba1cc831c7f1a7ffb241ca08
VIS01_CHUNK_01,1,1,0,VIS01_MP_0060;VIS01_MP_0C00;VIS01_MP_0011;VIS01_MP_15D0;VIS01_MP_0090;VIS01_MP_0000,0:0;1:0;2:0;0:1;1:1;2:1,0:3;0:4;5:0,11:3;11:4;5:7,open=82;components=1;largest=82,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;5:4;5:5;5:6;5:7,0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4;5:5;5:6;5:7,1:0;6:7,1,true,,0,0,8814ba2b7e781cca60be74c706d7d78c2d63f184e7ed0218f3cc6e64fb96ae06
VIS01_CHUNK_02,2,2,0,VIS01_MP_0022;VIS01_MP_0840;VIS01_MP_0480;VIS01_MP_3380;VIS01_MP_0090;VIS01_MP_0120,0:0;1:0;2:0;0:1;1:1;2:1,0:3;0:4;5:0,11:3;11:4;5:7,open=81;components=1;largest=81,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;5:4;5:5;5:6;5:7,0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4;5:5;5:6;5:7,2:2;11:5,1,true,,0,0,e74068f94fc2fd09eed7d42141acd0d7e2580275c78b55eaf34e353b935aef23
VIS01_CHUNK_03,3,3,0,VIS01_MP_0990;VIS01_MP_0480;VIS01_MP_0D01;VIS01_MP_F300;VIS01_MP_C000;VIS01_MP_6020,0:0;1:0;2:0;0:1;1:1;2:1,0:3;0:4;5:0,11:3;11:4;5:7,open=75;components=1;largest=75,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;5:4;5:5;5:6;5:7,0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4;5:5;5:6;5:7,9:6;9:1,1,true,,0,0,5f114619cebf7f41422fe60f870b996b8eb075df2cdfdde4d85c91a12020d1d7
VIS01_CHUNK_04,4,0,1,VIS01_MP_0802;VIS01_MP_0404;VIS01_MP_0648;VIS01_MP_6020;VIS01_MP_5540;VIS01_MP_0070,0:0;1:0;2:0;0:1;1:1;2:1,0:3;0:4;5:0,11:3;11:4;5:7,open=77;components=1;largest=77,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;5:4;5:5;5:6;5:7,0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4;5:5;5:6;5:7,1:1;1:6,1,true,,0,0,3cb8c55b5caa7055d58d33e059d2ee16b99bf2c979cd73aa3d174a309d3cc42f
VIS01_CHUNK_05,5,1,1,VIS01_MP_0005;VIS01_MP_0090;VIS01_MP_0540;VIS01_MP_9200;VIS01_MP_0810;VIS01_MP_CEC0,0:0;1:0;2:0;0:1;1:1;2:1,0:3;0:4;5:0,11:3;11:4;5:7,open=77;components=1;largest=77,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;5:4;5:5;5:6;5:7,0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4;5:5;5:6;5:7,1:0;7:7,1,true,,0,0,ec5f40854331b215ce61970b6ce81695365998bb00225fad21acef74fc0300ba
VIS01_CHUNK_06,6,2,1,VIS01_MP_0CE8;VIS01_MP_04C0;VIS01_MP_0B88;VIS01_MP_E8E0;VIS01_MP_0180;VIS01_MP_4200,0:0;1:0;2:0;0:1;1:1;2:1,0:3;0:4;5:0,11:3;11:4;5:7,open=71;components=1;largest=71,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;5:4;5:5;5:6;5:7,0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4;5:5;5:6;5:7,9:0;9:5,1,true,,0,0,6e9b0c8cf257cb0a7f0457080152793eed11cc69088d3fbddbefae9d8859512a
VIS01_CHUNK_07,7,3,1,VIS01_MP_0280;VIS01_MP_04C1;VIS01_MP_0CD8;VIS01_MP_AAA0;VIS01_MP_0440;VIS01_MP_5540,0:0;1:0;2:0;0:1;1:1;2:1,0:3;0:4;5:0,11:3;11:4;5:7,open=71;components=1;largest=71,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;5:4;5:5;5:6;5:7,0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4;5:5;5:6;5:7,11:6;2:2,1,true,,0,0,897cd80006e74ad38d0760e783dcea9a07ecedf3517d639d9bf8e0d10baedd2d
VIS01_CHUNK_08,8,0,2,VIS01_MP_0202;VIS01_MP_0D01;VIS01_MP_0108;VIS01_MP_1080;VIS01_MP_0000;VIS01_MP_2400,0:0;1:0;2:0;0:1;1:1;2:1,0:3;0:4;5:0,11:3;11:4;5:7,open=84;components=1;largest=84,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;5:4;5:5;5:6;5:7,0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4;5:5;5:6;5:7,2:7;4:6,1,true,,0,0,ea614e2b4b55e01fb88318c1134d6f8099f1650422bd3f1906221052dfd114cc
VIS01_CHUNK_09,9,1,2,VIS01_MP_0500;VIS01_MP_0D80;VIS01_MP_0003;VIS01_MP_0540;VIS01_MP_8010;VIS01_MP_B130,0:0;1:0;2:0;0:1;1:1;2:1,0:3;0:4;5:0,11:3;11:4;5:7,open=77;components=1;largest=77,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;5:4;5:5;5:6;5:7,0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4,5:0;5:1;5:2;0:3;1:3;2:3;3:3;4:3;5:3;6:3;7:3;8:3;9:3;10:3;11:3;0:4;1:4;2:4;3:4;4:4;5:4;6:4;7:4;8:4;9:4;10:4;11:4;5:5;5:6;5:7,10:0;10:7,1,true,,0,0,9c4d5ee1a500984fb17580f770cde2640a4f1d287385aead9803589eda75e4a2
