rank,candidate_id,mask_u16_hex,open_count,solid_count,density,largest_open_component,open_component_count,north_socket_bits,south_socket_bits,west_socket_bits,east_socket_bits,floor_support_bits,ceiling_gap_bits,left_wall_bits,right_wall_bits,silhouette_signature,socket_signature,mirror_family_signature,density_bucket,edge_socket_bucket,support_affordance_class,hazard_detail_eligibility,role_tags,chunk_path_allowed,score
1,VIS01_MP_0000,0x0000,16,0,0.0000,16,1,0xF,0xF,0xF,0xF,0xF,0xF,0x0,0x0,R0000-C0000,NF-SF-WF-EF,MF_0000,QUIET_13_16,SIDES_4_FULL_4,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,QUIET_OPEN_ARCHETYPE;CHUNK_PATH;VERTICAL_THROUGH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1864
2,VIS01_MP_0440,0x0440,14,2,0.1250,14,1,0xF,0xF,0xF,0xF,0xF,0xF,0x0,0x0,R0110-C0020,NF-SF-WF-EF,MF_0220,QUIET_13_16,SIDES_4_FULL_4,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
3,VIS01_MP_0014,0x0014,14,2,0.1250,14,1,0xF,0xB,0xD,0xF,0xF,0xF,0x2,0x0,R1100-C1010,NF-SB-WD-EF,MF_0014,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
4,VIS01_MP_0011,0x0011,14,2,0.1250,14,1,0xF,0xE,0xC,0xF,0xF,0xF,0x3,0x0,R1100-C2000,NF-SE-WC-EF,MF_0011,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
5,VIS01_MP_0018,0x0018,14,2,0.1250,14,1,0xF,0x7,0xD,0xE,0xF,0xF,0x2,0x1,R1100-C1001,NF-S7-WD-EE,MF_0018,QUIET_13_16,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
6,VIS01_MP_00C0,0x00C0,14,2,0.1250,14,1,0xF,0xF,0xF,0xD,0xF,0xF,0x0,0x2,R0200-C0011,NF-SF-WF-ED,MF_0030,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
7,VIS01_MP_0110,0x0110,14,2,0.1250,14,1,0xF,0xF,0x9,0xF,0xF,0xF,0x6,0x0,R0110-C2000,NF-SF-W9-EF,MF_0110,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
8,VIS01_MP_0088,0x0088,14,2,0.1250,14,1,0xF,0x7,0xF,0xC,0xF,0xF,0x0,0x3,R1100-C0002,NF-S7-WF-EC,MF_0011,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
9,VIS01_MP_0090,0x0090,14,2,0.1250,14,1,0xF,0xF,0xD,0xD,0xF,0xF,0x2,0x2,R0200-C1001,NF-SF-WD-ED,MF_0090,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
10,VIS01_MP_000C,0x000C,14,2,0.1250,14,1,0xF,0x3,0xF,0xE,0xF,0xF,0x0,0x1,R2000-C0011,NF-S3-WF-EE,MF_0003,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
11,VIS01_MP_0081,0x0081,14,2,0.1250,14,1,0xF,0xE,0xE,0xD,0xF,0xF,0x1,0x2,R1100-C1001,NF-SE-WE-ED,MF_0018,QUIET_13_16,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
12,VIS01_MP_0880,0x0880,14,2,0.1250,14,1,0xF,0xF,0xF,0x9,0xF,0xF,0x0,0x6,R0110-C0002,NF-SF-WF-E9,MF_0110,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
13,VIS01_MP_0808,0x0808,14,2,0.1250,14,1,0xF,0x7,0xF,0xA,0xF,0xF,0x0,0x5,R1010-C0002,NF-S7-WF-EA,MF_0101,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
14,VIS01_MP_0810,0x0810,14,2,0.1250,14,1,0xF,0xF,0xD,0xB,0xF,0xF,0x2,0x4,R0110-C1001,NF-SF-WD-EB,MF_0180,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
15,VIS01_MP_0804,0x0804,14,2,0.1250,14,1,0xF,0xB,0xF,0xB,0xF,0xF,0x0,0x4,R1010-C0011,NF-SB-WF-EB,MF_0102,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
16,VIS01_MP_0801,0x0801,14,2,0.1250,14,1,0xF,0xE,0xE,0xB,0xF,0xF,0x1,0x4,R1010-C1001,NF-SE-WE-EB,MF_0108,QUIET_13_16,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
17,VIS01_MP_0410,0x0410,14,2,0.1250,14,1,0xF,0xF,0xD,0xF,0xF,0xF,0x2,0x0,R0110-C1010,NF-SF-WD-EF,MF_0280,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
18,VIS01_MP_0401,0x0401,14,2,0.1250,14,1,0xF,0xE,0xE,0xF,0xF,0xF,0x1,0x0,R1010-C1010,NF-SE-WE-EF,MF_0208,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
19,VIS01_MP_0404,0x0404,14,2,0.1250,14,1,0xF,0xB,0xF,0xF,0xF,0xF,0x0,0x0,R1010-C0020,NF-SB-WF-EF,MF_0202,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
20,VIS01_MP_0C00,0x0C00,14,2,0.1250,14,1,0xF,0xF,0xF,0xB,0xF,0xF,0x0,0x4,R0020-C0011,NF-SF-WF-EB,MF_0300,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
21,VIS01_MP_0408,0x0408,14,2,0.1250,14,1,0xF,0x7,0xF,0xE,0xF,0xF,0x0,0x1,R1010-C0011,NF-S7-WF-EE,MF_0201,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
22,VIS01_MP_0480,0x0480,14,2,0.1250,14,1,0xF,0xF,0xF,0xD,0xF,0xF,0x0,0x2,R0110-C0011,NF-SF-WF-ED,MF_0210,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
23,VIS01_MP_0500,0x0500,14,2,0.1250,14,1,0xF,0xF,0xB,0xF,0xF,0xF,0x4,0x0,R0020-C1010,NF-SF-WB-EF,MF_0500,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
24,VIS01_MP_0005,0x0005,14,2,0.1250,14,1,0xF,0xA,0xE,0xF,0xF,0xF,0x1,0x0,R2000-C1010,NF-SA-WE-EF,MF_0005,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
