placement_index,pattern_x,pattern_y,chunk_id,candidate_id,production_pattern_family_id,transform,biome_id,terrain_cluster_id,spine_variant_id
0,0,0,VIS01_CHUNK_00,VIS01_MP_0024,MP_CRATER_DUST_PATCH,IDENTITY_NO_ROTATION,MoonDough,TC_ROOT_PROD_SAP_LEDGE,TC_MILL_PROD_RUST_LEDGE/TC_MILL_PROD_RUST_LEDGE_BASE
1,1,0,VIS01_CHUNK_00,VIS01_MP_0801,MP_CRATER_METEOR_CUE,IDENTITY_NO_ROTATION,MoonDough,TC_ROOT_PROD_SAP_LEDGE,TC_MILL_PROD_RUST_LEDGE/TC_MILL_PROD_RUST_LEDGE_BASE
2,2,0,VIS01_CHUNK_00,VIS01_MP_0D80,MP_MILL_BEAM_GRIP,IDENTITY_NO_ROTATION,MoonDough,TC_ROOT_PROD_SAP_LEDGE,TC_MILL_PROD_RUST_LEDGE/TC_MILL_PROD_RUST_LEDGE_BASE
3,3,0,VIS01_CHUNK_01,VIS01_MP_0060,MP_ROOT_SAP_PATCH,IDENTITY_NO_ROTATION,MoonCrater,TC_DOUGH_PROD_SOFT_POCKET,TC_MILL_PROD_GEAR_GALLERY/TC_MILL_PROD_GEAR_GALLERY_ALT
4,4,0,VIS01_CHUNK_01,VIS01_MP_0C00,MP_ROOT_ARCH,IDENTITY_NO_ROTATION,MoonCrater,TC_DOUGH_PROD_SOFT_POCKET,TC_MILL_PROD_GEAR_GALLERY/TC_MILL_PROD_GEAR_GALLERY_ALT
5,5,0,VIS01_CHUNK_01,VIS01_MP_0011,MP_DOUGH_FERMENT_PATCH,IDENTITY_NO_ROTATION,MoonCrater,TC_DOUGH_PROD_SOFT_POCKET,TC_MILL_PROD_GEAR_GALLERY/TC_MILL_PROD_GEAR_GALLERY_ALT
6,6,0,VIS01_CHUNK_02,VIS01_MP_0022,MP_DOUGH_BOUNCE_CUP,IDENTITY_NO_ROTATION,CassiaRoot,TC_DOUGH_BUFFER_EXIT_SHELF,TC_MILL_QUIET_RUST_BALCONY/TC_MILL_QUIET_RUST_BALCONY_BASE
7,7,0,VIS01_CHUNK_02,VIS01_MP_0840,MP_CRATER_BROKEN_SLOPE,IDENTITY_NO_ROTATION,CassiaRoot,TC_DOUGH_BUFFER_EXIT_SHELF,TC_MILL_QUIET_RUST_BALCONY/TC_MILL_QUIET_RUST_BALCONY_BASE
8,8,0,VIS01_CHUNK_02,VIS01_MP_0480,MP_DOUGH_BOUNCE_CUP,IDENTITY_NO_ROTATION,CassiaRoot,TC_DOUGH_BUFFER_EXIT_SHELF,TC_MILL_QUIET_RUST_BALCONY/TC_MILL_QUIET_RUST_BALCONY_BASE
9,9,0,VIS01_CHUNK_03,VIS01_MP_0990,MP_DOUGH_BOUNCE_STRIP,IDENTITY_NO_ROTATION,AbandonedMill,TC_DOUGH_PROD_STICKY_SHELF,TC_ROOT_BUFFER_EXIT_TUNNEL/TC_ROOT_BUFFER_EXIT_TUNNEL_ALT
10,10,0,VIS01_CHUNK_03,VIS01_MP_0480,MP_MILL_BEAM_GRIP,IDENTITY_NO_ROTATION,AbandonedMill,TC_DOUGH_PROD_STICKY_SHELF,TC_ROOT_BUFFER_EXIT_TUNNEL/TC_ROOT_BUFFER_EXIT_TUNNEL_ALT
11,11,0,VIS01_CHUNK_03,VIS01_MP_0D01,MP_DOUGH_SOFT_POCKET,IDENTITY_NO_ROTATION,AbandonedMill,TC_DOUGH_PROD_STICKY_SHELF,TC_ROOT_BUFFER_EXIT_TUNNEL/TC_ROOT_BUFFER_EXIT_TUNNEL_ALT
12,0,1,VIS01_CHUNK_00,VIS01_MP_8010,MP_CRATER_DUST_PATCH,IDENTITY_NO_ROTATION,MoonDough,TC_ROOT_PROD_SAP_LEDGE,TC_MILL_PROD_RUST_LEDGE/TC_MILL_PROD_RUST_LEDGE_BASE
13,1,1,VIS01_CHUNK_00,VIS01_MP_DD00,MP_CRATER_GRIP_RIDGE,IDENTITY_NO_ROTATION,MoonDough,TC_ROOT_PROD_SAP_LEDGE,TC_MILL_PROD_RUST_LEDGE/TC_MILL_PROD_RUST_LEDGE_BASE
