activity_id,compatibility_kind,value_token
ACT_CRATER_BOULDER_CHAIN,ACCESS,OPTIONAL_NO_TOOL
ACT_CRATER_BOULDER_CHAIN,BIOME,MoonCrater
ACT_CRATER_BOULDER_CHAIN,PACING,ACTIVITY
ACT_CRATER_BOULDER_CHAIN,PACING,RISK
ACT_CRATER_RICOCHET_MINE,ACCESS,OPTIONAL_NO_TOOL
ACT_CRATER_RICOCHET_MINE,BIOME,MoonCrater
ACT_CRATER_RICOCHET_MINE,PACING,ACTIVITY
ACT_CRATER_RICOCHET_MINE,PACING,REWARD
ACT_DOUGH_TIME_TRIAL,ACCESS,OPTIONAL_NO_TOOL
ACT_DOUGH_TIME_TRIAL,BIOME,MoonDough
ACT_DOUGH_TIME_TRIAL,PACING,ACTIVITY
ACT_DOUGH_TIME_TRIAL,PACING,FLOW
ACT_DOUGH_TIME_TRIAL,PACING,REWARD
ACT_MARU_REWIND_ANOMALY,ACCESS,OPTIONAL_NO_TOOL
ACT_MARU_REWIND_ANOMALY,BIOME,MoonDough
ACT_MARU_REWIND_ANOMALY,PACING,ACTIVITY
ACT_MARU_REWIND_ANOMALY,PACING,NARRATIVE
ACT_MARU_REWIND_ANOMALY,PACING,RISK
ACT_MILL_ESCORT_CART,ACCESS,OPTIONAL_NO_TOOL
ACT_MILL_ESCORT_CART,BIOME,AbandonedMill
ACT_MILL_ESCORT_CART,PACING,ACTIVITY
ACT_MILL_ESCORT_CART,PACING,MACHINERY
ACT_MILL_ESCORT_CART,PACING,REWARD
ACT_MILL_GEAR_GRID,ACCESS,OPTIONAL_NO_TOOL
ACT_MILL_GEAR_GRID,BIOME,AbandonedMill
ACT_MILL_GEAR_GRID,PACING,ACTIVITY
ACT_MILL_GEAR_GRID,PACING,MACHINERY
ACT_MILL_PESTLE_WORKSHOP,ACCESS,OPTIONAL_NO_TOOL
ACT_MILL_PESTLE_WORKSHOP,BIOME,AbandonedMill
ACT_MILL_PESTLE_WORKSHOP,PACING,ACTIVITY
ACT_MILL_PESTLE_WORKSHOP,PACING,MACHINERY
ACT_MILL_PESTLE_WORKSHOP,PACING,RISK
