activity_id,safety_cell_kind,local_x,local_y
ACT_CRATER_BOULDER_CHAIN,RECOVERY,42,9
ACT_CRATER_BOULDER_CHAIN,SAFE_POCKET,4,1
ACT_CRATER_RICOCHET_MINE,RECOVERY,42,1
ACT_CRATER_RICOCHET_MINE,SAFE_POCKET,4,1
ACT_DOUGH_TIME_TRIAL,RECOVERY,30,1
ACT_DOUGH_TIME_TRIAL,SAFE_POCKET,4,1
ACT_MARU_REWIND_ANOMALY,RECOVERY,30,17
ACT_MARU_REWIND_ANOMALY,SAFE_POCKET,4,1
ACT_MILL_ESCORT_CART,RECOVERY,30,1
ACT_MILL_ESCORT_CART,SAFE_POCKET,4,1
ACT_MILL_GEAR_GRID,RECOVERY,42,1
ACT_MILL_GEAR_GRID,SAFE_POCKET,4,1
ACT_MILL_PESTLE_WORKSHOP,RECOVERY,30,1
ACT_MILL_PESTLE_WORKSHOP,SAFE_POCKET,4,17
