activity_id,slot_id,slot_kind,local_x,local_y
ACT_CRATER_BOULDER_CHAIN,SLOT_CRATER_BOULDER_CHAIN_CUE,Cue,4,1
ACT_CRATER_BOULDER_CHAIN,SLOT_CRATER_BOULDER_CHAIN_DEVICE,Device,26,1
ACT_CRATER_BOULDER_CHAIN,SLOT_CRATER_BOULDER_CHAIN_HAZARD,Hazard,27,1
ACT_CRATER_BOULDER_CHAIN,SLOT_CRATER_BOULDER_CHAIN_RECOVERY,Recovery,42,9
ACT_CRATER_BOULDER_CHAIN,SLOT_CRATER_BOULDER_CHAIN_RESET,Reset,43,9
ACT_CRATER_BOULDER_CHAIN,SLOT_CRATER_BOULDER_CHAIN_REWARD,Reward,29,2
ACT_CRATER_BOULDER_CHAIN,SLOT_CRATER_BOULDER_CHAIN_TRIGGER,Trigger,25,1
ACT_CRATER_RICOCHET_MINE,SLOT_CRATER_RICOCHET_MINE_CUE,Cue,4,1
ACT_CRATER_RICOCHET_MINE,SLOT_CRATER_RICOCHET_MINE_DEVICE,Device,14,1
ACT_CRATER_RICOCHET_MINE,SLOT_CRATER_RICOCHET_MINE_HAZARD,Hazard,15,1
ACT_CRATER_RICOCHET_MINE,SLOT_CRATER_RICOCHET_MINE_PROJECTILE,Projectile,16,1
ACT_CRATER_RICOCHET_MINE,SLOT_CRATER_RICOCHET_MINE_RECOVERY,Recovery,42,1
ACT_CRATER_RICOCHET_MINE,SLOT_CRATER_RICOCHET_MINE_RESET,Reset,43,1
ACT_CRATER_RICOCHET_MINE,SLOT_CRATER_RICOCHET_MINE_REWARD,Reward,17,2
ACT_CRATER_RICOCHET_MINE,SLOT_CRATER_RICOCHET_MINE_TRIGGER,Trigger,13,1
ACT_DOUGH_TIME_TRIAL,SLOT_DOUGH_TIME_TRIAL_CUE,Cue,4,1
ACT_DOUGH_TIME_TRIAL,SLOT_DOUGH_TIME_TRIAL_DEVICE,Device,14,1
ACT_DOUGH_TIME_TRIAL,SLOT_DOUGH_TIME_TRIAL_HAZARD,Hazard,15,1
ACT_DOUGH_TIME_TRIAL,SLOT_DOUGH_TIME_TRIAL_RECOVERY,Recovery,30,1
ACT_DOUGH_TIME_TRIAL,SLOT_DOUGH_TIME_TRIAL_RESET,Reset,31,1
ACT_DOUGH_TIME_TRIAL,SLOT_DOUGH_TIME_TRIAL_REWARD,Reward,17,2
ACT_DOUGH_TIME_TRIAL,SLOT_DOUGH_TIME_TRIAL_TRIGGER,Trigger,13,1
ACT_MARU_REWIND_ANOMALY,SLOT_MARU_REWIND_ANOMALY_CUE,Cue,4,1
ACT_MARU_REWIND_ANOMALY,SLOT_MARU_REWIND_ANOMALY_DEVICE,Device,14,9
ACT_MARU_REWIND_ANOMALY,SLOT_MARU_REWIND_ANOMALY_HAZARD,Hazard,15,9
ACT_MARU_REWIND_ANOMALY,SLOT_MARU_REWIND_ANOMALY_RECOVERY,Recovery,30,17
ACT_MARU_REWIND_ANOMALY,SLOT_MARU_REWIND_ANOMALY_RESET,Reset,31,17
ACT_MARU_REWIND_ANOMALY,SLOT_MARU_REWIND_ANOMALY_REWARD,Reward,17,10
ACT_MARU_REWIND_ANOMALY,SLOT_MARU_REWIND_ANOMALY_TRIGGER,Trigger,13,9
ACT_MILL_ESCORT_CART,SLOT_MILL_ESCORT_CART_CUE,Cue,4,1
ACT_MILL_ESCORT_CART,SLOT_MILL_ESCORT_CART_DEVICE,Device,14,1
ACT_MILL_ESCORT_CART,SLOT_MILL_ESCORT_CART_HAZARD,Hazard,15,1
ACT_MILL_ESCORT_CART,SLOT_MILL_ESCORT_CART_NPC,Npc,16,1
ACT_MILL_ESCORT_CART,SLOT_MILL_ESCORT_CART_RECOVERY,Recovery,30,1
ACT_MILL_ESCORT_CART,SLOT_MILL_ESCORT_CART_RESET,Reset,31,1
ACT_MILL_ESCORT_CART,SLOT_MILL_ESCORT_CART_REWARD,Reward,17,2
ACT_MILL_ESCORT_CART,SLOT_MILL_ESCORT_CART_TRIGGER,Trigger,13,1
ACT_MILL_GEAR_GRID,SLOT_MILL_GEAR_GRID_CUE,Cue,4,1
ACT_MILL_GEAR_GRID,SLOT_MILL_GEAR_GRID_DEVICE,Device,14,1
ACT_MILL_GEAR_GRID,SLOT_MILL_GEAR_GRID_HAZARD,Hazard,15,1
ACT_MILL_GEAR_GRID,SLOT_MILL_GEAR_GRID_RECOVERY,Recovery,42,1
ACT_MILL_GEAR_GRID,SLOT_MILL_GEAR_GRID_RESET,Reset,43,1
ACT_MILL_GEAR_GRID,SLOT_MILL_GEAR_GRID_REWARD,Reward,17,2
ACT_MILL_GEAR_GRID,SLOT_MILL_GEAR_GRID_TRIGGER,Trigger,13,1
ACT_MILL_PESTLE_WORKSHOP,SLOT_MILL_PESTLE_WORKSHOP_CUE,Cue,4,17
ACT_MILL_PESTLE_WORKSHOP,SLOT_MILL_PESTLE_WORKSHOP_DEVICE,Device,14,9
ACT_MILL_PESTLE_WORKSHOP,SLOT_MILL_PESTLE_WORKSHOP_HAZARD,Hazard,15,9
ACT_MILL_PESTLE_WORKSHOP,SLOT_MILL_PESTLE_WORKSHOP_PROJECTILE,Projectile,16,9
ACT_MILL_PESTLE_WORKSHOP,SLOT_MILL_PESTLE_WORKSHOP_RECOVERY,Recovery,30,1
ACT_MILL_PESTLE_WORKSHOP,SLOT_MILL_PESTLE_WORKSHOP_RESET,Reset,31,1
ACT_MILL_PESTLE_WORKSHOP,SLOT_MILL_PESTLE_WORKSHOP_REWARD,Reward,17,10
ACT_MILL_PESTLE_WORKSHOP,SLOT_MILL_PESTLE_WORKSHOP_TRIGGER,Trigger,13,9
