boundary_chunk_id,microchunk_id,biome_a_id,biome_b_id,boundary_profile_id,orientation,route_type,entry_edge_signature_id,exit_edge_signature_id,weight,reversible,active,notes
BCH_CRATER_ROOT_H_SOFT_01,MC_BOUND_CRATER_ROOT_H_01,BIO_MOON_CRATER,BIO_CASSIA_ROOT,BOUND_SOFT_BLEND,HORIZONTAL,1,EDGE_H_MID_WALK,EDGE_H_MID_WALK,100,1,1,스타터 경계
BCH_CRATER_MILL_H_RUIN_01,MC_BOUND_CRATER_MILL_H_01,BIO_MOON_CRATER,BIO_ABANDONED_MILL,BOUND_RUIN,HORIZONTAL,1,EDGE_H_MID_WALK,EDGE_H_MID_WALK,100,1,1,스타터 경계
BCH_CRATER_ROOT_V_SOFT_01,MC_BOUND_CRATER_ROOT_V_SOFT_01,BIO_MOON_CRATER,BIO_CASSIA_ROOT,BOUND_SOFT_BLEND,VERTICAL,1,EDGE_V_CENTER_CLIMB,EDGE_V_CENTER_CLIMB,100,1,1,MAP08_06 Crater-Root boundary
BCH_CRATER_ROOT_H_CLIFF_01,MC_BOUND_CRATER_ROOT_H_CLIFF_01,BIO_MOON_CRATER,BIO_CASSIA_ROOT,BOUND_CLIFF,HORIZONTAL,1,EDGE_H_MID_WALK,EDGE_H_MID_WALK,100,1,1,MAP08_06 Crater-Root boundary
BCH_CRATER_ROOT_V_CLIFF_01,MC_BOUND_CRATER_ROOT_V_CLIFF_01,BIO_MOON_CRATER,BIO_CASSIA_ROOT,BOUND_CLIFF,VERTICAL,1,EDGE_V_CENTER_CLIMB,EDGE_V_CENTER_CLIMB,100,1,1,MAP08_06 Crater-Root boundary
BCH_CRATER_ROOT_H_TUNNEL_01,MC_BOUND_CRATER_ROOT_H_TUNNEL_01,BIO_MOON_CRATER,BIO_CASSIA_ROOT,BOUND_TUNNEL,HORIZONTAL,1,EDGE_H_MID_WALK,EDGE_H_MID_WALK,100,1,1,MAP08_06 Crater-Root boundary
BCH_CRATER_ROOT_V_TUNNEL_01,MC_BOUND_CRATER_ROOT_V_TUNNEL_01,BIO_MOON_CRATER,BIO_CASSIA_ROOT,BOUND_TUNNEL,VERTICAL,1,EDGE_V_CENTER_CLIMB,EDGE_V_CENTER_CLIMB,100,1,1,MAP08_06 Crater-Root boundary
BCH_CRATER_MILL_V_RUIN_01,MC_BOUND_CRATER_MILL_V_RUIN_01,BIO_MOON_CRATER,BIO_ABANDONED_MILL,BOUND_RUIN,VERTICAL,1,EDGE_V_CENTER_CLIMB,EDGE_V_CENTER_CLIMB,100,1,1,MAP08_07 Crater-Mill boundary
BCH_CRATER_MILL_H_SOFT_01,MC_BOUND_CRATER_MILL_H_SOFT_01,BIO_MOON_CRATER,BIO_ABANDONED_MILL,BOUND_SOFT_BLEND,HORIZONTAL,1,EDGE_H_MID_WALK,EDGE_H_MID_WALK,100,1,1,MAP08_07 Crater-Mill boundary
BCH_CRATER_MILL_V_SOFT_01,MC_BOUND_CRATER_MILL_V_SOFT_01,BIO_MOON_CRATER,BIO_ABANDONED_MILL,BOUND_SOFT_BLEND,VERTICAL,1,EDGE_V_CENTER_CLIMB,EDGE_V_CENTER_CLIMB,100,1,1,MAP08_07 Crater-Mill boundary
