overlay_id,compatibility_kind,value_token
EVT_EMPTY,ACCESS,OPTIONAL_NO_TOOL
EVT_EMPTY,BIOME,MoonCrater
EVT_EMPTY,PACING,QUIET
EVT_EMPTY,PACING,RISK
EVT_MARU_INTERVENTION,ACCESS,OPTIONAL_NO_TOOL
EVT_MARU_INTERVENTION,ACTIVITY,ACT_MARU_REWIND_ANOMALY
EVT_MARU_INTERVENTION,BIOME,MoonDough
EVT_MARU_INTERVENTION,PACING,NARRATIVE
EVT_MARU_INTERVENTION,SPECIAL_SLOT,EVENT
EVT_METEOR_FALL,ACCESS,OPTIONAL_NO_TOOL
EVT_METEOR_FALL,BIOME,MoonCrater
EVT_METEOR_FALL,PACING,RISK
EVT_RARE_CREATURE,ACCESS,OPTIONAL_NO_TOOL
EVT_RARE_CREATURE,ACTIVITY,ACT_MILL_ESCORT_CART
EVT_RARE_CREATURE,BIOME,AbandonedMill
EVT_RARE_CREATURE,PACING,ACTIVITY
EVT_RARE_CREATURE,SPECIAL_SLOT,NPC
EVT_WANDERING_MERCHANT,ACCESS,OPTIONAL_NO_TOOL
EVT_WANDERING_MERCHANT,ACTIVITY,ACT_MILL_ESCORT_CART
EVT_WANDERING_MERCHANT,BIOME,AbandonedMill
EVT_WANDERING_MERCHANT,PACING,ACTIVITY
EVT_WANDERING_MERCHANT,PACING,RECOVERY
EVT_WANDERING_MERCHANT,SPECIAL_SLOT,NPC
