microchunk_id,display_name_ko,width_tiles,height_tiles,usage_class,biome_ids,route_roles,allowed_transforms,selection_weight,threat,cognitive,chain,tile_data_complete,prefab_id,active,notes
MC_GRAY_H_STRAIGHT_01,회색박스 수평 통로,12,8,TRAVERSAL,BIO_MOON_CRATER|BIO_CASSIA_ROOT|BIO_ABANDONED_MILL|BIO_MOON_DOUGH,HORIZONTAL|MANDATORY,R0|MIRROR_X,100,0,1,0,1,PREFAB_MC_GRAY,1,스타터 회색박스 청크
MC_GRAY_H_STEP_UP_01,회색박스 한 칸 상승,12,8,TRAVERSAL,BIO_MOON_CRATER|BIO_CASSIA_ROOT|BIO_ABANDONED_MILL|BIO_MOON_DOUGH,HORIZONTAL|HEIGHT_CHANGE,R0|MIRROR_X,50,0,1,0,1,PREFAB_MC_GRAY,1,스타터 회색박스 청크
MC_GRAY_DROP_CENTER_01,회색박스 중앙 하강,12,8,TRAVERSAL,BIO_MOON_CRATER|BIO_MOON_DOUGH,HORIZONTAL|DROP|MANDATORY,R0|MIRROR_X,70,1,1,1,1,PREFAB_MC_GRAY,1,스타터 회색박스 청크
MC_GRAY_ASCEND_CENTER_01,회색박스 중앙 상승,12,8,TRAVERSAL,BIO_CASSIA_ROOT|BIO_ABANDONED_MILL,HORIZONTAL|ASCEND|MANDATORY,R0|MIRROR_X,70,1,1,1,1,PREFAB_MC_GRAY,1,스타터 회색박스 청크
MC_GRAY_VERTICAL_SHAFT_01,회색박스 수직 샤프트,12,8,TRAVERSAL,BIO_MOON_CRATER|BIO_CASSIA_ROOT|BIO_ABANDONED_MILL|BIO_MOON_DOUGH,VERTICAL|MANDATORY,R0|MIRROR_X,70,0,1,0,1,PREFAB_MC_GRAY,1,스타터 회색박스 청크
MC_GRAY_DEADEND_LEFT_01,회색박스 왼쪽 막다른 길,12,8,TRAVERSAL,BIO_MOON_CRATER|BIO_CASSIA_ROOT|BIO_ABANDONED_MILL|BIO_MOON_DOUGH,OPTIONAL|DEADEND,R0|MIRROR_X,60,1,1,0,1,PREFAB_MC_GRAY,1,스타터 회색박스 청크
MC_FILL_SOLID_01,완전 별돌 채움,12,8,FILLER,BIO_MOON_CRATER|BIO_CASSIA_ROOT|BIO_ABANDONED_MILL|BIO_MOON_DOUGH,FILLER|SOLID,R0,100,0,0,0,1,PREFAB_MC_GRAY,1,스타터 회색박스 청크
MC_FILL_CAVITY_01,닫힌 내부 공동,12,8,FILLER,BIO_MOON_CRATER|BIO_CASSIA_ROOT|BIO_ABANDONED_MILL|BIO_MOON_DOUGH,FILLER|CAVITY,R0|MIRROR_X,40,0,0,0,1,PREFAB_MC_GRAY,1,스타터 회색박스 청크
MC_BOUND_CRATER_ROOT_H_01,분화구-뿌리숲 수평 경계,12,8,BOUNDARY,BIO_MOON_CRATER|BIO_CASSIA_ROOT,BOUNDARY|HORIZONTAL,R0|MIRROR_X,100,0,1,0,1,PREFAB_MC_GRAY,1,스타터 회색박스 청크
MC_BOUND_CRATER_MILL_H_01,분화구-방앗간 수평 경계,12,8,BOUNDARY,BIO_MOON_CRATER|BIO_ABANDONED_MILL,BOUNDARY|HORIZONTAL,R0|MIRROR_X,100,0,1,0,1,PREFAB_MC_GRAY,1,스타터 회색박스 청크
MC_SPECIAL_EVENT_ROOM_01,특수 이벤트 중심 청크,12,8,SPECIAL,BIO_MOON_CRATER|BIO_CASSIA_ROOT|BIO_MOON_DOUGH,SPECIAL|EVENT,R0,100,0,1,0,1,PREFAB_MC_GRAY,1,스타터 회색박스 청크
MC_SPECIAL_FORGE_CORE_01,월궁 인장 제작 중심 청크,12,8,SPECIAL,BIO_ABANDONED_MILL,SPECIAL|FORGE,R0,100,0,1,0,1,PREFAB_MC_GRAY,1,스타터 회색박스 청크
MC_VILLAGE_PLAZA_01,마을 광장 청크,12,8,VILLAGE,BIO_MOON_CRATER|BIO_CASSIA_ROOT|BIO_ABANDONED_MILL|BIO_MOON_DOUGH,VILLAGE|PLAZA,R0|MIRROR_X,100,0,1,0,1,PREFAB_MC_GRAY,1,스타터 회색박스 청크
MC_VILLAGE_ROAD_01,마을 도로 청크,12,8,VILLAGE,BIO_MOON_CRATER|BIO_CASSIA_ROOT|BIO_ABANDONED_MILL|BIO_MOON_DOUGH,VILLAGE|ROAD,R0|MIRROR_X,100,0,1,0,1,PREFAB_MC_GRAY,1,스타터 회색박스 청크
MC_BOUND_CRATER_ROOT_V_SOFT_01,Crater-Root BOUND_SOFT_BLEND VERTICAL,12,8,BOUNDARY,BIO_MOON_CRATER|BIO_CASSIA_ROOT,BOUNDARY|VERTICAL,R0|MIRROR_Y,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_06 authored boundary
