microchunk_pool_id,entry_order,microchunk_id,weight,required_tags,forbidden_tags,min_repeat_distance_chunks,active
POOL_MC_TRAVERSE,1,MC_GRAY_H_STRAIGHT_01,100,,,1,1
POOL_MC_TRAVERSE,2,MC_GRAY_H_STEP_UP_01,30,,,1,1
POOL_MC_DROP,1,MC_GRAY_DROP_CENTER_01,100,,,1,1
POOL_MC_ASCEND,1,MC_GRAY_ASCEND_CENTER_01,100,,,1,1
POOL_MC_VERTICAL,1,MC_GRAY_VERTICAL_SHAFT_01,100,,,1,1
POOL_MC_TYPE0_DEADEND,1,MC_GRAY_DEADEND_LEFT_01,100,,,1,1
POOL_MC_FILLER,1,MC_FILL_SOLID_01,70,,,1,1
POOL_MC_FILLER,2,MC_FILL_CAVITY_01,30,,,1,1
POOL_MC_SPECIAL_EVENT,1,MC_SPECIAL_EVENT_ROOM_01,100,,,1,1
POOL_MC_FORGE,1,MC_SPECIAL_FORGE_CORE_01,100,,,1,1
POOL_MC_VILLAGE_PLAZA,1,MC_VILLAGE_PLAZA_01,100,,,1,1
POOL_MC_VILLAGE_ROAD,1,MC_VILLAGE_ROAD_01,100,,,1,1
