microchunk_id,socket_id,side,band_id,traversal_kind,direction,mandatory_allowed,tool_requirement,edge_signature_id,route_layer,minimum_safe_tiles,notes
MC_GRAY_H_STRAIGHT_01,SOCK_L,L,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,BOTH,2,
MC_GRAY_H_STRAIGHT_01,SOCK_R,R,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,BOTH,2,
MC_GRAY_H_STEP_UP_01,SOCK_L,L,BAND_H_LOW,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_LOW_WALK,BOTH,2,
MC_GRAY_H_STEP_UP_01,SOCK_R,R,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,BOTH,2,
MC_GRAY_DROP_CENTER_01,SOCK_L,L,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,BOTH,2,
MC_GRAY_DROP_CENTER_01,SOCK_R,R,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,BOTH,2,
MC_GRAY_DROP_CENTER_01,SOCK_D,D,BAND_V_CENTER,DROP,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_GRAY_ASCEND_CENTER_01,SOCK_L,L,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,BOTH,2,
MC_GRAY_ASCEND_CENTER_01,SOCK_R,R,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,BOTH,2,
MC_GRAY_ASCEND_CENTER_01,SOCK_U,U,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_GRAY_VERTICAL_SHAFT_01,SOCK_U,U,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_GRAY_VERTICAL_SHAFT_01,SOCK_D,D,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
