pattern_id,selection_weight,biome_ids,allowed_transforms,protected_policy
MP_CRATER_BOWL,500,MoonCrater,R0|MIRROR_Y,REJECT_CANDIDATE
MP_CRATER_BROKEN_SLOPE,250,MoonCrater,R0|MIRROR_X|MIRROR_Y|R180,REJECT_CANDIDATE
MP_CRATER_DUST_PATCH,1000,MoonCrater,R0,FORCE_NO_CHANGE
MP_CRATER_GRIP_RIDGE,250,MoonCrater,R0|MIRROR_X|MIRROR_Y|R180,FORCE_NO_CHANGE
MP_CRATER_METEOR_CUE,1000,MoonCrater,R0,FORCE_NO_CHANGE
MP_CRATER_ROCK_SHELF,250,MoonCrater,R0|MIRROR_X|MIRROR_Y|R180,REJECT_CANDIDATE
MP_DOUGH_BOUNCE_CUP,1000,MoonDough,R0,REJECT_CANDIDATE
MP_DOUGH_BOUNCE_STRIP,1000,MoonDough,R0,FORCE_NO_CHANGE
MP_DOUGH_FERMENT_PATCH,1000,MoonDough,R0,FORCE_NO_CHANGE
MP_DOUGH_RECOVERY_PAD,1000,MoonDough,R0,FORCE_NO_CHANGE
MP_DOUGH_SOFT_POCKET,250,MoonDough,R0|MIRROR_X|MIRROR_Y|R180,REJECT_CANDIDATE
MP_DOUGH_STICKY_SHELF,250,MoonDough,R0|MIRROR_X|MIRROR_Y|R180,REJECT_CANDIDATE
MP_MILL_BEAM_GRIP,500,AbandonedMill,R0|MIRROR_Y,FORCE_NO_CHANGE
MP_MILL_BEAM_OVERHANG,250,AbandonedMill,R0|MIRROR_X|MIRROR_Y|R180,REJECT_CANDIDATE
MP_MILL_BROKEN_PILLAR,250,AbandonedMill,R0|MIRROR_X|MIRROR_Y|R180,REJECT_CANDIDATE
MP_MILL_GEAR_SOCKET,1000,AbandonedMill,R0,FORCE_NO_CHANGE
MP_MILL_ORTHOGONAL_CARVE,250,AbandonedMill,R0|MIRROR_X|MIRROR_Y|R180,REJECT_CANDIDATE
MP_MILL_RUST_PATCH,500,AbandonedMill,R0|MIRROR_X,FORCE_NO_CHANGE
MP_ROOT_ARCH,500,CassiaRoot,R0|MIRROR_Y,REJECT_CANDIDATE
MP_ROOT_CLIMB_VINES,500,CassiaRoot,R0|MIRROR_X,FORCE_NO_CHANGE
MP_ROOT_HOLLOW_POCKET,250,CassiaRoot,R0|MIRROR_X|MIRROR_Y|R180,REJECT_CANDIDATE
MP_ROOT_SAP_PATCH,1000,CassiaRoot,R0,FORCE_NO_CHANGE
MP_ROOT_SPROUT_MARK,1000,CassiaRoot,R0,FORCE_NO_CHANGE
MP_ROOT_VERTICAL_TUNNEL,1000,CassiaRoot,R0,REJECT_CANDIDATE
