pattern_id,local_x,local_y,operation,layer,payload_id
MP_CRATER_BOWL,0,0,NO_CHANGE,GEOMETRY,
MP_CRATER_BOWL,1,0,NO_CHANGE,GEOMETRY,
MP_CRATER_BOWL,2,0,NO_CHANGE,GEOMETRY,
MP_CRATER_BOWL,3,0,NO_CHANGE,GEOMETRY,
MP_CRATER_BOWL,0,1,NO_CHANGE,GEOMETRY,
MP_CRATER_BOWL,1,1,CARVE_AIR,GEOMETRY,
MP_CRATER_BOWL,2,1,CARVE_AIR,GEOMETRY,
MP_CRATER_BOWL,3,1,NO_CHANGE,GEOMETRY,
MP_CRATER_BOWL,0,2,CARVE_AIR,GEOMETRY,
MP_CRATER_BOWL,1,2,CARVE_AIR,GEOMETRY,
MP_CRATER_BOWL,2,2,CARVE_AIR,GEOMETRY,
MP_CRATER_BOWL,3,2,CARVE_AIR,GEOMETRY,
MP_CRATER_BOWL,0,3,NO_CHANGE,GEOMETRY,
MP_CRATER_BOWL,1,3,CARVE_AIR,GEOMETRY,
MP_CRATER_BOWL,2,3,CARVE_AIR,GEOMETRY,
MP_CRATER_BOWL,3,3,NO_CHANGE,GEOMETRY,
MP_CRATER_BROKEN_SLOPE,0,0,ADD_SOLID,GEOMETRY,
MP_CRATER_BROKEN_SLOPE,1,0,ADD_SOLID,GEOMETRY,
MP_CRATER_BROKEN_SLOPE,2,0,ADD_SOLID,GEOMETRY,
MP_CRATER_BROKEN_SLOPE,3,0,ADD_SOLID,GEOMETRY,
MP_CRATER_BROKEN_SLOPE,0,1,NO_CHANGE,GEOMETRY,
MP_CRATER_BROKEN_SLOPE,1,1,ADD_SOLID,GEOMETRY,
MP_CRATER_BROKEN_SLOPE,2,1,ADD_SOLID,GEOMETRY,
MP_CRATER_BROKEN_SLOPE,3,1,ADD_SOLID,GEOMETRY,
MP_CRATER_BROKEN_SLOPE,0,2,NO_CHANGE,GEOMETRY,
MP_CRATER_BROKEN_SLOPE,1,2,NO_CHANGE,GEOMETRY,
MP_CRATER_BROKEN_SLOPE,2,2,ADD_SOLID,GEOMETRY,
MP_CRATER_BROKEN_SLOPE,3,2,ADD_SOLID,GEOMETRY,
MP_CRATER_BROKEN_SLOPE,0,3,NO_CHANGE,GEOMETRY,
MP_CRATER_BROKEN_SLOPE,1,3,NO_CHANGE,GEOMETRY,
MP_CRATER_BROKEN_SLOPE,2,3,NO_CHANGE,GEOMETRY,
MP_CRATER_BROKEN_SLOPE,3,3,ADD_SOLID,GEOMETRY,
MP_CRATER_DUST_PATCH,0,0,NO_CHANGE,GEOMETRY,
MP_CRATER_DUST_PATCH,1,0,NO_CHANGE,GEOMETRY,
MP_CRATER_DUST_PATCH,2,0,NO_CHANGE,GEOMETRY,
MP_CRATER_DUST_PATCH,3,0,NO_CHANGE,GEOMETRY,
MP_CRATER_DUST_PATCH,0,1,NO_CHANGE,GEOMETRY,
MP_CRATER_DUST_PATCH,1,1,NO_CHANGE,GEOMETRY,
MP_CRATER_DUST_PATCH,1,1,MATERIAL,MATERIAL,MAT_MOON_DUST
MP_CRATER_DUST_PATCH,2,1,NO_CHANGE,GEOMETRY,
MP_CRATER_DUST_PATCH,2,1,MATERIAL,MATERIAL,MAT_MOON_DUST
MP_CRATER_DUST_PATCH,3,1,NO_CHANGE,GEOMETRY,
MP_CRATER_DUST_PATCH,0,2,NO_CHANGE,GEOMETRY,
MP_CRATER_DUST_PATCH,1,2,NO_CHANGE,GEOMETRY,
MP_CRATER_DUST_PATCH,1,2,MATERIAL,MATERIAL,MAT_MOON_DUST
MP_CRATER_DUST_PATCH,2,2,NO_CHANGE,GEOMETRY,
MP_CRATER_DUST_PATCH,2,2,MATERIAL,MATERIAL,MAT_MOON_DUST
MP_CRATER_DUST_PATCH,2,2,MARKER,MARKER,MARK_CRATER_DETAIL
MP_CRATER_DUST_PATCH,3,2,NO_CHANGE,GEOMETRY,
MP_CRATER_DUST_PATCH,0,3,NO_CHANGE,GEOMETRY,
MP_CRATER_DUST_PATCH,1,3,NO_CHANGE,GEOMETRY,
MP_CRATER_DUST_PATCH,2,3,NO_CHANGE,GEOMETRY,
MP_CRATER_DUST_PATCH,3,3,NO_CHANGE,GEOMETRY,
MP_CRATER_GRIP_RIDGE,0,0,NO_CHANGE,GEOMETRY,
MP_CRATER_GRIP_RIDGE,1,0,NO_CHANGE,GEOMETRY,
MP_CRATER_GRIP_RIDGE,2,0,NO_CHANGE,GEOMETRY,
MP_CRATER_GRIP_RIDGE,3,0,NO_CHANGE,GEOMETRY,
MP_CRATER_GRIP_RIDGE,0,1,NO_CHANGE,GEOMETRY,
MP_CRATER_GRIP_RIDGE,0,1,SURFACE,SURFACE,SURF_CRATER_ROUGH
MP_CRATER_GRIP_RIDGE,0,1,AFFORDANCE,AFFORDANCE,AFF_GRIP
MP_CRATER_GRIP_RIDGE,1,1,NO_CHANGE,GEOMETRY,
MP_CRATER_GRIP_RIDGE,1,1,SURFACE,SURFACE,SURF_CRATER_ROUGH
MP_CRATER_GRIP_RIDGE,2,1,NO_CHANGE,GEOMETRY,
MP_CRATER_GRIP_RIDGE,2,1,SURFACE,SURFACE,SURF_CRATER_ROUGH
MP_CRATER_GRIP_RIDGE,2,1,AFFORDANCE,AFFORDANCE,AFF_GRIP
MP_CRATER_GRIP_RIDGE,3,1,NO_CHANGE,GEOMETRY,
MP_CRATER_GRIP_RIDGE,3,1,SURFACE,SURFACE,SURF_CRATER_ROUGH
MP_CRATER_GRIP_RIDGE,0,2,NO_CHANGE,GEOMETRY,
MP_CRATER_GRIP_RIDGE,1,2,NO_CHANGE,GEOMETRY,
MP_CRATER_GRIP_RIDGE,2,2,NO_CHANGE,GEOMETRY,
MP_CRATER_GRIP_RIDGE,3,2,NO_CHANGE,GEOMETRY,
MP_CRATER_GRIP_RIDGE,0,3,NO_CHANGE,GEOMETRY,
MP_CRATER_GRIP_RIDGE,1,3,NO_CHANGE,GEOMETRY,
MP_CRATER_GRIP_RIDGE,2,3,NO_CHANGE,GEOMETRY,
MP_CRATER_GRIP_RIDGE,3,3,NO_CHANGE,GEOMETRY,
MP_CRATER_METEOR_CUE,0,0,NO_CHANGE,GEOMETRY,
MP_CRATER_METEOR_CUE,1,0,NO_CHANGE,GEOMETRY,
MP_CRATER_METEOR_CUE,1,0,HAZARD,HAZARD,HZ_METEOR_EDGE
MP_CRATER_METEOR_CUE,2,0,NO_CHANGE,GEOMETRY,
MP_CRATER_METEOR_CUE,2,0,HAZARD,HAZARD,HZ_METEOR_EDGE
