spawn_pool_id,entry_order,entry_kind,entry_id,weight,quantity_min,quantity_max,required_tags,forbidden_tags,active,notes
POOL_SLOT_COMMON_RESOURCE,1,RESOURCE,RES_GOLD,70,1,5,,,1,
POOL_SLOT_COMMON_RESOURCE,2,RESOURCE,RES_ROPE,20,1,1,,,1,
POOL_SLOT_COMMON_RESOURCE,3,RESOURCE,RES_HEALING_FOOD,10,1,1,,,1,
POOL_SLOT_CRATER_HAZARD,1,MAP_ELEMENT,ELEM_FALLING_PESTLE,50,1,1,,,1,
POOL_SLOT_CRATER_HAZARD,2,MAP_ELEMENT,ELEM_ROLLING_MOON_ROCK,50,1,1,,,1,
POOL_SLOT_ROOT_RESOURCE,1,RESOURCE,RES_EXPLOSIVE_FUEL,70,8,15,,,1,
POOL_SLOT_ROOT_RESOURCE,2,RESOURCE,RES_HEALING_FOOD,30,1,1,,,1,
POOL_SLOT_DOUGH_RESOURCE,1,RESOURCE,RES_EXPLOSIVE_FUEL,80,12,20,,,1,
POOL_SLOT_DOUGH_RESOURCE,2,RESOURCE,RES_HEALING_FOOD,20,1,1,,,1,
POOL_SLOT_MILL_RESOURCE,1,RESOURCE,RES_MILL_PART,70,1,1,,,1,
POOL_SLOT_MILL_RESOURCE,2,RESOURCE,RES_BAT_STANDARD,30,1,1,,,1,
POOL_SLOT_TYPE0_REWARD,1,RESOURCE,RES_GOLD,40,8,20,,,1,
POOL_SLOT_TYPE0_REWARD,2,RESOURCE,RES_TOOL_PICKAXE,8,1,1,,,1,
POOL_SLOT_TYPE0_REWARD,3,RESOURCE,RES_TOOL_SHOVEL,8,1,1,,,1,
POOL_SLOT_TYPE0_REWARD,4,RESOURCE,RES_BP_PICKAXE,14,1,1,,,1,
POOL_SLOT_TYPE0_REWARD,5,RESOURCE,RES_BP_SHOVEL,14,1,1,,,1,
POOL_SLOT_TYPE0_REWARD,6,RESOURCE,RES_BAT_MEGA,8,1,1,,,1,
POOL_SLOT_TYPE0_REWARD,7,RESOURCE,RES_SPECIAL_MOON_COMPASS,8,1,1,,,1,
POOL_SLOT_CORE_RESOURCE,1,RESOURCE,RES_MOON_CORE_ORE,34,1,1,,,1,
POOL_SLOT_CORE_RESOURCE,2,RESOURCE,RES_CONDENSED_CASSIA_SAP,33,1,1,,,1,
POOL_SLOT_CORE_RESOURCE,3,RESOURCE,RES_DEEP_STAR_YEAST,33,1,1,,,1,
POOL_SLOT_SPECIAL_EVENT,1,MAP_ELEMENT,ELEM_CHEST,100,1,1,,,1,
POOL_SLOT_FORGE_EVENT,1,MAP_ELEMENT,ELEM_MILL_AXLE,100,1,1,,,1,
POOL_SLOT_FORGE_OUTPUT,1,RESOURCE,RES_MOON_SEAL,100,1,1,,,1,
POOL_SLOT_VILLAGE_NPC,1,NPC,SPECIES_RABBIT,40,1,1,,,1,
POOL_SLOT_VILLAGE_NPC,2,NPC,SPECIES_ALIEN,20,1,1,,,1,
POOL_SLOT_VILLAGE_NPC,3,NPC,SPECIES_ASTRONAUT,20,1,1,,,1,
POOL_SLOT_VILLAGE_NPC,4,NPC,SPECIES_MACHINE,10,1,1,,,1,
POOL_SLOT_VILLAGE_NPC,5,NPC,SPECIES_STAR_MERCHANT,10,1,1,,,1,
POOL_RES_CRATER,1,RESOURCE,RES_GOLD,50,1,5,,,1,
POOL_RES_CRATER,2,RESOURCE,RES_ROPE,20,1,1,,,1,
POOL_RES_CRATER,3,RESOURCE,RES_WORLD_MOON_DUST,30,1,1,,,1,
POOL_RES_ROOT,1,RESOURCE,RES_EXPLOSIVE_FUEL,50,8,15,,,1,
POOL_RES_ROOT,2,RESOURCE,RES_HEALING_FOOD,30,1,1,,,1,
POOL_RES_ROOT,3,RESOURCE,RES_ROPE,20,1,1,,,1,
POOL_RES_MILL,1,RESOURCE,RES_MILL_PART,50,1,1,,,1,
POOL_RES_MILL,2,RESOURCE,RES_BAT_STANDARD,25,1,1,,,1,
POOL_RES_MILL,3,RESOURCE,RES_GOLD,25,2,8,,,1,
POOL_RES_DOUGH,1,RESOURCE,RES_EXPLOSIVE_FUEL,50,12,20,,,1,
POOL_RES_DOUGH,2,RESOURCE,RES_HEALING_FOOD,25,1,1,,,1,
POOL_RES_DOUGH,3,RESOURCE,RES_GOLD,25,2,8,,,1,
POOL_ELEM_CRATER,1,MAP_ELEMENT,ELEM_FALLING_PESTLE,50,1,1,,,1,
POOL_ELEM_CRATER,2,MAP_ELEMENT,ELEM_ROLLING_MOON_ROCK,50,1,1,,,1,
POOL_ELEM_ROOT,1,MAP_ELEMENT,ELEM_CASSIA_ROOT,100,1,1,,,1,
POOL_ELEM_MILL,1,MAP_ELEMENT,ELEM_MILL_AXLE,100,1,1,,,1,
POOL_ELEM_DOUGH,1,MAP_ELEMENT,ELEM_DOUGH_PLATFORM,100,1,1,,,1,
POOL_SHOP_GENERAL,1,RESOURCE,RES_ROPE,30,1,3,,,1,
POOL_SHOP_GENERAL,2,RESOURCE,RES_HEALING_FOOD,25,1,1,,,1,
POOL_SHOP_GENERAL,3,RESOURCE,RES_BAT_STANDARD,25,1,2,,,1,
POOL_SHOP_GENERAL,4,RESOURCE,RES_EXPLOSIVE_FUEL,20,10,25,,,1,
POOL_SHOP_FOOD,1,RESOURCE,RES_HEALING_FOOD,100,1,1,,,1,
POOL_SHOP_BATTERY,1,RESOURCE,RES_BAT_MINI,20,1,2,,,1,
POOL_SHOP_BATTERY,2,RESOURCE,RES_BAT_AIR_CANNON,20,1,2,,,1,
POOL_SHOP_BATTERY,3,RESOURCE,RES_BAT_STANDARD,35,1,2,,,1,
POOL_SHOP_BATTERY,4,RESOURCE,RES_BAT_MEGA,10,1,1,,,1,
POOL_SHOP_BATTERY,5,RESOURCE,RES_BAT_GRENADE,15,1,2,,,1,
POOL_SHOP_SPECIAL,1,RESOURCE,RES_SPECIAL_MOON_COMPASS,30,1,1,,,1,
POOL_SHOP_SPECIAL,2,RESOURCE,RES_BP_PICKAXE,35,1,1,,,1,
POOL_SHOP_SPECIAL,3,RESOURCE,RES_BP_SHOVEL,35,1,1,,,1,
