cluster_id,pacing_role,biome_id,footprint_variant_id,spine_variant_id
TC_CRATER_BOWL_ASCENT,TRAVERSAL,MoonCrater,FOOTPRINT_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_BASE
TC_CRATER_BROKEN_SLOPE,DISCOVERY,MoonCrater,FOOTPRINT_CRATER_BROKEN_SLOPE,SPINE_CRATER_BROKEN_SLOPE_BASE
TC_CRATER_QUIET_RIM,QUIET,MoonCrater,FOOTPRINT_CRATER_QUIET_RIM,SPINE_CRATER_QUIET_RIM_BASE
TC_CRATER_ROCK_SHELF_RECOVERY,RECOVERY,MoonCrater,FOOTPRINT_CRATER_ROCK_SHELF_RECOVERY,SPINE_CRATER_ROCK_SHELF_RECOVERY_BASE
TC_DOUGH_BOUNCE_CUP,TRAVERSAL,MoonDough,FOOTPRINT_DOUGH_BOUNCE_CUP,SPINE_DOUGH_BOUNCE_CUP_BASE
TC_DOUGH_QUIET_SHELF,QUIET,MoonDough,FOOTPRINT_DOUGH_QUIET_SHELF,SPINE_DOUGH_QUIET_SHELF_BASE
TC_DOUGH_SOFT_POCKET,DISCOVERY,MoonDough,FOOTPRINT_DOUGH_SOFT_POCKET,SPINE_DOUGH_SOFT_POCKET_BASE
TC_DOUGH_STICKY_RISE_RECOVERY,RECOVERY,MoonDough,FOOTPRINT_DOUGH_STICKY_RISE_RECOVERY,SPINE_DOUGH_STICKY_RISE_RECOVERY_BASE
TC_MILL_BEAM_OVERHANG,TRAVERSAL,AbandonedMill,FOOTPRINT_MILL_BEAM_OVERHANG,SPINE_MILL_BEAM_OVERHANG_BASE
TC_MILL_BROKEN_PILLAR,DISCOVERY,AbandonedMill,FOOTPRINT_MILL_BROKEN_PILLAR,SPINE_MILL_BROKEN_PILLAR_BASE
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,RECOVERY,AbandonedMill,FOOTPRINT_MILL_ORTHOGONAL_SHAFT_RECOVERY,SPINE_MILL_ORTHOGONAL_SHAFT_RECOVERY_BASE
TC_MILL_QUIET_BEAM,QUIET,AbandonedMill,FOOTPRINT_MILL_QUIET_BEAM,SPINE_MILL_QUIET_BEAM_BASE
TC_ROOT_FORKED_CANOPY_RECOVERY,RECOVERY,CassiaRoot,FOOTPRINT_ROOT_FORKED_CANOPY_RECOVERY,SPINE_ROOT_FORKED_CANOPY_RECOVERY_BASE
TC_ROOT_HOLLOW_POCKET,TRAVERSAL,CassiaRoot,FOOTPRINT_ROOT_HOLLOW_POCKET,SPINE_ROOT_HOLLOW_POCKET_BASE
TC_ROOT_QUIET_ARCH,QUIET,CassiaRoot,FOOTPRINT_ROOT_QUIET_ARCH,SPINE_ROOT_QUIET_ARCH_BASE
TC_ROOT_VERTICAL_TUNNEL,DISCOVERY,CassiaRoot,FOOTPRINT_ROOT_VERTICAL_TUNNEL,SPINE_ROOT_VERTICAL_TUNNEL_BASE
