cluster_id,spine_variant_id,high_route_id,divergence_node_id,rejoin_node_id,high_point_node_id
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,HIGH_CRATER_BOWL_ASCENT,NODE_CRATER_BOWL_ASCENT_ALT_BUILD_UP,NODE_CRATER_BOWL_ASCENT_ALT_CORE,NODE_CRATER_BOWL_ASCENT_ALT_HIGH
TC_CRATER_BROKEN_SLOPE,SPINE_CRATER_BROKEN_SLOPE_ALT,HIGH_CRATER_BROKEN_SLOPE,NODE_CRATER_BROKEN_SLOPE_ALT_BUILD_UP,NODE_CRATER_BROKEN_SLOPE_ALT_CORE,NODE_CRATER_BROKEN_SLOPE_ALT_HIGH
TC_CRATER_QUIET_RIM,SPINE_CRATER_QUIET_RIM_ALT,HIGH_CRATER_QUIET_RIM,NODE_CRATER_QUIET_RIM_ALT_BUILD_UP,NODE_CRATER_QUIET_RIM_ALT_CORE,NODE_CRATER_QUIET_RIM_ALT_HIGH
TC_CRATER_ROCK_SHELF_RECOVERY,SPINE_CRATER_ROCK_SHELF_RECOVERY_ALT,HIGH_CRATER_ROCK_SHELF_RECOVERY,NODE_CRATER_ROCK_SHELF_RECOVERY_ALT_BUILD_UP,NODE_CRATER_ROCK_SHELF_RECOVERY_ALT_CORE,NODE_CRATER_ROCK_SHELF_RECOVERY_ALT_HIGH
TC_DOUGH_BOUNCE_CUP,SPINE_DOUGH_BOUNCE_CUP_ALT,HIGH_DOUGH_BOUNCE_CUP,NODE_DOUGH_BOUNCE_CUP_ALT_BUILD_UP,NODE_DOUGH_BOUNCE_CUP_ALT_CORE,NODE_DOUGH_BOUNCE_CUP_ALT_HIGH
TC_DOUGH_QUIET_SHELF,SPINE_DOUGH_QUIET_SHELF_ALT,HIGH_DOUGH_QUIET_SHELF,NODE_DOUGH_QUIET_SHELF_ALT_BUILD_UP,NODE_DOUGH_QUIET_SHELF_ALT_CORE,NODE_DOUGH_QUIET_SHELF_ALT_HIGH
TC_DOUGH_SOFT_POCKET,SPINE_DOUGH_SOFT_POCKET_ALT,HIGH_DOUGH_SOFT_POCKET,NODE_DOUGH_SOFT_POCKET_ALT_BUILD_UP,NODE_DOUGH_SOFT_POCKET_ALT_CORE,NODE_DOUGH_SOFT_POCKET_ALT_HIGH
TC_DOUGH_STICKY_RISE_RECOVERY,SPINE_DOUGH_STICKY_RISE_RECOVERY_ALT,HIGH_DOUGH_STICKY_RISE_RECOVERY,NODE_DOUGH_STICKY_RISE_RECOVERY_ALT_BUILD_UP,NODE_DOUGH_STICKY_RISE_RECOVERY_ALT_CORE,NODE_DOUGH_STICKY_RISE_RECOVERY_ALT_HIGH
TC_MILL_BEAM_OVERHANG,SPINE_MILL_BEAM_OVERHANG_ALT,HIGH_MILL_BEAM_OVERHANG,NODE_MILL_BEAM_OVERHANG_ALT_BUILD_UP,NODE_MILL_BEAM_OVERHANG_ALT_CORE,NODE_MILL_BEAM_OVERHANG_ALT_HIGH
TC_MILL_BROKEN_PILLAR,SPINE_MILL_BROKEN_PILLAR_ALT,HIGH_MILL_BROKEN_PILLAR,NODE_MILL_BROKEN_PILLAR_ALT_BUILD_UP,NODE_MILL_BROKEN_PILLAR_ALT_CORE,NODE_MILL_BROKEN_PILLAR_ALT_HIGH
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,SPINE_MILL_ORTHOGONAL_SHAFT_RECOVERY_ALT,HIGH_MILL_ORTHOGONAL_SHAFT_RECOVERY,NODE_MILL_ORTHOGONAL_SHAFT_RECOVERY_ALT_BUILD_UP,NODE_MILL_ORTHOGONAL_SHAFT_RECOVERY_ALT_CORE,NODE_MILL_ORTHOGONAL_SHAFT_RECOVERY_ALT_HIGH
TC_MILL_QUIET_BEAM,SPINE_MILL_QUIET_BEAM_ALT,HIGH_MILL_QUIET_BEAM,NODE_MILL_QUIET_BEAM_ALT_BUILD_UP,NODE_MILL_QUIET_BEAM_ALT_CORE,NODE_MILL_QUIET_BEAM_ALT_HIGH
TC_ROOT_FORKED_CANOPY_RECOVERY,SPINE_ROOT_FORKED_CANOPY_RECOVERY_ALT,HIGH_ROOT_FORKED_CANOPY_RECOVERY,NODE_ROOT_FORKED_CANOPY_RECOVERY_ALT_BUILD_UP,NODE_ROOT_FORKED_CANOPY_RECOVERY_ALT_CORE,NODE_ROOT_FORKED_CANOPY_RECOVERY_ALT_HIGH
TC_ROOT_HOLLOW_POCKET,SPINE_ROOT_HOLLOW_POCKET_ALT,HIGH_ROOT_HOLLOW_POCKET,NODE_ROOT_HOLLOW_POCKET_ALT_BUILD_UP,NODE_ROOT_HOLLOW_POCKET_ALT_CORE,NODE_ROOT_HOLLOW_POCKET_ALT_HIGH
TC_ROOT_QUIET_ARCH,SPINE_ROOT_QUIET_ARCH_ALT,HIGH_ROOT_QUIET_ARCH,NODE_ROOT_QUIET_ARCH_ALT_BUILD_UP,NODE_ROOT_QUIET_ARCH_ALT_CORE,NODE_ROOT_QUIET_ARCH_ALT_HIGH
TC_ROOT_VERTICAL_TUNNEL,SPINE_ROOT_VERTICAL_TUNNEL_ALT,HIGH_ROOT_VERTICAL_TUNNEL,NODE_ROOT_VERTICAL_TUNNEL_ALT_BUILD_UP,NODE_ROOT_VERTICAL_TUNNEL_ALT_CORE,NODE_ROOT_VERTICAL_TUNNEL_ALT_HIGH
