cluster_id,role_anchor_id,role_kind,local_x,local_y
TC_CRATER_BOWL_ASCENT,ROLE_CRATER_BOWL_ASCENT_BUILD_UP,BUILD_UP,4,1
TC_CRATER_BOWL_ASCENT,ROLE_CRATER_BOWL_ASCENT_CORE,CORE,14,1
TC_CRATER_BOWL_ASCENT,ROLE_CRATER_BOWL_ASCENT_ENTRY,ENTRY,0,1
TC_CRATER_BOWL_ASCENT,ROLE_CRATER_BOWL_ASCENT_EXIT,EXIT,34,7
TC_CRATER_BOWL_ASCENT,ROLE_CRATER_BOWL_ASCENT_RECOVERY,RECOVERY,30,1
TC_CRATER_BOWL_ASCENT,ROLE_CRATER_BOWL_ASCENT_REWARD,REWARD,17,2
TC_CRATER_BROKEN_SLOPE,ROLE_CRATER_BROKEN_SLOPE_BUILD_UP,BUILD_UP,4,1
TC_CRATER_BROKEN_SLOPE,ROLE_CRATER_BROKEN_SLOPE_CORE,CORE,14,1
TC_CRATER_BROKEN_SLOPE,ROLE_CRATER_BROKEN_SLOPE_ENTRY,ENTRY,1,7
TC_CRATER_BROKEN_SLOPE,ROLE_CRATER_BROKEN_SLOPE_EXIT,EXIT,46,0
TC_CRATER_BROKEN_SLOPE,ROLE_CRATER_BROKEN_SLOPE_RECOVERY,RECOVERY,42,1
TC_CRATER_BROKEN_SLOPE,ROLE_CRATER_BROKEN_SLOPE_REWARD,REWARD,17,2
TC_CRATER_QUIET_RIM,ROLE_CRATER_QUIET_RIM_BUILD_UP,BUILD_UP,4,1
TC_CRATER_QUIET_RIM,ROLE_CRATER_QUIET_RIM_CORE,CORE,14,1
TC_CRATER_QUIET_RIM,ROLE_CRATER_QUIET_RIM_ENTRY,ENTRY,0,1
TC_CRATER_QUIET_RIM,ROLE_CRATER_QUIET_RIM_EXIT,EXIT,23,1
TC_CRATER_QUIET_RIM,ROLE_CRATER_QUIET_RIM_RECOVERY,RECOVERY,18,1
TC_CRATER_ROCK_SHELF_RECOVERY,ROLE_CRATER_ROCK_SHELF_RECOVERY_BUILD_UP,BUILD_UP,4,1
TC_CRATER_ROCK_SHELF_RECOVERY,ROLE_CRATER_ROCK_SHELF_RECOVERY_CORE,CORE,26,1
TC_CRATER_ROCK_SHELF_RECOVERY,ROLE_CRATER_ROCK_SHELF_RECOVERY_ENTRY,ENTRY,0,1
TC_CRATER_ROCK_SHELF_RECOVERY,ROLE_CRATER_ROCK_SHELF_RECOVERY_EXIT,EXIT,58,0
TC_CRATER_ROCK_SHELF_RECOVERY,ROLE_CRATER_ROCK_SHELF_RECOVERY_RECOVERY,RECOVERY,54,1
TC_CRATER_ROCK_SHELF_RECOVERY,ROLE_CRATER_ROCK_SHELF_RECOVERY_REWARD,REWARD,29,2
TC_DOUGH_BOUNCE_CUP,ROLE_DOUGH_BOUNCE_CUP_BUILD_UP,BUILD_UP,4,1
TC_DOUGH_BOUNCE_CUP,ROLE_DOUGH_BOUNCE_CUP_CORE,CORE,14,1
TC_DOUGH_BOUNCE_CUP,ROLE_DOUGH_BOUNCE_CUP_ENTRY,ENTRY,0,1
TC_DOUGH_BOUNCE_CUP,ROLE_DOUGH_BOUNCE_CUP_EXIT,EXIT,34,7
TC_DOUGH_BOUNCE_CUP,ROLE_DOUGH_BOUNCE_CUP_RECOVERY,RECOVERY,30,1
TC_DOUGH_BOUNCE_CUP,ROLE_DOUGH_BOUNCE_CUP_REWARD,REWARD,17,2
TC_DOUGH_QUIET_SHELF,ROLE_DOUGH_QUIET_SHELF_BUILD_UP,BUILD_UP,4,1
TC_DOUGH_QUIET_SHELF,ROLE_DOUGH_QUIET_SHELF_CORE,CORE,14,1
TC_DOUGH_QUIET_SHELF,ROLE_DOUGH_QUIET_SHELF_ENTRY,ENTRY,0,1
TC_DOUGH_QUIET_SHELF,ROLE_DOUGH_QUIET_SHELF_EXIT,EXIT,23,1
TC_DOUGH_QUIET_SHELF,ROLE_DOUGH_QUIET_SHELF_RECOVERY,RECOVERY,18,1
TC_DOUGH_SOFT_POCKET,ROLE_DOUGH_SOFT_POCKET_BUILD_UP,BUILD_UP,4,1
TC_DOUGH_SOFT_POCKET,ROLE_DOUGH_SOFT_POCKET_CORE,CORE,14,1
TC_DOUGH_SOFT_POCKET,ROLE_DOUGH_SOFT_POCKET_ENTRY,ENTRY,1,7
TC_DOUGH_SOFT_POCKET,ROLE_DOUGH_SOFT_POCKET_EXIT,EXIT,46,0
TC_DOUGH_SOFT_POCKET,ROLE_DOUGH_SOFT_POCKET_RECOVERY,RECOVERY,42,1
TC_DOUGH_SOFT_POCKET,ROLE_DOUGH_SOFT_POCKET_REWARD,REWARD,17,2
TC_DOUGH_STICKY_RISE_RECOVERY,ROLE_DOUGH_STICKY_RISE_RECOVERY_BUILD_UP,BUILD_UP,4,1
TC_DOUGH_STICKY_RISE_RECOVERY,ROLE_DOUGH_STICKY_RISE_RECOVERY_CORE,CORE,26,1
TC_DOUGH_STICKY_RISE_RECOVERY,ROLE_DOUGH_STICKY_RISE_RECOVERY_ENTRY,ENTRY,0,1
TC_DOUGH_STICKY_RISE_RECOVERY,ROLE_DOUGH_STICKY_RISE_RECOVERY_EXIT,EXIT,58,0
TC_DOUGH_STICKY_RISE_RECOVERY,ROLE_DOUGH_STICKY_RISE_RECOVERY_RECOVERY,RECOVERY,54,1
TC_DOUGH_STICKY_RISE_RECOVERY,ROLE_DOUGH_STICKY_RISE_RECOVERY_REWARD,REWARD,29,2
TC_MILL_BEAM_OVERHANG,ROLE_MILL_BEAM_OVERHANG_BUILD_UP,BUILD_UP,4,1
TC_MILL_BEAM_OVERHANG,ROLE_MILL_BEAM_OVERHANG_CORE,CORE,14,1
TC_MILL_BEAM_OVERHANG,ROLE_MILL_BEAM_OVERHANG_ENTRY,ENTRY,0,1
TC_MILL_BEAM_OVERHANG,ROLE_MILL_BEAM_OVERHANG_EXIT,EXIT,34,7
TC_MILL_BEAM_OVERHANG,ROLE_MILL_BEAM_OVERHANG_RECOVERY,RECOVERY,30,1
TC_MILL_BEAM_OVERHANG,ROLE_MILL_BEAM_OVERHANG_REWARD,REWARD,17,2
TC_MILL_BROKEN_PILLAR,ROLE_MILL_BROKEN_PILLAR_BUILD_UP,BUILD_UP,4,1
TC_MILL_BROKEN_PILLAR,ROLE_MILL_BROKEN_PILLAR_CORE,CORE,14,1
TC_MILL_BROKEN_PILLAR,ROLE_MILL_BROKEN_PILLAR_ENTRY,ENTRY,1,7
TC_MILL_BROKEN_PILLAR,ROLE_MILL_BROKEN_PILLAR_EXIT,EXIT,46,0
TC_MILL_BROKEN_PILLAR,ROLE_MILL_BROKEN_PILLAR_RECOVERY,RECOVERY,42,1
TC_MILL_BROKEN_PILLAR,ROLE_MILL_BROKEN_PILLAR_REWARD,REWARD,17,2
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,ROLE_MILL_ORTHOGONAL_SHAFT_RECOVERY_BUILD_UP,BUILD_UP,4,1
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,ROLE_MILL_ORTHOGONAL_SHAFT_RECOVERY_CORE,CORE,26,1
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,ROLE_MILL_ORTHOGONAL_SHAFT_RECOVERY_ENTRY,ENTRY,0,1
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,ROLE_MILL_ORTHOGONAL_SHAFT_RECOVERY_EXIT,EXIT,58,0
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,ROLE_MILL_ORTHOGONAL_SHAFT_RECOVERY_RECOVERY,RECOVERY,54,1
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,ROLE_MILL_ORTHOGONAL_SHAFT_RECOVERY_REWARD,REWARD,29,2
TC_MILL_QUIET_BEAM,ROLE_MILL_QUIET_BEAM_BUILD_UP,BUILD_UP,4,1
TC_MILL_QUIET_BEAM,ROLE_MILL_QUIET_BEAM_CORE,CORE,14,1
TC_MILL_QUIET_BEAM,ROLE_MILL_QUIET_BEAM_ENTRY,ENTRY,0,1
TC_MILL_QUIET_BEAM,ROLE_MILL_QUIET_BEAM_EXIT,EXIT,23,1
TC_MILL_QUIET_BEAM,ROLE_MILL_QUIET_BEAM_RECOVERY,RECOVERY,18,1
TC_ROOT_FORKED_CANOPY_RECOVERY,ROLE_ROOT_FORKED_CANOPY_RECOVERY_BUILD_UP,BUILD_UP,4,1
TC_ROOT_FORKED_CANOPY_RECOVERY,ROLE_ROOT_FORKED_CANOPY_RECOVERY_CORE,CORE,26,1
