cluster_id,spine_variant_id,graph_kind
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,TRAVERSAL
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_BASE,TRAVERSAL
TC_CRATER_BROKEN_SLOPE,SPINE_CRATER_BROKEN_SLOPE_ALT,TRAVERSAL
TC_CRATER_BROKEN_SLOPE,SPINE_CRATER_BROKEN_SLOPE_BASE,TRAVERSAL
TC_CRATER_QUIET_RIM,SPINE_CRATER_QUIET_RIM_ALT,TRAVERSAL
TC_CRATER_QUIET_RIM,SPINE_CRATER_QUIET_RIM_BASE,TRAVERSAL
TC_CRATER_ROCK_SHELF_RECOVERY,SPINE_CRATER_ROCK_SHELF_RECOVERY_ALT,TRAVERSAL
TC_CRATER_ROCK_SHELF_RECOVERY,SPINE_CRATER_ROCK_SHELF_RECOVERY_BASE,TRAVERSAL
TC_DOUGH_BOUNCE_CUP,SPINE_DOUGH_BOUNCE_CUP_ALT,TRAVERSAL
TC_DOUGH_BOUNCE_CUP,SPINE_DOUGH_BOUNCE_CUP_BASE,TRAVERSAL
TC_DOUGH_QUIET_SHELF,SPINE_DOUGH_QUIET_SHELF_ALT,TRAVERSAL
TC_DOUGH_QUIET_SHELF,SPINE_DOUGH_QUIET_SHELF_BASE,TRAVERSAL
TC_DOUGH_SOFT_POCKET,SPINE_DOUGH_SOFT_POCKET_ALT,TRAVERSAL
TC_DOUGH_SOFT_POCKET,SPINE_DOUGH_SOFT_POCKET_BASE,TRAVERSAL
TC_DOUGH_STICKY_RISE_RECOVERY,SPINE_DOUGH_STICKY_RISE_RECOVERY_ALT,TRAVERSAL
TC_DOUGH_STICKY_RISE_RECOVERY,SPINE_DOUGH_STICKY_RISE_RECOVERY_BASE,TRAVERSAL
TC_MILL_BEAM_OVERHANG,SPINE_MILL_BEAM_OVERHANG_ALT,TRAVERSAL
TC_MILL_BEAM_OVERHANG,SPINE_MILL_BEAM_OVERHANG_BASE,TRAVERSAL
TC_MILL_BROKEN_PILLAR,SPINE_MILL_BROKEN_PILLAR_ALT,TRAVERSAL
TC_MILL_BROKEN_PILLAR,SPINE_MILL_BROKEN_PILLAR_BASE,TRAVERSAL
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,SPINE_MILL_ORTHOGONAL_SHAFT_RECOVERY_ALT,TRAVERSAL
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,SPINE_MILL_ORTHOGONAL_SHAFT_RECOVERY_BASE,TRAVERSAL
TC_MILL_QUIET_BEAM,SPINE_MILL_QUIET_BEAM_ALT,TRAVERSAL
TC_MILL_QUIET_BEAM,SPINE_MILL_QUIET_BEAM_BASE,TRAVERSAL
TC_ROOT_FORKED_CANOPY_RECOVERY,SPINE_ROOT_FORKED_CANOPY_RECOVERY_ALT,TRAVERSAL
TC_ROOT_FORKED_CANOPY_RECOVERY,SPINE_ROOT_FORKED_CANOPY_RECOVERY_BASE,TRAVERSAL
TC_ROOT_HOLLOW_POCKET,SPINE_ROOT_HOLLOW_POCKET_ALT,TRAVERSAL
TC_ROOT_HOLLOW_POCKET,SPINE_ROOT_HOLLOW_POCKET_BASE,TRAVERSAL
TC_ROOT_QUIET_ARCH,SPINE_ROOT_QUIET_ARCH_ALT,TRAVERSAL
TC_ROOT_QUIET_ARCH,SPINE_ROOT_QUIET_ARCH_BASE,TRAVERSAL
TC_ROOT_VERTICAL_TUNNEL,SPINE_ROOT_VERTICAL_TUNNEL_ALT,TRAVERSAL
TC_ROOT_VERTICAL_TUNNEL,SPINE_ROOT_VERTICAL_TUNNEL_BASE,TRAVERSAL
